slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,ATLANTA HAWKS,LOSS,2487,12,19,5,9,8,13,5,13,3,0,2,1,6,34.0
youngtr01,Trae Young,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2597,9,22,2,5,16,17,1,7,10,0,0,3,2,29.8
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,2239,14,23,7,15,1,1,0,2,1,3,0,0,1,29.4
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2239,13,24,4,9,3,8,1,5,10,2,1,2,2,28.5
bledser01,Eric Bledsoe,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,2137,11,20,4,7,0,0,4,8,13,1,0,4,0,27.7
randlju01,Julius Randle,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,2387,11,22,2,7,11,12,1,5,3,1,1,2,4,26.0
bogdabo01,Bogdan Bogdanovic,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,2587,10,22,5,8,3,4,1,7,8,2,1,1,3,25.1
walkeke02,Kemba Walker,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,2217,12,22,4,11,7,8,0,4,4,5,0,6,5,25.0
lavinza01,Zach LaVine,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,2070,12,19,2,4,4,4,1,4,4,1,1,3,1,24.5
capelca01,Clint Capela,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,2452,10,16,0,0,3,4,5,12,2,1,1,0,3,24.4
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,2237,13,28,3,10,4,4,3,4,4,1,0,1,2,23.9
brogdma01,Malcolm Brogdon,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1892,9,11,4,6,3,3,1,4,2,0,0,0,2,23.4
arizatr01,Trevor Ariza,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,WIN,2094,6,13,3,8,8,9,3,7,5,2,1,2,3,23.1
collijo01,John Collins,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2000,13,21,2,4,6,6,1,7,0,0,0,3,4,22.7
brunsja01,Jalen Brunson,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,2036,9,14,3,6,3,5,0,3,5,3,0,2,2,21.6
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,2432,10,29,3,11,9,9,3,3,3,3,0,1,3,21.6
russeda01,D'Angelo Russell,BROOKLYN NETS,HOME,WASHINGTON WIZARDS,LOSS,1727,9,16,1,5,9,10,1,2,7,1,0,5,2,21.4
bradlav01,Avery Bradley,MEMPHIS GRIZZLIES,HOME,CHICAGO BULLS,LOSS,2258,7,18,3,7,6,6,3,4,7,1,0,1,1,21.0
goberru01,Rudy Gobert,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,2033,6,9,0,0,8,10,4,9,2,0,4,2,5,21.0
hardeja01,James Harden,HOUSTON ROCKETS,AWAY,CHARLOTTE HORNETS,WIN,2145,10,29,1,11,9,9,0,3,7,2,1,1,2,20.4
duranke01,Kevin Durant,GOLDEN STATE WARRIORS,AWAY,MIAMI HEAT,LOSS,2335,9,21,3,12,8,10,0,5,5,0,2,2,3,20.3
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1545,10,17,5,8,0,0,2,5,3,1,2,4,1,20.1
mirotni01,Nikola Mirotic,MILWAUKEE BUCKS,AWAY,SACRAMENTO KINGS,WIN,1609,7,14,5,8,2,2,1,7,3,0,2,0,1,19.9
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,2198,7,13,0,0,3,6,1,12,8,2,0,2,0,19.4
dragigo01,Goran Dragic,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,1214,7,11,4,7,9,9,0,3,1,0,0,2,6,19.3
irvinky01,Kyrie Irving,BOSTON CELTICS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2104,14,24,3,5,0,0,1,4,3,0,1,4,3,19.3
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,BROOKLYN NETS,WIN,2382,12,22,3,9,4,4,0,2,4,2,2,7,3,19.0
porteot01,Otto Porter,CHICAGO BULLS,AWAY,MEMPHIS GRIZZLIES,WIN,1904,7,12,3,6,3,4,0,6,3,3,3,3,3,18.8
ingrabr01,Brandon Ingram,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2379,8,14,0,1,7,10,0,6,4,0,1,0,5,18.5
batumni01,Nicolas Batum,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,2469,7,13,3,5,0,0,2,4,6,2,2,2,2,18.1
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,2322,11,22,0,0,2,2,1,4,3,0,2,0,1,18.0
doncilu01,Luka Doncic,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,1903,9,16,3,8,5,7,1,9,7,0,0,7,3,17.7
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,MILWAUKEE BUCKS,LOSS,2257,6,13,0,2,5,5,0,6,9,0,1,1,1,17.7
lambje01,Jeremy Lamb,CHARLOTTE HORNETS,HOME,HOUSTON ROCKETS,LOSS,1919,5,15,2,7,6,6,1,13,6,1,1,2,1,17.6
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,LOS ANGELES LAKERS,LOSS,1242,10,14,0,0,2,4,5,3,2,0,0,3,2,17.4
mitchdo01,Donovan Mitchell,UTAH JAZZ,HOME,LOS ANGELES CLIPPERS,WIN,2133,10,22,3,9,9,12,0,4,4,0,1,6,2,17.3
harklma01,Maurice Harkless,PORTLAND TRAIL BLAZERS,AWAY,BOSTON CELTICS,WIN,2230,8,13,0,3,1,2,4,6,0,3,0,1,1,16.9
richajo01,Josh Richardson,MIAMI HEAT,HOME,GOLDEN STATE WARRIORS,WIN,2263,7,14,5,8,2,2,2,3,5,0,0,1,5,16.8
whitede01,Derrick White,SAN ANTONIO SPURS,HOME,DETROIT PISTONS,WIN,1745,7,12,1,2,0,0,2,4,4,1,2,0,1,16.8
hardati02,Tim Hardaway,DALLAS MAVERICKS,HOME,INDIANA PACERS,WIN,2146,7,16,4,9,2,3,0,4,3,2,0,0,0,16.5
kuzmaky01,Kyle Kuzma,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2066,9,15,0,3,4,6,1,4,2,0,1,1,3,16.1
rondora01,Rajon Rondo,LOS ANGELES LAKERS,HOME,NEW ORLEANS PELICANS,WIN,2249,5,15,1,4,0,0,1,6,16,2,0,2,2,15.4
cartevi01,Vince Carter,ATLANTA HAWKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1597,6,8,3,5,2,3,0,2,4,0,1,1,3,15.3
