,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,Opponent Defensive Rank vs Position
0,LeBron James,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21
1,Luka Dončić,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,11
2,Kemba Walker,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
3,Andre Drummond,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
4,Patty Mills,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29
5,Marcus Morris,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
6,Anthony Davis,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13
7,Giannis Antetokounmpo,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
8,Russell Westbrook,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,19
9,Taurean Waller-Prince,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
10,D'Angelo Russell,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
11,Derrick Rose,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7
12,Malcolm Brogdon,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
13,Garrett Temple,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
14,James Harden,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15
15,Otto Porter,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3
16,Jeremy Lamb,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30
17,Donovan Mitchell,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,27
18,LaMarcus Aldridge,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6
19,Rudy Gobert,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2
20,Domantas Sabonis,INDIANA PACERS,2019-11-01,HOME,CLEVELAND CAVALIERS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,28
21,De'Aaron Fox,SACRAMENTO KINGS,2019-11-01,HOME,UTAH JAZZ,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
22,Joe Harris,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
23,Eric Bledsoe,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9
24,Jordan Clarkson,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
25,Jayson Tatum,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
26,Caris LeVert,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,17
27,Kevin Love,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8
28,Wendell Carter,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25
29,Mike Conley,UTAH JAZZ,2019-11-01,AWAY,SACRAMENTO KINGS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,26
30,Lauri Markkanen,CHICAGO BULLS,2019-11-01,HOME,DETROIT PISTONS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30
31,Donte DiVincenzo,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,20
32,Rudy Gay,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,22
33,DeMar DeRozan,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29
34,Kyrie Irving,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
35,Damion Lee,GOLDEN STATE WARRIORS,2019-11-01,HOME,SAN ANTONIO SPURS,1.0,0.15,0.06,0.09,0.23,0.13,0.03,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,23
36,Collin Sexton,CLEVELAND CAVALIERS,2019-11-01,AWAY,INDIANA PACERS,1.0,0.14,0.06,0.09,0.22,0.12,0.02,0.04,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,12
