,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,fantasy_points_8_9,Opponent Defensive Rank vs Position
0,LeBron James,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,9
1,Luka Dončić,DALLAS MAVERICKS,2019-11-01,HOME,LOS ANGELES LAKERS,39.67,10.19,0.86,5.26,9.31,4.46,3.86,1.78,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,61.31855730159541,5
2,Kemba Walker,BOSTON CELTICS,2019-11-01,HOME,NEW YORK KNICKS,39.67,10.19,0.86,5.26,9.31,4.46,3.86,1.78,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,61.31855730159541,25
3,Andre Drummond,DETROIT PISTONS,2019-11-01,AWAY,CHICAGO BULLS,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,28
4,Patty Mills,SAN ANTONIO SPURS,2019-11-01,AWAY,GOLDEN STATE WARRIORS,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,29
5,Marcus Morris,NEW YORK KNICKS,2019-11-01,AWAY,BOSTON CELTICS,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,1
6,Anthony Davis,LOS ANGELES LAKERS,2019-11-01,AWAY,DALLAS MAVERICKS,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,9
7,Giannis Antetokounmpo,MILWAUKEE BUCKS,2019-11-01,AWAY,ORLANDO MAGIC,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,15
8,Russell Westbrook,HOUSTON ROCKETS,2019-11-01,AWAY,BROOKLYN NETS,39.69,10.12,0.86,5.25,9.15,4.38,3.81,1.81,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,60.811958192132735,20
9,Taurean Waller-Prince,BROOKLYN NETS,2019-11-01,HOME,HOUSTON ROCKETS,39.67,10.19,0.86,5.26,9.31,4.46,3.86,1.78,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,61.31855730159541,13
