,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
0,Nemanja Bjelica,SACRAMENTO KINGS,2020-01-13,HOME,ORLANDO MAGIC,32.782833333333336,2.8272880000000002,1.8895,1.858921,7.105368,3.09476,0.4803,1.24878,1.51673,28.999000000000002
1,De'Aaron Fox,SACRAMENTO KINGS,2020-01-13,HOME,ORLANDO MAGIC,34.37283333333333,6.460374000000002,1.5685,4.143684,5.631681,6.0166,0.86476,1.76067,2.60771,46.233
2,LeBron James,LOS ANGELES LAKERS,2020-01-13,HOME,CLEVELAND CAVALIERS,34.0525,6.217169999999999,2.0842400000000003,3.8380620000000008,7.709823,6.8834800000000005,0.35788000000000003,1.3536,2.67783,57.219
6,Devonte' Graham,CHARLOTTE HORNETS,2020-01-13,AWAY,PORTLAND TRAIL BLAZERS,35.260999999999996,2.30633,2.59998,3.236513,4.478052,5.8688400000000005,0.46934,1.3878300000000001,2.33677,32.721
7,Damian Lillard,PORTLAND TRAIL BLAZERS,2020-01-13,HOME,CHARLOTTE HORNETS,35.02166666666667,3.3608400000000014,2.6170999999999998,4.241415000000001,4.9010430000000005,5.91928,0.54096,1.1040299999999998,2.1325000000000003,41.09400000000001
8,Dwight Howard,LOS ANGELES LAKERS,2020-01-13,HOME,CLEVELAND CAVALIERS,20.2685,4.182942000000001,0.80666,2.8878239999999997,8.051265,2.3626,1.66728,0.93441,1.2950499999999998,29.725
11,CJ McCollum,PORTLAND TRAIL BLAZERS,2020-01-13,HOME,CHARLOTTE HORNETS,32.07283333333333,4.266188000000001,2.1505799999999997,1.817653,4.712901,4.17024,0.54652,1.13682,1.50784,30.307999999999996
12,Evan Fournier,ORLANDO MAGIC,2020-01-13,AWAY,SACRAMENTO KINGS,31.659499999999998,3.034472,2.26828,3.189013,4.342974,3.8664400000000003,0.36,1.5122399999999998,1.6860499999999998,29.606999999999996
13,Nikola Vučević,ORLANDO MAGIC,2020-01-13,AWAY,SACRAMENTO KINGS,31.271666666666665,5.664738000000001,1.9108999999999998,2.532134,10.16232,3.76804,0.96944,1.30884,1.70393,45.035
14,P.J. Washington,CHARLOTTE HORNETS,2020-01-13,AWAY,PORTLAND TRAIL BLAZERS,30.88083333333333,3.555804000000001,1.27532,2.3453540000000004,5.22693,3.4282000000000004,0.4125000000000001,1.0318800000000001,1.62481,20.074999999999996
18,Terry Rozier,CHARLOTTE HORNETS,2020-01-13,AWAY,PORTLAND TRAIL BLAZERS,35.62766666666666,3.1048780000000002,2.3924,3.550597,4.897398,4.19332,0.43873999999999996,1.32681,1.6003699999999998,31.659000000000002
19,Anthony Tolliver,PORTLAND TRAIL BLAZERS,2020-01-13,HOME,CHARLOTTE HORNETS,19.694166666666668,2.0745640000000005,1.41228,1.3149220000000001,5.835012,2.67832,0.5920799999999999,0.9074099999999999,1.0386200000000003,12.376
23,Carmelo Anthony,PORTLAND TRAIL BLAZERS,2020-01-13,HOME,CHARLOTTE HORNETS,31.713666666666665,3.9051700000000014,1.8467,2.283175,6.279213,2.53348,0.43743999999999994,1.21929,1.1678900000000003,26.779
24,Aaron Gordon,ORLANDO MAGIC,2020-01-13,AWAY,SACRAMENTO KINGS,30.1175,3.971196,1.55138,2.389998,7.321238999999999,3.0708,0.2443200000000001,1.37859,1.6284599999999998,28.052000000000003
33,Buddy Hield,SACRAMENTO KINGS,2020-01-13,HOME,ORLANDO MAGIC,32.80716666666667,3.120432000000001,2.43734,2.36599,5.737248000000001,3.8824,0.42162,1.1233499999999998,1.8967599999999998,29.444
35,Kevin Love,CLEVELAND CAVALIERS,2020-01-13,AWAY,LOS ANGELES LAKERS,35.210166666666666,3.535490000000001,2.2104999999999997,2.903033,6.29715,3.49404,0.009380000000000013,1.20261,1.8142300000000005,34.80499999999999
37,Tristan Thompson,CLEVELAND CAVALIERS,2020-01-13,AWAY,LOS ANGELES LAKERS,36.7105,6.302304000000001,0.81736,3.3395840000000003,11.137967999999999,3.22952,1.7050800000000002,1.07718,1.6465000000000003,39.56399999999999
38,Nicolas Batum,CHARLOTTE HORNETS,2020-01-13,AWAY,PORTLAND TRAIL BLAZERS,23.996333333333332,2.329712,1.31384,1.219697,4.8371580000000005,2.35792,0.15154,1.1746500000000002,1.20464,9.454
40,Danny Green,LOS ANGELES LAKERS,2020-01-13,HOME,CLEVELAND CAVALIERS,24.78933333333333,2.6128660000000004,1.60702,1.334821,5.201721,3.2937600000000002,0.5211399999999999,1.17846,1.3019200000000004,21.357999999999997
41,Markelle Fultz,ORLANDO MAGIC,2020-01-13,AWAY,SACRAMENTO KINGS,30.430166666666665,5.65103,1.14478,1.931062,5.412021,5.06048,0.29998,1.7461499999999999,2.1952800000000003,30.758
