slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
bjeline01,Nemanja Bjelica,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,LOSS,1995,13,16,8,10,0,0,0,7,2,2,0,1,3,31.3
foxde01,De'Aaron Fox,SACRAMENTO KINGS,HOME,ORLANDO MAGIC,LOSS,2241,12,18,2,3,5,5,1,7,10,1,1,4,3,29.5
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,WIN,1963,12,16,1,3,6,7,0,2,8,1,0,3,2,27.6
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,2186,8,12,2,3,2,2,2,18,10,0,1,2,1,26.9
gallida01,Danilo Gallinari,OKLAHOMA CITY THUNDER,AWAY,MINNESOTA TIMBERWOLVES,WIN,1992,8,12,3,4,11,12,0,4,1,1,0,1,3,25.1
okafoja01,Jahlil Okafor,NEW ORLEANS PELICANS,AWAY,DETROIT PISTONS,WIN,2027,11,21,0,0,3,3,6,8,5,0,3,1,2,25.1
grahade01,Devonte' Graham,CHARLOTTE HORNETS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2169,9,17,8,13,1,1,1,2,10,1,0,2,3,24.8
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,CHARLOTTE HORNETS,WIN,2136,10,16,5,10,5,7,0,3,9,0,0,4,1,24.8
howardw01,Dwight Howard,LOS ANGELES LAKERS,HOME,CLEVELAND CAVALIERS,WIN,1494,9,11,1,1,2,3,5,10,2,0,0,1,2,22.6
brogdma01,Malcolm Brogdon,INDIANA PACERS,HOME,PHILADELPHIA 76ERS,WIN,2020,5,15,3,6,8,9,3,4,9,1,0,1,0,21.7
