,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_7_9,fantasy_points_8_8,fantasy_points_8_85,fantasy_points_8_9,predicted_points,actual_points
0,Zach LaVine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,36.250667197035746,6.62935097117418,2.727627837530684,4.631828811970272,5.87956355606226,3.6597193573758275,0.6778738849441681,1.2492847594148695,2.586376927365997,40.74550000000001,0,41.75449626434185,41.357544366323715,41.80872580637986,42.22933373476625,41.81356857596025,67.0
1,Kyrie Irving,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,32.84361600424768,5.788643357160982,1.7303272120015558,2.9834567649490875,4.954309729655831,5.4534744528237855,0.3882102334088171,1.5441712347521124,2.410022625110803,40.694500000000005,0,37.36904730300997,37.22325324188512,37.250577508753224,37.34425276172129,37.26423024947038,61.7
2,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,33.06537985713455,6.81388346090076,2.131683795813042,4.598016778684691,7.3500970378580135,3.7509223020968436,0.9057871924415068,0.5854477337677415,2.5911030952026017,43.5005,0,40.40756851342881,41.30617300409429,40.95358136175633,40.51219515440356,40.94993666992535,64.6
3,Ben Simmons,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,33.14541373661599,7.6406594004137816,0.0,4.206267247694778,9.662767144077055,7.660940697290926,0.5058709460189532,1.569060052821008,3.1239541696149313,50.6875,0,45.49851570935055,45.908303947046534,45.429710714442955,44.948921177112354,45.67515649425615,59.0
4,Rudy Gobert,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,30.927371301229538,6.887471631387076,0.0,3.6473727709865056,13.891438530901592,2.1581474811444608,2.0020405201391376,0.8983090645519032,1.9969808965196527,51.061,0,43.33650104569247,42.64754169603853,42.90823719311108,42.967464175917385,44.03333135011273,56.4
5,Chris Paul,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,32.10456829222007,4.584265178878191,1.702805160511685,3.7601965802528494,4.860638538089249,5.464191376755498,0.2520003392690344,1.2854298932453587,2.252709257527858,37.01225000000001,0,34.09721442633446,34.14845183887632,34.205799025125984,34.22986521850301,34.425777170399954,47.8
6,Tomáš Satoranský,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,24.286241347894453,2.502663470018735,1.1304643043954947,1.8104834909465621,3.096883858079863,4.2847193621335595,0.1393025723998167,0.8989053875006223,1.7787804434947139,19.17225,0,22.021933803466602,21.66210865511769,21.693698093283125,21.79414015055717,21.686386453273297,43.2
7,Derrick Rose,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,33.45844771220422,7.24545675951226,1.1291939799937023,3.7320270436163874,4.514022180276612,6.641875844543537,0.19927278452287878,1.0779103481308643,3.0003918751303225,38.049,0,37.75091650456564,37.89232414545173,38.01105829081705,38.08824186323634,37.82132040860016,45.8
8,Jarrett Allen,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,23.586889325962833,4.1786083296209195,0.18609902441769566,1.6871587736273699,8.49513173436268,1.5208501693793792,1.1774293261539799,0.6877149626937191,1.2099182774672095,27.512500000000003,0,27.408957946386288,27.601718918890263,27.570600828937494,27.486997245740064,27.46362043050247,52.5
9,Anthony Davis,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,31.351516564244026,5.711498362489509,1.0139487166410992,5.428977673128972,8.38762374745356,3.1063710227600883,1.6415126147997463,1.244673573370255,2.19379934092038,44.60199999999999,0,41.601077860022905,40.52676760268304,41.10592014434577,41.850058105478475,41.083284802705315,46.4
