,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
0,Zach LaVine,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,36.202666666666666,4.661824,2.22548,4.764659,4.786806,5.39088,0.51354,1.54812,2.42936,40.248000000000005,38.35085419999999,58.8
1,James Harden,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,36.33433333333333,2.871328,3.15638,5.859332,6.555471000000001,6.356040000000001,0.73436,1.51641,2.4560899999999997,57.352999999999994,42.7679732,62.099999999999994
2,Zion Williamson,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,29.157500000000002,6.926960000000001,0.9243600000000001,5.191614,7.796136,3.2182,0.99224,1.3112400000000002,1.7213100000000006,33.483,41.1904072,50.3
3,Russell Westbrook,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,38.193333333333335,11.1761,1.24322,3.3372360000000008,6.626468999999999,5.179360000000001,0.64,1.4220300000000001,2.45048,53.38199999999999,48.875508800000006,57.5
4,Chris Paul,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,32.01683333333333,4.559546000000001,1.6648,3.8606760000000007,5.349291000000001,6.01996,0.35236,1.46232,2.28959,38.702999999999996,36.577707200000006,47.9
5,Kawhi Leonard,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,30.13883333333333,4.190942,2.3282,5.030123,5.956524,5.309760000000001,0.47335999999999995,1.18155,2.0724,46.582,38.40140579999999,55.3
6,Dejounte Murray,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,28.109166666666667,4.485146,1.18758,2.542312,6.130488,5.097720000000001,0.36794000000000004,1.45032,1.6661100000000002,31.668999999999997,33.8671796,42.3
7,Ben Simmons,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,37.31966666666666,6.229996,0.79596,5.521855,7.449540000000001,6.50916,0.6540600000000001,1.83249,2.85377,45.80500000000001,43.678795,55.4
8,Bradley Beal,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,36.61866666666666,6.560510000000001,2.50154,6.337181000000001,5.161935000000001,4.87584,0.6796599999999999,1.3812,2.03584,51.09,44.61764300000001,44.3
9,LaMarcus Aldridge,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,33.60733333333334,5.733518,1.71402,2.830299,6.648273,3.5411200000000003,0.8923599999999999,1.21302,1.6309200000000001,37.06400000000001,37.414222599999995,50.3
10,Jrue Holiday,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,29.00433333333333,4.269202000000001,2.02646,2.5992520000000003,5.1741209999999995,5.6303600000000005,0.9341599999999999,1.51953,2.19583,38.963,37.03676120000001,45.8
11,Rui Hachimura,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,26.42683333333333,5.1776100000000005,1.22182,1.863772,6.992832,2.4536800000000003,0.34616,1.10148,1.2569400000000002,25.596,31.042350400000004,39.3
12,Joel Embiid,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,27.726499999999998,5.064078,1.62628,6.098675,9.13908,3.9138400000000004,1.52236,1.43925,1.8788599999999998,45.09,44.94929699999999,41.8
13,Gordon Hayward,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,34.723,4.7524500000000005,1.60488,2.9127289999999997,6.988272,4.327920000000001,0.64272,1.1031,1.6949,37.776,35.65263540000001,39.6
14,Derrick White,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,22.651166666666665,3.862698,1.3973,3.776262,4.6351260000000005,3.9944800000000003,0.5936,0.93165,1.5002999999999997,21.598000000000003,30.3228792,36.8
15,Josh Hart,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,27.899333333333335,1.7106379999999994,1.99222,1.525188,6.0508679999999995,3.3552400000000002,0.38288,1.32291,1.3130499999999996,26.828999999999997,27.0213456,31.7
16,Tomáš Satoranský,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,29.458333333333332,3.2941960000000003,1.57706,2.1572310000000003,5.434113,4.8653200000000005,0.5163,1.25658,1.78993,25.109000000000005,30.824428600000005,31.4
17,Josh Richardson,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,19.7805,3.670046000000001,1.02922,1.8739569999999999,4.2631440000000005,3.0496800000000004,0.50264,1.1945100000000002,1.50546,11.511999999999999,25.577991800000003,33.5
18,J.J. Redick,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,22.5075,2.44015,2.07996,2.615904,4.058304,3.5802,0.369,1.13985,1.4316499999999999,23.736999999999995,27.0712488,24.4
19,Hassan Whiteside,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,32.455333333333336,5.716254,0.766,3.923108,10.52088,2.06752,2.06936,1.16589,1.24248,46.23,41.843222000000004,39.3
20,Ish Smith,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,26.949666666666666,4.534647999999999,1.08486,1.151547,5.342001,4.97376,0.66944,1.22526,1.8571999999999997,25.447999999999997,31.1733642,35.5
21,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,35.54483333333334,4.89225,1.70332,3.9303090000000003,6.07113,3.8486,0.79892,1.11495,1.63675,37.075,35.987885,29.0
22,Tobias Harris,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,32.12233333333333,5.027266000000001,1.59204,1.599307,5.277891,3.9530000000000003,0.3709,1.06296,1.47377,29.682999999999996,31.520738199999997,38.9
23,Coby White,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,25.625833333333333,2.355068,2.17198,1.499974,5.213169,4.10456,0.40408,0.93792,1.5809000000000002,20.462,27.5837928,41.5
24,Danuel House,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,33.525333333333336,2.18232,2.06712,1.3353240000000004,6.0138419999999995,2.7840800000000003,0.61572,1.78422,1.1250999999999998,28.705999999999996,29.368774399999996,28.299999999999997
25,Landry Shamet,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,29.642333333333333,1.6257540000000006,2.07782,1.986758,3.980706,3.65124,0.47254,1.13253,1.3994500000000007,20.093,25.141193200000004,20.2
26,Damian Lillard,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,37.86033333333333,3.8575860000000013,3.38322,3.724693,5.132376,6.6276399999999995,0.6306799999999999,1.22187,2.53611,54.903,40.711376200000004,32.0
27,Jayson Tatum,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,34.513000000000005,4.056578000000001,2.64278,4.162234000000001,6.625007999999999,3.83136,0.9555400000000001,1.19379,1.8905999999999996,45.374,38.4581696,45.8
28,Al Horford,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,29.758166666666668,2.433255999999999,1.90448,0.7964340000000001,6.175734,3.7722800000000003,0.57966,1.1204399999999999,1.3742300000000003,24.407,28.171756799999994,26.7
29,Daniel Theis,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,26.569166666666668,3.5749999999999993,1.1726,2.59341,7.861869,3.1994800000000003,0.91432,1.0705799999999999,1.33663,23.777,32.1127428,26.299999999999997
30,Patty Mills,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,19.090833333333332,1.37493,2.0713999999999997,1.412804,4.083495,2.76756,0.3711,1.01301,1.14873,13.395000000000003,22.431998,19.0
31,Ian Mahinmi,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,17.86616666666667,3.3693615651754385,0.867186117017544,1.708692910587719,5.440862722263159,2.3226768926315793,0.8658320496491229,0.9545046557894737,1.149039001052632,15.572000000000001,25.373996112917542,22.2
32,Trevor Ariza,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,29.316333333333333,3.068599999999999,1.29672,2.369722,4.9120740000000005,3.25524,0.4172600000000001,1.41171,1.3195299999999999,21.896999999999995,27.341810799999998,24.1
33,Robert Covington,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,30.564166666666665,1.31569,2.48228,1.215338,6.404898,2.5133199999999998,0.89476,1.52142,1.2875300000000003,28.878999999999994,28.710425600000004,43.9
34,Frank Jackson,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,10.774000000000001,1.4300500315789473,0.6091052547368422,1.185805152736842,2.4337513351578948,1.269698888421053,0.3075126421052632,0.6029584042105264,0.677525825263158,7.506000000000002,12.752158228610526,21.9
35,CJ McCollum,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,36.74283333333334,4.060744000000001,2.4480399999999998,1.8072320000000004,4.860342,3.7940400000000003,0.44954000000000005,1.02186,1.6751499999999997,28.470999999999997,31.5353604,23.7
36,Jaylen Brown,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,34.896,5.309564000000001,1.91946,2.597038,5.4453689999999995,2.7654,0.38652000000000003,1.06242,1.5239100000000003,28.796999999999997,32.479998800000004,25.1
37,Shabazz Napier,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,25.750166666666665,2.141076,1.97724,2.845183,5.380052999999999,5.720320000000001,0.58556,1.2540300000000002,2.1008000000000004,28.483999999999995,31.513568600000006,18.4
38,Brad Wanamaker,BOSTON CELTICS,2020-02-11,AWAY,HOUSTON ROCKETS,21.438166666666667,3.485823999999999,1.1405,2.04308,4.2594840000000005,3.7836800000000004,0.22792,1.44804,1.5501599999999998,19.542,26.7008488,21.7
39,Steven Adams,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,27.706,4.961417999999999,0.8237800000000001,1.743652,7.862367,3.3213600000000003,1.00922,1.09122,1.5925000000000002,23.305999999999997,33.2635284,36.0
40,Ivica Zubac,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,19.197166666666664,4.166638000000001,0.766,2.285416,6.93792,2.8660799999999997,1.1064800000000001,1.15287,1.3416800000000002,24.09,30.977686000000002,24.6
41,Isaac Bonga,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,20.53483333333333,2.8323579999999984,1.0977000000000001,2.098884,5.061135,2.57256,0.7485799999999999,1.12356,1.16926,11.52,25.436062,18.5
42,Wenyen Gabriel,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,7.8015,1.031587417736842,0.3479140515789474,0.5660595945789474,1.6733884909736843,0.8625174157894737,0.1939863505263158,0.4369250605263158,0.3907114381578948,3.747,8.476841692642106,14.4
43,Jaxson Hayes,NEW ORLEANS PELICANS,2020-02-11,HOME,PORTLAND TRAIL BLAZERS,9.168333333333333,1.568630416842105,0.36962859649122803,0.9251432211403509,2.470219707105263,1.1795688140350877,0.31588286140350874,0.48132302368421054,0.5299875719298244,9.008000000000001,11.766536797210525,12.6
44,Moritz Wagner,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,19.044,3.949566,1.17046,2.295224,5.573832,2.6718,0.28166,0.9896100000000001,1.21475,20.531,27.001094400000003,21.6
45,Lou Williams,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,26.73166666666667,5.499996000000001,1.37804,5.13742,4.994922,4.3742,0.30286,1.2240600000000001,1.9635500000000001,28.121,35.443948400000004,26.4
