,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
0,Tobias Harris,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,32.81253685932473,5.1008273669471365,1.597925189370655,2.319961981352002,6.259272380889532,4.024032485802946,0.545625614429067,1.0867450236007818,1.8397219405679217,35.33174999999999,0,34.025184641993995,33.919957842651726,57.9
1,Julius Randle,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,32.117334860006,6.692830570864711,0.6404324394277914,3.977149535015756,9.525711561092704,3.327078844971871,0.8854049314004486,0.7872537856828827,2.606206301244491,37.54899999999999,0,38.524264681936245,38.11734998580311,48.5
2,Shake Milton,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,22.704748412856215,1.9819784795805147,1.3530272299762778,0.594208095369886,2.5713061395999057,2.7760864826378366,0.279721857492492,0.6329386903887021,0.7828436122532323,17.74725,0,17.2763436937602,17.82208186732674,36.6
3,Elfrid Payton,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,32.624802575665896,5.003805510262385,0.5580527317351762,2.3576149783466502,5.608624109201534,8.257194214674811,0.2708295129987093,1.8530531051118257,3.230295448497179,38.889,0,36.45523223838592,36.29687685296543,43.2
4,Hassan Whiteside,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,30.282196906754166,6.715027871689861,0.0,2.4797305707576003,13.88338860774946,2.0532075219923813,2.1780431187286737,0.6159246913516709,1.7562305846612407,44.58324999999999,0,41.23818834063325,42.27533677200504,51.2
5,Al Horford,PHILADELPHIA 76ERS,2020-02-27,HOME,NEW YORK KNICKS,27.164617758454867,1.7729312820814727,1.5525751738069895,0.6482382960511953,5.542939869607003,3.1708813804022835,0.7454306388189389,0.9063975839445292,1.146027190225078,24.781499999999998,0,24.10744870990062,24.069133773832267,41.9
6,Eric Paschall,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,24.534954177246004,3.8214992608040435,0.8520330729485515,1.8952514525498059,5.074726670581538,1.8778419953037206,0.4084397498014658,0.6925060922123775,1.5945745560651732,20.017249999999997,0,23.149535318671305,22.70904716063333,29.6
7,Anthony Davis,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,35.877621948154726,8.501202778655767,0.9757994741825109,6.401264174566984,11.46395493586855,3.389183449630292,2.503286332798945,1.145653392691285,3.093578855294221,57.318749999999994,0,52.40077458012668,53.024829573090216,40.7
8,Domantas Sabonis,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,31.624263307305895,6.620340052721017,0.36712426072254356,3.753006735011506,10.413632845765791,6.162164787606853,0.6385259530419058,0.8477974633161076,2.626538920975788,42.599,0,41.65157609622388,41.667097547048655,40.2
9,Danilo Gallinari,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,29.968941405935855,3.4427745379501773,2.6241056741785878,3.413014267725911,4.515096315682664,1.9947284103946334,0.19926412609146826,0.7081976659159877,1.4730935029717065,27.81725,0,27.87135107897197,27.83038043362384,34.2
