team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,39,82,18,36,11,14,7,31,25,2,2,12,22
DETROIT PISTONS,240,39,83,8,27,24,27,11,33,23,8,3,10,18
MINNESOTA TIMBERWOLVES,240,38,92,10,32,16,23,15,37,22,5,4,14,13
HOUSTON ROCKETS,240,43,94,21,50,10,14,10,34,29,9,3,9,25
BROOKLYN NETS,240,42,100,14,38,18,25,15,36,26,6,7,14,28
LOS ANGELES CLIPPERS,240,42,97,12,31,23,28,16,38,26,8,6,13,25
CHARLOTTE HORNETS,240,26,83,7,36,16,18,11,33,11,6,5,12,19
MIAMI HEAT,240,34,86,13,33,12,19,15,40,25,6,7,11,21
PHILADELPHIA 76ERS,240,47,100,15,32,21,30,15,39,26,8,2,13,23
MILWAUKEE BUCKS,240,43,95,16,50,23,28,10,35,25,9,6,10,22
LOS ANGELES LAKERS,240,47,97,7,27,22,28,15,20,26,12,5,10,21
NEW YORK KNICKS,240,44,76,12,26,24,29,10,35,24,4,5,23,26
ATLANTA HAWKS,240,38,91,8,35,7,10,8,42,20,8,3,18,29
ORLANDO MAGIC,240,33,85,9,37,26,33,10,45,21,12,3,14,15
CHICAGO BULLS,240,39,88,10,26,14,21,10,29,20,6,6,19,16
SACRAMENTO KINGS,240,54,103,8,23,13,16,15,33,28,12,7,10,21
