slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
walkeke02,Kemba Walker,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,2519,14,31,2,8,8,11,1,8,11,0,1,2,1,29.8
youngtr01,Trae Young,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,1870,12,24,5,13,4,5,0,1,12,1,0,1,1,28.9
woodch01,Christian Wood,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1892,7,9,1,3,8,14,2,7,1,3,6,2,1,26.1
poweldw01,Dwight Powell,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,1928,6,7,0,1,9,11,3,10,3,0,4,1,3,25.5
caldwke01,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,2135,10,17,6,12,3,3,3,2,1,2,0,1,1,25.1
doncilu01,Luka Doncic,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,2169,9,20,0,9,10,11,1,11,12,0,0,4,2,24.8
mcgeeja01,JaVale McGee,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1946,9,11,0,0,2,3,5,10,2,2,4,2,4,24.6
murraja01,Jamal Murray,DENVER NUGGETS,HOME,DETROIT PISTONS,WIN,2299,12,19,3,7,6,7,0,3,5,1,0,3,5,24.5
vucevni01,Nikola Vucevic,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,2067,10,18,2,5,2,2,3,13,5,1,1,2,2,23.8
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,2203,10,19,2,7,10,13,0,5,2,0,1,2,2,22.3
derozde01,DeMar DeRozan,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,2410,12,23,0,1,6,8,2,6,4,0,0,1,2,22.1
jamesle01,LeBron James,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,2034,11,20,1,6,0,2,0,7,14,1,0,3,1,22.1
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,1987,8,14,2,5,3,3,1,5,4,3,1,1,1,21.7
bacondw01,Dwayne Bacon,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,2182,9,16,4,7,2,4,0,6,1,3,1,0,1,21.4
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,2588,8,18,0,1,4,5,8,7,4,1,0,0,1,21.3
gallida01,Danilo Gallinari,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1799,7,16,6,9,5,5,0,10,4,1,0,2,1,21.0
leonaka01,Kawhi Leonard,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1327,4,10,0,2,6,6,1,3,5,6,0,0,0,19.7
griffbl01,Blake Griffin,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,2278,12,32,2,10,3,4,6,9,5,1,0,2,2,19.6
horfoal01,Al Horford,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,1591,7,10,0,1,5,6,2,6,5,0,1,2,1,19.4
connapa01,Pat Connaughton,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1844,4,5,4,5,2,2,2,5,4,2,2,2,0,19.2
foxde01,De'Aaron Fox,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,1890,6,16,0,1,11,12,2,3,8,0,0,1,4,19.1
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,2083,6,17,2,7,10,11,2,11,3,2,0,3,3,18.7
capelca01,Clint Capela,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,2137,8,11,0,0,1,1,2,9,2,1,2,1,2,18.6
bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,1769,9,19,4,7,1,2,2,1,7,1,2,3,1,18.5
randlju01,Julius Randle,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,2012,7,13,1,4,9,11,4,5,5,1,0,6,3,18.5
waitedi01,Dion Waiters,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1735,10,18,5,11,1,1,0,1,2,1,0,0,4,18.5
wadedw01,Dwyane Wade,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1761,7,17,2,5,6,7,0,7,7,3,0,3,3,18.3
dedmode01,Dewayne Dedmon,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,1404,6,8,2,4,4,4,1,8,1,1,0,0,4,18.0
caulewi01,Willie Cauley-Stein,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,1787,7,8,0,0,2,2,1,6,2,1,0,0,2,17.3
bembrde01,DeAndre' Bembry,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,1190,6,10,1,3,5,7,2,4,2,4,0,3,1,17.2
isaacjo01,Jonathan Isaac,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1729,8,13,3,8,0,0,1,5,2,1,2,2,2,16.3
powelno01,Norman Powell,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1532,8,10,4,5,0,0,0,3,3,0,0,3,0,16.2
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,2025,9,17,3,5,0,0,2,3,4,1,0,1,4,16.2
sextoco01,Collin Sexton,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,2319,9,19,3,7,3,3,0,2,3,0,0,1,2,15.2
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1613,9,11,0,0,0,0,0,5,4,0,2,3,4,15.0
richajo01,Josh Richardson,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,2413,4,12,3,9,6,6,0,1,6,1,0,0,2,14.9
saricda01,Dario Saric,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,1631,7,10,2,3,2,2,3,2,1,1,0,3,1,14.8
jacksfr01,Frank Jackson,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1505,5,10,2,4,8,9,0,2,0,1,0,1,2,14.4
willilo02,Lou Williams,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1772,8,15,1,3,3,3,0,4,7,0,0,4,1,14.4
