Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (16747359),Luka Doncic,16747359,PG/G/UTIL,11000,DAL@POR 03/21/2021 10:00PM ET,DAL,57.38
PG,James Harden (16747362),James Harden,16747362,PG/G/UTIL,10900,WAS@BKN 03/21/2021 07:00PM ET,BKN,57.40
PG,Russell Westbrook (16747365),Russell Westbrook,16747365,PG/G/UTIL,10700,WAS@BKN 03/21/2021 07:00PM ET,WAS,52.81
PG,Damian Lillard (16747368),Damian Lillard,16747368,PG/G/UTIL,10500,DAL@POR 03/21/2021 10:00PM ET,POR,51.04
PG/SF,LeBron James (16747371),LeBron James,16747371,PG/SF/F/G/UTIL,10400,LAL@PHO 03/21/2021 10:00PM ET,LAL,50.71
C,Joel Embiid (16747376),Joel Embiid,16747376,C/UTIL,10300,PHI@NY 03/21/2021 08:00PM ET,PHI,54.33
PF/C,Julius Randle (16747378),Julius Randle,16747378,PF/C/F/UTIL,10000,PHI@NY 03/21/2021 08:00PM ET,NY,48.51
PG/SG,Kyrie Irving (16747382),Kyrie Irving,16747382,PG/SG/G/UTIL,9500,WAS@BKN 03/21/2021 07:00PM ET,BKN,46.42
SG,Bradley Beal (16747386),Bradley Beal,16747386,SG/G/UTIL,9300,WAS@BKN 03/21/2021 07:00PM ET,WAS,49.05
PG/SF,Ben Simmons (16747389),Ben Simmons,16747389,PG/SF/F/G/UTIL,9000,PHI@NY 03/21/2021 08:00PM ET,PHI,41.28
SF/PF,Kevin Durant (16747394),Kevin Durant,16747394,SF/PF/F/UTIL,8900,WAS@BKN 03/21/2021 07:00PM ET,BKN,50.28
PF,Tobias Harris (16747400),Tobias Harris,16747400,PF/F/UTIL,8600,PHI@NY 03/21/2021 08:00PM ET,PHI,39.36
C,Anthony Davis (16747398),Anthony Davis,16747398,C/UTIL,8600,LAL@PHO 03/21/2021 10:00PM ET,LAL,43.75
SG,Zach LaVine (16747403),Zach LaVine,16747403,SG/G/UTIL,8500,CHI@DET 03/21/2021 07:00PM ET,CHI,45.24
PG,Kyle Lowry (16747406),Kyle Lowry,16747406,PG/G/UTIL,8100,TOR@CLE 03/21/2021 07:00PM ET,TOR,38.90
SG,Devin Booker (16747409),Devin Booker,16747409,SG/G/UTIL,7800,LAL@PHO 03/21/2021 10:00PM ET,PHO,38.44
PF/C,Kristaps Porzingis (16747412),Kristaps Porzingis,16747412,PF/C/F/UTIL,7700,DAL@POR 03/21/2021 10:00PM ET,DAL,37.45
PG/SG,Fred VanVleet (16747416),Fred VanVleet,16747416,PG/SG/G/UTIL,7600,TOR@CLE 03/21/2021 07:00PM ET,TOR,40.93
C,Jarrett Allen (16747420),Jarrett Allen,16747420,C/UTIL,7500,TOR@CLE 03/21/2021 07:00PM ET,CLE,31.85
PG,Chris Paul (16747422),Chris Paul,16747422,PG/G/UTIL,7400,LAL@PHO 03/21/2021 10:00PM ET,PHO,37.92
C,Andre Drummond (16747425),Andre Drummond,16747425,C/UTIL,7300,TOR@CLE 03/21/2021 07:00PM ET,CLE,43.15
SF/PF,Jerami Grant (16747431),Jerami Grant,16747431,SF/PF/F/UTIL,7300,CHI@DET 03/21/2021 07:00PM ET,DET,37.85
PG/SG,CJ McCollum (16747427),CJ McCollum,16747427,PG/SG/G/UTIL,7300,DAL@POR 03/21/2021 10:00PM ET,POR,41.48
PF/C,Pascal Siakam (16747435),Pascal Siakam,16747435,PF/C/F/UTIL,7200,TOR@CLE 03/21/2021 07:00PM ET,TOR,40.12
SG/SF,Norman Powell (16747439),Norman Powell,16747439,SG/SF/F/G/UTIL,7100,TOR@CLE 03/21/2021 07:00PM ET,TOR,29.36
PG/SG,Collin Sexton (16747444),Collin Sexton,16747444,PG/SG/G/UTIL,7000,TOR@CLE 03/21/2021 07:00PM ET,CLE,35.51
PG/SG,Dennis Schroder (16747448),Dennis Schroder,16747448,PG/SG/G/UTIL,6900,LAL@PHO 03/21/2021 10:00PM ET,LAL,27.96
SF,RJ Barrett (16747452),RJ Barrett,16747452,SF/F/UTIL,6800,PHI@NY 03/21/2021 08:00PM ET,NY,30.74
C,Enes Kanter (16747455),Enes Kanter,16747455,C/UTIL,6600,DAL@POR 03/21/2021 10:00PM ET,POR,31.07
SF/PF,Kyle Kuzma (16747457),Kyle Kuzma,16747457,SF/PF/F/UTIL,6600,LAL@PHO 03/21/2021 10:00PM ET,LAL,24.70
C,Montrezl Harrell (16747461),Montrezl Harrell,16747461,C/UTIL,6500,LAL@PHO 03/21/2021 10:00PM ET,LAL,26.96
PG,Darius Garland (16747463),Darius Garland,16747463,PG/G/UTIL,6400,TOR@CLE 03/21/2021 07:00PM ET,CLE,29.94
PF/C,Thaddeus Young (16747466),Thaddeus Young,16747466,PF/C/F/UTIL,6400,CHI@DET 03/21/2021 07:00PM ET,CHI,30.04
C,Chris Boucher (16747470),Chris Boucher,16747470,C/UTIL,6300,TOR@CLE 03/21/2021 07:00PM ET,TOR,29.62
C,Dwight Howard (16747472),Dwight Howard,16747472,C/UTIL,6100,PHI@NY 03/21/2021 08:00PM ET,PHI,19.98
PG/SG,Immanuel Quickley (16747474),Immanuel Quickley,16747474,PG/SG/G/UTIL,6000,PHI@NY 03/21/2021 08:00PM ET,NY,21.10
C,Deandre Ayton (16747478),Deandre Ayton,16747478,C/UTIL,6000,LAL@PHO 03/21/2021 10:00PM ET,PHO,33.1
PG,Delon Wright (16747484),Delon Wright,16747484,PG/G/UTIL,5900,CHI@DET 03/21/2021 07:00PM ET,DET,27.99
PF/C,Robert Covington (16747480),Robert Covington,16747480,PF/C/F/UTIL,5900,DAL@POR 03/21/2021 10:00PM ET,POR,25.48
PF/C,Rui Hachimura (16747496),Rui Hachimura,16747496,PF/C/F/UTIL,5800,WAS@BKN 03/21/2021 07:00PM ET,WAS,24.46
SF/PF,Larry Nance Jr. (16747492),Larry Nance Jr.,16747492,SF/PF/F/UTIL,5800,TOR@CLE 03/21/2021 07:00PM ET,CLE,27.27
C,Mason Plumlee (16747490),Mason Plumlee,16747490,C/UTIL,5800,CHI@DET 03/21/2021 07:00PM ET,DET,30.41
SF,Alec Burks (16747487),Alec Burks,16747487,SF/F/UTIL,5800,PHI@NY 03/21/2021 08:00PM ET,NY,23.03
SG/SF,Tim Hardaway Jr. (16747500),Tim Hardaway Jr.,16747500,SG/SF/F/G/UTIL,5700,DAL@POR 03/21/2021 10:00PM ET,DAL,25.69
SF/PF,Saddiq Bey (16747508),Saddiq Bey,16747508,SF/PF/F/UTIL,5600,CHI@DET 03/21/2021 07:00PM ET,DET,20.01
SF,Mikal Bridges (16747505),Mikal Bridges,16747505,SF/F/UTIL,5600,LAL@PHO 03/21/2021 10:00PM ET,PHO,27.48
PF,Lauri Markkanen (16747512),Lauri Markkanen,16747512,PF/F/UTIL,5500,CHI@DET 03/21/2021 07:00PM ET,CHI,29.9
PG/SG,Coby White (16747515),Coby White,16747515,PG/SG/G/UTIL,5500,CHI@DET 03/21/2021 07:00PM ET,CHI,29.94
PG/SG,Derrick Rose (16747519),Derrick Rose,16747519,PG/SG/G/UTIL,5400,PHI@NY 03/21/2021 08:00PM ET,NY,25.67
SF/PF,OG Anunoby (16747523),OG Anunoby,16747523,SF/PF/F/UTIL,5300,TOR@CLE 03/21/2021 07:00PM ET,TOR,28.68
PF/C,Kevin Love (16747527),Kevin Love,16747527,PF/C/F/UTIL,5300,TOR@CLE 03/21/2021 07:00PM ET,CLE,12.31
PG/SG,Shake Milton (16747531),Shake Milton,16747531,PG/SG/G/UTIL,5300,PHI@NY 03/21/2021 08:00PM ET,PHI,22.59
SG/SF,Joe Harris (16747543),Joe Harris,16747543,SG/SF/F/G/UTIL,5200,WAS@BKN 03/21/2021 07:00PM ET,BKN,24.69
SG/SF,Josh Jackson (16747548),Josh Jackson,16747548,SG/SF/F/G/UTIL,5200,CHI@DET 03/21/2021 07:00PM ET,DET,24.92
C,Mitchell Robinson (16747535),Mitchell Robinson,16747535,C/UTIL,5200,PHI@NY 03/21/2021 08:00PM ET,NY,24.91
PG,Elfrid Payton (16747537),Elfrid Payton,16747537,PG/G/UTIL,5200,PHI@NY 03/21/2021 08:00PM ET,NY,23.97
SG,Seth Curry (16747540),Seth Curry,16747540,SG/G/UTIL,5200,PHI@NY 03/21/2021 08:00PM ET,PHI,22.66
C,DeAndre Jordan (16747561),DeAndre Jordan,16747561,C/UTIL,5100,WAS@BKN 03/21/2021 07:00PM ET,BKN,22.3
PF,Carmelo Anthony (16747553),Carmelo Anthony,16747553,PF/F/UTIL,5100,DAL@POR 03/21/2021 10:00PM ET,POR,24.58
SG/SF,Josh Richardson (16747556),Josh Richardson,16747556,SG/SF/F/G/UTIL,5100,DAL@POR 03/21/2021 10:00PM ET,DAL,24.02
PF/C,Blake Griffin (16747563),Blake Griffin,16747563,PF/C/F/UTIL,5000,WAS@BKN 03/21/2021 07:00PM ET,BKN,26.38
SG/SF,Reggie Bullock (16747567),Reggie Bullock,16747567,SG/SF/F/G/UTIL,5000,PHI@NY 03/21/2021 08:00PM ET,NY,17.95
C,Jusuf Nurkic (16747572),Jusuf Nurkic,16747572,C/UTIL,5000,DAL@POR 03/21/2021 10:00PM ET,POR,26.88
PF/C,Maxi Kleber (16747574),Maxi Kleber,16747574,PF/C/F/UTIL,5000,DAL@POR 03/21/2021 10:00PM ET,DAL,19.80
C,Nerlens Noel (16747582),Nerlens Noel,16747582,C/UTIL,4900,PHI@NY 03/21/2021 08:00PM ET,NY,18.23
PG/SG,Gary Trent Jr. (16747578),Gary Trent Jr.,16747578,PG/SG/G/UTIL,4900,DAL@POR 03/21/2021 10:00PM ET,POR,23.18
C,Thomas Bryant (16747584),Thomas Bryant,16747584,C/UTIL,4800,WAS@BKN 03/21/2021 07:00PM ET,WAS,26.62
C,Wendell Carter Jr. (16747589),Wendell Carter Jr.,16747589,C/UTIL,4800,CHI@DET 03/21/2021 07:00PM ET,CHI,27.19
SF,Danny Green (16747586),Danny Green,16747586,SF/F/UTIL,4800,PHI@NY 03/21/2021 08:00PM ET,PHI,21.16
SG/SF,Hamidou Diallo (16747596),Hamidou Diallo,16747596,SG/SF/F/G/UTIL,4700,CHI@DET 03/21/2021 07:00PM ET,DET,24.26
SG/SF,Furkan Korkmaz (16747591),Furkan Korkmaz,16747591,SG/SF/F/G/UTIL,4700,PHI@NY 03/21/2021 08:00PM ET,PHI,15.67
PF,Jae Crowder (16747601),Jae Crowder,16747601,PF/F/UTIL,4600,LAL@PHO 03/21/2021 10:00PM ET,PHO,22.26
PG,Tomas Satoransky (16747604),Tomas Satoransky,16747604,PG/G/UTIL,4500,CHI@DET 03/21/2021 07:00PM ET,CHI,18.73
SF/PF,Otto Porter Jr. (16747607),Otto Porter Jr.,16747607,SF/PF/F/UTIL,4500,CHI@DET 03/21/2021 07:00PM ET,CHI,22.62
C,Dario Saric (16747611),Dario Saric,16747611,C/UTIL,4500,LAL@PHO 03/21/2021 10:00PM ET,PHO,19.83
SF/PF,Jeff Green (16747613),Jeff Green,16747613,SF/PF/F/UTIL,4400,WAS@BKN 03/21/2021 07:00PM ET,BKN,18.73
C,Isaiah Stewart (16747617),Isaiah Stewart,16747617,C/UTIL,4400,CHI@DET 03/21/2021 07:00PM ET,DET,17.40
SF,Patrick Williams (16747619),Patrick Williams,16747619,SF/F/UTIL,4300,CHI@DET 03/21/2021 07:00PM ET,CHI,20.58
PG,Dennis Smith Jr. (16747626),Dennis Smith Jr.,16747626,PG/G/UTIL,4300,CHI@DET 03/21/2021 07:00PM ET,DET,18.78
PG/SG,Jalen Brunson (16747622),Jalen Brunson,16747622,PG/SG/G/UTIL,4300,DAL@POR 03/21/2021 10:00PM ET,DAL,22.63
PG/SG,Bruce Brown (16747633),Bruce Brown,16747633,PG/SG/G/UTIL,4200,WAS@BKN 03/21/2021 07:00PM ET,BKN,17.79
SF/PF,Dorian Finney-Smith (16747629),Dorian Finney-Smith,16747629,SF/PF/F/UTIL,4200,DAL@POR 03/21/2021 10:00PM ET,DAL,20.14
SF,Talen Horton-Tucker (16747637),Talen Horton-Tucker,16747637,SF/F/UTIL,4200,LAL@PHO 03/21/2021 10:00PM ET,LAL,16.68
PG,Ish Smith (16747640),Ish Smith,16747640,PG/G/UTIL,4100,WAS@BKN 03/21/2021 07:00PM ET,WAS,18.29
PG/SG,Raul Neto (16747646),Raul Neto,16747646,PG/SG/G/UTIL,4100,WAS@BKN 03/21/2021 07:00PM ET,WAS,16.61
SF,DeAndre' Bembry (16747643),DeAndre' Bembry,16747643,SF/F/UTIL,4100,TOR@CLE 03/21/2021 07:00PM ET,TOR,12.07
SG/SF,Wesley Matthews (16747650),Wesley Matthews,16747650,SG/SF/F/G/UTIL,4100,LAL@PHO 03/21/2021 10:00PM ET,LAL,9.67
C,Nicolas Claxton (16747661),Nicolas Claxton,16747661,C/UTIL,4000,WAS@BKN 03/21/2021 07:00PM ET,BKN,19.6
SG,Landry Shamet (16747665),Landry Shamet,16747665,SG/G/UTIL,4000,WAS@BKN 03/21/2021 07:00PM ET,BKN,13.69
SF,Cedi Osman (16747658),Cedi Osman,16747658,SF/F/UTIL,4000,TOR@CLE 03/21/2021 07:00PM ET,CLE,21.36
PG,Frank Jackson (16747655),Frank Jackson,16747655,PG/G/UTIL,4000,CHI@DET 03/21/2021 07:00PM ET,DET,8.19
C,Marc Gasol (16747663),Marc Gasol,16747663,C/UTIL,4000,LAL@PHO 03/21/2021 10:00PM ET,LAL,16.42
SF/PF,Deni Avdija (16747671),Deni Avdija,16747671,SF/PF/F/UTIL,3900,WAS@BKN 03/21/2021 07:00PM ET,WAS,15.67
PG,Cameron Payne (16747668),Cameron Payne,16747668,PG/G/UTIL,3900,LAL@PHO 03/21/2021 10:00PM ET,PHO,16.85
PF/C,Markieff Morris (16747675),Markieff Morris,16747675,PF/C/F/UTIL,3900,LAL@PHO 03/21/2021 10:00PM ET,LAL,13.86
SG,Kentavious Caldwell-Pope (16747679),Kentavious Caldwell-Pope,16747679,SG/G/UTIL,3900,LAL@PHO 03/21/2021 10:00PM ET,LAL,16.12
SG,Wayne Ellington (16747692),Wayne Ellington,16747692,SG/G/UTIL,3800,CHI@DET 03/21/2021 07:00PM ET,DET,17.12
C,Tony Bradley (16747682),Tony Bradley,16747682,C/UTIL,3800,PHI@NY 03/21/2021 08:00PM ET,PHI,13.99
PG/SG,Frank Ntilikina (16747684),Frank Ntilikina,16747684,PG/SG/G/UTIL,3800,PHI@NY 03/21/2021 08:00PM ET,NY,9.75
SF/PF,Derrick Jones Jr. (16747688),Derrick Jones Jr.,16747688,SF/PF/F/UTIL,3800,DAL@POR 03/21/2021 10:00PM ET,POR,18.62
PF,Jared Dudley (16747695),Jared Dudley,16747695,PF/F/UTIL,3800,LAL@PHO 03/21/2021 10:00PM ET,LAL,3.75
C,Alex Len (16747698),Alex Len,16747698,C/UTIL,3700,WAS@BKN 03/21/2021 07:00PM ET,WAS,13.77
C,Aron Baynes (16747700),Aron Baynes,16747700,C/UTIL,3700,TOR@CLE 03/21/2021 07:00PM ET,TOR,15.90
SF,Matisse Thybulle (16747702),Matisse Thybulle,16747702,SF/F/UTIL,3700,PHI@NY 03/21/2021 08:00PM ET,PHI,12.62
SF/PF,Davis Bertans (16747709),Davis Bertans,16747709,SF/PF/F/UTIL,3600,WAS@BKN 03/21/2021 07:00PM ET,WAS,18.46
PG/SG,Terence Davis (16747705),Terence Davis,16747705,PG/SG/G/UTIL,3600,TOR@CLE 03/21/2021 07:00PM ET,TOR,12.84
PF,Stanley Johnson (16747713),Stanley Johnson,16747713,PF/F/UTIL,3600,TOR@CLE 03/21/2021 07:00PM ET,TOR,9.55
SF,Isaac Okoro (16747716),Isaac Okoro,16747716,SF/F/UTIL,3600,TOR@CLE 03/21/2021 07:00PM ET,CLE,16.76
PF/C,Mike Scott (16747723),Mike Scott,16747723,PF/C/F/UTIL,3600,PHI@NY 03/21/2021 08:00PM ET,PHI,9.34
SF/PF,Abdel Nader (16747719),Abdel Nader,16747719,SF/PF/F/UTIL,3600,LAL@PHO 03/21/2021 10:00PM ET,PHO,12.60
C,Robin Lopez (16747739),Robin Lopez,16747739,C/UTIL,3500,WAS@BKN 03/21/2021 07:00PM ET,WAS,15.99
PF/C,Dean Wade (16747730),Dean Wade,16747730,PF/C/F/UTIL,3500,TOR@CLE 03/21/2021 07:00PM ET,CLE,8.44
SG,Rodney McGruder (16747727),Rodney McGruder,16747727,SG/G/UTIL,3500,CHI@DET 03/21/2021 07:00PM ET,DET,10.02
SG/SF,Denzel Valentine (16747734),Denzel Valentine,16747734,SG/SF/F/G/UTIL,3500,CHI@DET 03/21/2021 07:00PM ET,CHI,16.94
C,Dwight Powell (16747741),Dwight Powell,16747741,C/UTIL,3500,DAL@POR 03/21/2021 10:00PM ET,DAL,10.81
SG/SF,Garrison Mathews (16747751),Garrison Mathews,16747751,SG/SF/F/G/UTIL,3400,WAS@BKN 03/21/2021 07:00PM ET,WAS,11.73
C,JaVale McGee (16747743),JaVale McGee,16747743,C/UTIL,3400,TOR@CLE 03/21/2021 07:00PM ET,CLE,18.24
SF,Lamar Stevens (16747745),Lamar Stevens,16747745,SF/F/UTIL,3400,TOR@CLE 03/21/2021 07:00PM ET,CLE,10.43
SG,Garrett Temple (16747748),Garrett Temple,16747748,SG/G/UTIL,3400,CHI@DET 03/21/2021 07:00PM ET,CHI,18.39
C,Damian Jones (16747756),Damian Jones,16747756,C/UTIL,3400,LAL@PHO 03/21/2021 10:00PM ET,LAL,6.82
PF/C,Taj Gibson (16747766),Taj Gibson,16747766,PF/C/F/UTIL,3300,PHI@NY 03/21/2021 08:00PM ET,NY,12.34
SF/PF,Cameron Johnson (16747758),Cameron Johnson,16747758,SF/PF/F/UTIL,3300,LAL@PHO 03/21/2021 10:00PM ET,PHO,19.27
PG/SG,Alex Caruso (16747762),Alex Caruso,16747762,PG/SG/G/UTIL,3300,LAL@PHO 03/21/2021 10:00PM ET,LAL,15.18
PG,Tyler Johnson (16747770),Tyler Johnson,16747770,PG/G/UTIL,3200,WAS@BKN 03/21/2021 07:00PM ET,BKN,9.70
PG,Saben Lee (16747773),Saben Lee,16747773,PG/G/UTIL,3200,CHI@DET 03/21/2021 07:00PM ET,DET,13.29
SG/SF,Rodney Hood (16747780),Rodney Hood,16747780,SG/SF/F/G/UTIL,3200,DAL@POR 03/21/2021 10:00PM ET,POR,10.15
PG/SG,Langston Galloway (16747776),Langston Galloway,16747776,PG/SG/G/UTIL,3200,LAL@PHO 03/21/2021 10:00PM ET,PHO,8.30
SG,Dylan Windler (16747796),Dylan Windler,16747796,SG/G/UTIL,3100,TOR@CLE 03/21/2021 07:00PM ET,CLE,14.23
PG/SG,Tyrese Maxey (16747785),Tyrese Maxey,16747785,PG/SG/G/UTIL,3100,PHI@NY 03/21/2021 08:00PM ET,PHI,13.39
SF,Rayjon Tucker (16747789),Rayjon Tucker,16747789,SF/F/UTIL,3100,PHI@NY 03/21/2021 08:00PM ET,PHI,5.5
SF/PF,Nassir Little (16747792),Nassir Little,16747792,SF/PF/F/UTIL,3100,DAL@POR 03/21/2021 10:00PM ET,POR,9.97
C,Moritz Wagner (16747807),Moritz Wagner,16747807,C/UTIL,3000,WAS@BKN 03/21/2021 07:00PM ET,WAS,14.77
