Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
46677-9488,SF,LeBron,LeBron James,James,52.12459176,61,11400,LAC@LAL,LAL,LAC,,,
46677-15755,PF,Anthony,Anthony Davis,Davis,51.92321341,56,10400,LAC@LAL,LAL,LAC,,,
46677-14513,SF,Kawhi,Kawhi Leonard,Leonard,47.63461538,52,9500,LAC@LAL,LAC,LAL,,,
46677-9663,SG,Jrue,Jrue Holiday,Holiday,39.54643032,56,8300,UTA@NO,NO,UTA,,,
46677-40203,C,Rudy,Rudy Gobert,Gobert,40.10634843,63,8200,UTA@NO,UTA,NO,,,
46677-80806,PG,Lonzo,Lonzo Ball,Ball,32.60701712,57,7900,UTA@NO,NO,UTA,,,
46677-12341,SG,Paul,Paul George,George,36.3619036,42,7400,LAC@LAL,LAC,LAL,,,
46677-66048,SF,Brandon,Brandon Ingram,Ingram,38.81379226,58,7300,UTA@NO,NO,UTA,,,
46677-66113,SG,Donovan,Donovan Mitchell,Mitchell,36.09538386,65,7200,UTA@NO,UTA,NO,,,
46677-110310,PF,Zion,Zion Williamson,Williamson,33.48571487,21,7100,UTA@NO,NO,UTA,GTD,Personal,
46677-23776,C,Montrezl,Montrezl Harrell,Harrell,33.23333256,63,6300,LAC@LAL,LAC,LAL,GTD,Personal,
46677-9575,PG,Mike,Mike Conley,Conley,24.34761847,42,5700,UTA@NO,UTA,NO,,,
46677-59318,SF,Joe,Joe Ingles,Ingles,23.46406174,64,5500,UTA@NO,UTA,NO,,,
46677-12351,C,Derrick,Derrick Favors,Favors,26.4673913,46,5400,UTA@NO,NO,UTA,,,
46677-18338,PF,Royce,Royce O'Neale,O'Neale,18.8661546,65,4900,UTA@NO,UTA,NO,,,
46677-9662,SG,Lou,Lou Williams,Williams,30.60333252,60,4900,LAC@LAL,LAC,LAL,GTD,Calf,
46677-58377,PF,Kyle,Kyle Kuzma,Kuzma,20.53518564,54,4700,LAC@LAL,LAL,LAC,,,
46677-12474,PG,Patrick,Patrick Beverley,Beverley,23.50625102,48,4600,LAC@LAL,LAC,LAL,,,
46677-70827,C,Ivica,Ivica Zubac,Zubac,20.83906174,64,4500,LAC@LAL,LAC,LAL,,,
46677-9739,C,JaVale,JaVale McGee,McGee,19.86557457,61,4400,LAC@LAL,LAL,LAC,,,
46677-40562,SG,Josh,Josh Hart,Hart,23.49122807,57,4400,UTA@NO,NO,UTA,,,
46677-20640,SG,Jordan,Jordan Clarkson,Clarkson,22.70476229,63,4300,UTA@NO,UTA,NO,,,
46677-14512,PF,Marcus,Marcus Morris,Morris,27.75818093,55,4200,LAC@LAL,LAC,LAL,,,
46677-9758,SG,Danny,Danny Green,Green,18.65901559,61,4100,LAC@LAL,LAL,LAC,,,
46677-110697,PF,Nicolo,Nicolo Melli,Melli,14.33773631,53,4100,UTA@NO,NO,UTA,,,
46677-9506,SG,JR,JR Smith,Smith,14.37272783,11,4000,LAC@LAL,LAL,LAC,,,
