Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
55314-55062,C,Nikola,Nikola Jokic,Jokic,57.32857142857143,35,11600,DEN@IND,DEN,IND,,,,,
55314-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,56.08529483570772,34,11300,MIL@MEM,MIL,MEM,,,,,
55314-15595,SG,Bradley,Bradley Beal,Beal,48.49677498109879,31,10400,LAC@WAS,WAS,LAC,,,,,
55314-20848,PG,Damian,Damian Lillard,Lillard,47.145456025094695,33,10100,SAC@POR,POR,SAC,,,,,
55314-9524,PG,Stephen,Stephen Curry,Curry,46.648570033482144,35,9900,GS@PHO,GS,PHO,,,,,
55314-14513,SF,Kawhi,Kawhi Leonard,Leonard,46.210343985721984,29,9700,LAC@WAS,LAC,WAS,GTD,Back,,,
55314-9642,PG,Russell,Russell Westbrook,Westbrook,45.56923264723558,26,9600,LAC@WAS,WAS,LAC,,,,,
55314-14528,SF,Jimmy,Jimmy Butler,Butler,45.528570265997026,21,9500,MIA@NO,MIA,NO,GTD,Knee,,,
55314-42669,PF,Julius,Julius Randle,Randle,44.32222154405382,36,9300,DET@NY,NY,DET,,,,,
55314-59358,PF,Domantas,Domantas Sabonis,Sabonis,44.59706025965073,34,9200,DEN@IND,IND,DEN,,,,,
55314-80808,PF,Jayson,Jayson Tatum,Tatum,42.76333414713542,30,9000,TOR@BOS,BOS,TOR,,,,,
55314-110310,PF,Zion,Zion Williamson,Williamson,41.75,34,8900,MIA@NO,NO,MIA,,,,,
55314-60021,SF,Pascal,Pascal Siakam,Siakam,39.61000162760417,30,8800,TOR@BOS,TOR,BOS,O,Covid-19,,,
55314-19067,SG,CJ,CJ McCollum,McCollum,42.74615478515625,13,8700,SAC@POR,POR,SAC,O,Foot,,,
55314-67708,PG,Dejounte,Dejounte Murray,Murray,35.82903068296371,31,8700,OKC@SA,SA,OKC,,,,,
55314-80817,PF,Bam,Bam Adebayo,Adebayo,41.48787804805871,33,8700,MIA@NO,MIA,NO,GTD,Knee,,,
55314-9535,PG,Kyle,Kyle Lowry,Lowry,36.175000871930806,28,8500,TOR@BOS,TOR,BOS,,,,,
55314-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.70356968470982,28,8500,OKC@SA,SA,OKC,,,,,
55314-24247,SG,Fred,Fred VanVleet,VanVleet,40.799998563878674,34,8400,TOR@BOS,TOR,BOS,O,Covid-19,,,
55314-67026,SF,Jaylen,Jaylen Brown,Brown,39.27812576293945,32,8400,TOR@BOS,BOS,TOR,,,,,
55314-80810,PG,De'Aaron,De'Aaron Fox,Fox,39.48529411764706,34,8300,SAC@POR,SAC,POR,,,,,
55314-84680,SG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,39.775862068965516,29,8200,OKC@SA,OKC,SA,,,,,
55314-66108,PG,Jamal,Jamal Murray,Murray,35.81818181818182,33,8000,DEN@IND,DEN,IND,,,,,
55314-12341,SG,Paul,Paul George,George,40.666666666666664,27,7900,LAC@WAS,LAC,WAS,,,,,
55314-9623,PG,Chris,Chris Paul,Paul,37.536362156723484,33,7900,GS@PHO,PHO,GS,,,,,
55314-66048,SF,Brandon,Brandon Ingram,Ingram,39.24285714285714,35,7800,MIA@NO,NO,MIA,,,,,
55314-58460,SG,Devin,Devin Booker,Booker,36.20333251953125,30,7600,GS@PHO,PHO,GS,,,,,
55314-110344,PG,Ja,Ja Morant,Morant,35.43912937330163,23,7600,MIL@MEM,MEM,MIL,,,,,
55314-15860,PF,Draymond,Draymond Green,Green,29.583870180191532,31,7600,GS@PHO,GS,PHO,,,,,
55314-84673,C,Deandre,Deandre Ayton,Ayton,33.279411764705884,34,7500,GS@PHO,PHO,GS,,,,,
55314-16261,SF,Khris,Khris Middleton,Middleton,37.66285574776786,35,7500,MIL@MEM,MIL,MEM,,,,,
55314-23831,PF,Jerami,Jerami Grant,Grant,37.84848484848485,33,7400,DET@NY,DET,NY,GTD,Quadriceps,,,
55314-16293,SF,Norman,Norman Powell,Powell,26.5,33,7400,TOR@BOS,TOR,BOS,,,,,
55314-145337,SG,Tyrese,Tyrese Haliburton,Haliburton,30.030000813802083,30,7300,SAC@POR,SAC,POR,O,Calf,,,
55314-58153,SF,Kelly,Kelly Oubre,Oubre,29.059999302455356,35,7200,GS@PHO,GS,PHO,O,Wrist,,,
55314-15946,SF,Harrison,Harrison Barnes,Barnes,31,32,7000,SAC@POR,SAC,POR,,,,,
55314-14507,PG,Kemba,Kemba Walker,Walker,31.81578947368421,19,7000,TOR@BOS,BOS,TOR,,,,,
55314-23447,C,Richaun,Richaun Holmes,Holmes,30.580645161290324,31,7000,SAC@POR,SAC,POR,,,,,
55314-9663,PG,Jrue,Jrue Holiday,Holiday,33.88800048828125,25,7000,MIL@MEM,MIL,MEM,,,,,
55314-80806,PG,Lonzo,Lonzo Ball,Ball,31.253124237060547,32,6900,MIA@NO,NO,MIA,,,,,
55314-14503,C,Jonas,Jonas Valanciunas,Valanciunas,33.47307645357572,26,6800,MIL@MEM,MEM,MIL,,,,,
55314-84679,PF,Marvin,Marvin Bagley,Bagley,26.145454175544508,33,6800,SAC@POR,SAC,POR,,,,,
55314-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,38.86060680042613,33,6700,DEN@IND,IND,DEN,,,,,
55314-68203,PF,Chris,Chris Boucher,Boucher,29.451429966517857,35,6600,TOR@BOS,TOR,BOS,,,,,
55314-14516,C,Enes,Enes Kanter,Kanter,29.788234935087317,34,6600,SAC@POR,POR,SAC,,,,,
55314-84682,SF,Michael,Michael Porter,Porter,28.5560009765625,25,6600,DEN@IND,DEN,IND,,,,,
55314-58253,C,Myles,Myles Turner,Turner,34.150001525878906,32,6500,DEN@IND,IND,DEN,,,,,
55314-23665,SG,Buddy,Buddy Hield,Hield,28.02000034877232,35,6400,SAC@POR,SAC,POR,,,,,
55314-9729,PF,Paul,Paul Millsap,Millsap,22.24230722280649,26,6300,DEN@IND,DEN,IND,O,Knee,,,
55314-9957,PF,Serge,Serge Ibaka,Ibaka,25.436111450195312,36,6300,LAC@WAS,LAC,WAS,,,,,
55314-15590,C,Mason,Mason Plumlee,Plumlee,29.89696895714962,33,6300,DET@NY,DET,NY,,,,,
55314-40830,PG,Delon,Delon Wright,Wright,28.175861227101294,29,6300,DET@NY,DET,NY,O,Groin,,,
55314-23716,SF,Kyle,Kyle Anderson,Anderson,30.403448696794182,29,6200,MIL@MEM,MEM,MIL,,,,,
55314-67312,C,Thomas,Thomas Bryant,Bryant,26.370001220703124,10,6200,LAC@WAS,WAS,LAC,O,Knee,,,
55314-9475,PG,Derrick,Derrick Rose,Rose,25.64,25,6200,DET@NY,NY,DET,GTD,Covid-19,,,
55314-49116,SG,Andrew,Andrew Wiggins,Wiggins,29.544443766276043,36,6200,GS@PHO,GS,PHO,,,,,
55314-58378,C,Jakob,Jakob Poeltl,Poeltl,23.735483477192542,31,6100,OKC@SA,SA,OKC,,,,,
55314-20491,PF,Robert,Robert Covington,Covington,25.356250762939453,32,6000,SAC@POR,POR,SAC,,,,,
55314-110312,SG,Tyler,Tyler Herro,Herro,29.6125005086263,24,6000,MIA@NO,MIA,NO,,,,,
55314-55057,C,Jusuf,Jusuf Nurkic,Nurkic,26.741666158040363,12,6000,SAC@POR,POR,SAC,O,Wrist,,,
55314-23670,SG,Marcus,Marcus Smart,Smart,30.758824965533087,17,5900,TOR@BOS,BOS,TOR,O,Calf,,,
55314-110357,SF,RJ,RJ Barrett,Barrett,28.761111789279514,36,5900,DET@NY,NY,DET,,,,,
55314-9453,C,Al,Al Horford,Horford,31.416666666666668,24,5800,OKC@SA,OKC,SA,,,,,
55314-110353,PF,Brandon,Brandon Clarke,Clarke,26.630770169771633,26,5800,MIL@MEM,MEM,MIL,,,,,
55314-101329,PG,Kendrick,Kendrick Nunn,Nunn,25.166666666666668,27,5800,MIA@NO,MIA,NO,,,,,
55314-84670,SF,Mikal,Mikal Bridges,Bridges,27.649999281939337,34,5700,GS@PHO,PHO,GS,,,,,
55314-80809,SG,Josh,Josh Jackson,Jackson,24.662500381469727,32,5600,DET@NY,DET,NY,GTD,Illness,,,
55314-17333,SF,Will,Will Barton,Barton,23.009374618530273,32,5600,DEN@IND,DEN,IND,,,,,
55314-23169,C,Steven,Steven Adams,Adams,24.899999618530273,32,5500,MIA@NO,NO,MIA,,,,,
55314-84695,SG,Gary,Gary Trent,Trent,22.265625,32,5500,SAC@POR,POR,SAC,,,,,
55314-110347,SF,Keldon,Keldon Johnson,Johnson,28.071428571428573,28,5500,OKC@SA,SA,OKC,,,,,
55314-23825,C,Nerlens,Nerlens Noel,Noel,20.380644767515122,31,5500,DET@NY,NY,DET,,,,,
55314-80814,PG,Dennis,Dennis Smith,Smith,19.721429007393972,14,5500,DET@NY,DET,NY,,,,,
55314-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,24.419047037760418,21,5500,OKC@SA,SA,OKC,GTD,Illness,,,
55314-110637,PF,Darius,Darius Bazley,Bazley,24.742857142857144,35,5400,OKC@SA,OKC,SA,,,,,
55314-12355,SG,Eric,Eric Bledsoe,Bledsoe,24.373529770795038,34,5400,MIA@NO,NO,MIA,,,,,
