Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56311-9644,SG,James,James Harden,Harden,53.751220703125,41,11500,HOU@BKN,BKN,HOU,,,,,,SG
56311-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,55.0772705078125,44,11300,MIL@LAL,MIL,LAL,,,,,,PF
56311-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,46.79999909577546,27,10800,NY@MIN,MIN,NY,,,,,,C
56311-84669,PG,Luka,Luka Doncic,Doncic,51.74634384527439,41,10500,DAL@BOS,DAL,BOS,,,,,,PG
56311-80810,PG,De'Aaron,De'Aaron Fox,Fox,42.18478260869565,46,10000,SAC@SA,SAC,SA,,,,,,PG
56311-9488,SF,LeBron,LeBron James,James,47.083333333333336,42,9900,MIL@LAL,LAL,MIL,O,Ankle,,,,SF
56311-14498,PG,Kyrie,Kyrie Irving,Irving,45.83030377012311,33,9600,HOU@BKN,BKN,HOU,,,,,,PG
56311-80817,C,Bam,Bam Adebayo,Adebayo,42.251220703125,41,9400,MIA@IND,MIA,IND,,,,,,C
56311-42669,PF,Julius,Julius Randle,Randle,43.8638318650266,47,9300,NY@MIN,NY,MIN,,,,,,PF
56311-59358,PF,Domantas,Domantas Sabonis,Sabonis,44.09347932235055,46,9200,MIA@IND,IND,MIA,,,,,,PF
56311-20848,PG,Damian,Damian Lillard,Lillard,46.37111002604167,45,9100,POR@DET,POR,DET,,,,,,PG
56311-14528,SF,Jimmy,Jimmy Butler,Butler,46.24687576293945,32,9000,MIA@IND,MIA,IND,,,,,,SF
56311-15755,PF,Anthony,Anthony Davis,Davis,44.54782502547555,23,9000,MIL@LAL,LAL,MIL,O,Calf,,,,PF
56311-80808,PF,Jayson,Jayson Tatum,Tatum,43.102382114955354,42,9000,DAL@BOS,BOS,DAL,,,,,,PF
56311-66113,SG,Donovan,Donovan Mitchell,Mitchell,40.053333875868056,45,8800,UTA@MEM,UTA,MEM,O,Personal,,,,SG
56311-14514,C,Nikola,Nikola Vucevic,Vucevic,46.253189411569146,47,8800,CHI@PHO,CHI,PHO,,,,,,C
56311-9646,SF,Kevin,Kevin Durant,Durant,48.542104620682565,19,8800,HOU@BKN,BKN,HOU,O,Hamstring,,,,SF
56311-63122,PF,Kristaps,Kristaps Porzingis,Porzingis,38.234484442349135,29,8500,DAL@BOS,DAL,BOS,,,,,,PF
56311-60021,PF,Pascal,Pascal Siakam,Siakam,39.171052631578945,38,8300,TOR@OKC,TOR,OKC,,,,,,PF
56311-12332,PG,John,John Wall,Wall,36.47187423706055,32,8200,HOU@BKN,HOU,BKN,GTD,Knee,,,,PG
56311-58460,SG,Devin,Devin Booker,Booker,36.82380894252232,42,8200,CHI@PHO,PHO,CHI,,,,,,SG
56311-19067,SG,CJ,CJ McCollum,McCollum,38.961905343191965,21,8200,POR@DET,POR,DET,,,,,,SG
56311-40203,C,Rudy,Rudy Gobert,Gobert,40.912766476894944,47,8200,UTA@MEM,UTA,MEM,,,,,,C
56311-23447,C,Richaun,Richaun Holmes,Holmes,33.77674475381541,43,8000,SAC@SA,SAC,SA,,,,,,C
56311-40201,PG,Dennis,Dennis Schroder,Schroder,28.462791265443315,43,7900,MIL@LAL,LAL,MIL,,,,,,PG
56311-15684,SG,Victor,Victor Oladipo,Oladipo,36.85172245420259,29,7800,MIA@IND,MIA,IND,O,Illness,,,,SG
56311-42202,C,Christian,Christian Wood,Wood,40.04347826086956,23,7700,HOU@BKN,HOU,BKN,GTD,Illness,,,,C
56311-67026,SF,Jaylen,Jaylen Brown,Brown,39.02727161754262,44,7700,DAL@BOS,BOS,DAL,GTD,Hip,,,,SF
56311-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.53783849767736,37,7700,SAC@SA,SA,SAC,,,,,,SG
56311-67708,PG,Dejounte,Dejounte Murray,Murray,34.94186046511628,43,7600,SAC@SA,SA,SAC,,,,,,PG
56311-16261,SF,Khris,Khris Middleton,Middleton,36.66444498697917,45,7600,MIL@LAL,MIL,LAL,,,,,,SF
56311-145321,SG,Anthony,Anthony Edwards,Edwards,28.32127607629654,47,7600,NY@MIN,MIN,NY,,,,,,SG
56311-9663,PG,Jrue,Jrue Holiday,Holiday,34.114285714285714,35,7500,MIL@LAL,MIL,LAL,,,,,,PG
56311-24247,SG,Fred,Fred VanVleet,VanVleet,39.76666550409226,42,7400,TOR@OKC,TOR,OKC,,,,,,SG
56311-23776,C,Montrezl,Montrezl Harrell,Harrell,28.372340425531913,47,7400,MIL@LAL,LAL,MIL,,,,,,C
56311-9623,PG,Chris,Chris Paul,Paul,37.034782077955164,46,7400,CHI@PHO,PHO,CHI,,,,,,PG
56311-14503,C,Jonas,Jonas Valanciunas,Valanciunas,35.67436022636218,39,7300,UTA@MEM,MEM,UTA,,,,,,C
56311-23798,SG,Caris,Caris LeVert,LeVert,32.661905924479164,21,7300,MIA@IND,IND,MIA,,,,,,SG
56311-110357,SF,RJ,RJ Barrett,Barrett,30.3106377784242,47,7300,NY@MIN,NY,MIN,,,,,,SF
56311-58377,SF,Kyle,Kyle Kuzma,Kuzma,24.315217391304348,46,7200,MIL@LAL,LAL,MIL,,,,,,SF
56311-40783,SG,Zach,Zach LaVine,LaVine,40.57826033882473,46,7200,CHI@PHO,CHI,PHO,GTD,Ankle,,,,SG
56311-14507,PG,Kemba,Kemba Walker,Walker,31.574999128069198,28,7100,DAL@BOS,BOS,DAL,,,,,,PG
56311-20491,PF,Robert,Robert Covington,Covington,27.329545454545453,44,7000,POR@DET,POR,DET,,,,,,PF
56311-84673,C,Deandre,Deandre Ayton,Ayton,32.95869512143342,46,7000,CHI@PHO,PHO,CHI,,,,,,C
