"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-24","DET",98,117,33,55,0.6,11,31,0.3548387096774194,0.3548387096774194,18,36,30,27,6,0.5454545454545454,0.6206896551724138,0.8181818181818182,0.36046511627906974,0.5168360465116278,0.5755813953488372,0.6236559139784946,8,5,0.09090909090909091,0,0
"2019-10-26","ORL",101,103,34,54,0.6296296296296297,9,30,0.3,0.3,8,34,34,15,12,0.5,0.5483870967741935,0.5555555555555556,0.35714285714285715,0.5396166666666667,0.5654761904761905,0.5659340659340659,6,7,0.12962962962962962,0,0
"2019-10-28","PHI",104,103,27,57,0.47368421052631576,9,27,0.3333333333333333,0.3333333333333333,22,32,22,21,6,0.5925925925925926,0.64,0.7777777777777778,0.32142857142857145,0.5184285714285715,0.48214285714285715,0.5202020202020202,4,11,0.19298245614035087,0,0
"2019-10-29","MIA",104,97,24,44,0.5454545454545454,11,39,0.28205128205128205,0.28205128205128205,16,34,14,33,0,0.7083333333333334,0.7391304347826086,1,0.46987951807228917,0.5552204819277109,0.4879518072289157,0.5105263157894737,2,5,0.11363636363636363,1,0.02564102564102564
"2019-10-31","MIA",95,97,29,54,0.5370370370370371,7,34,0.20588235294117646,0.21875,18,26,32,21,0,0.4482758620689655,0.5416666666666666,1,0.38636363636363635,0.5549999999999999,0.44886363636363635,0.4801980198019802,10,8,0.14814814814814814,1,0.029411764705882353
"2019-11-05","SAS",102,108,32,60,0.5333333333333333,11,30,0.36666666666666664,0.36666666666666664,11,30,34,21,12,0.46875,0.4838709677419355,0.6363636363636364,0.3333333333333333,0.5192011111111111,0.5388888888888889,0.5510204081632653,2,8,0.13333333333333333,0,0
"2019-11-06","CHI",106,93,24,44,0.5454545454545454,6,30,0.2,0.2,27,28,20,12,6,0.5833333333333334,0.7,0.6666666666666666,0.40540540540540543,0.538575,0.44594594594594594,0.5224719101123596,8,8,0.18181818181818182,1,0.03333333333333333
"2019-11-08","SAC",92,109,37,59,0.6271186440677966,9,28,0.32142857142857145,0.32142857142857145,8,34,40,18,9,0.4594594594594595,0.5483870967741935,0.6666666666666666,0.3218390804597701,0.5388454022988506,0.5804597701149425,0.5806451612903226,12,7,0.11864406779661017,0,0
"2019-11-10","POR",111,113,31,63,0.49206349206349204,11,41,0.2682926829268293,0.2682926829268293,18,30,32,18,15,0.4838709677419355,0.5172413793103449,0.5454545454545454,0.3942307692307692,0.5403423076923077,0.4567307692307692,0.4956140350877193,4,8,0.12698412698412698,1,0.024390243902439025
"2019-11-12","DEN",99,125,29,49,0.5918367346938775,15,34,0.4411764705882353,0.4411764705882353,22,40,18,30,15,0.6896551724137931,0.7407407407407407,0.6666666666666666,0.40963855421686746,0.5348289156626506,0.6204819277108434,0.6313131313131313,4,5,0.10204081632653061,0,0
"2019-11-14","PHX",110,112,32,60,0.5333333333333333,8,31,0.25806451612903225,0.25806451612903225,24,36,28,21,3,0.5625,0.6923076923076923,0.875,0.34065934065934067,0.5619725274725275,0.4835164835164835,0.5333333333333333,12,2,0.03333333333333333,0,0
"2019-11-16","LAC",108,101,28,66,0.42424242424242425,6,24,0.25,0.25,27,32,24,9,9,0.5714285714285714,0.64,0.5,0.26666666666666666,0.53296,0.4111111111111111,0.47641509433962265,6,10,0.15151515151515152,2,0.08333333333333333
"2019-11-17","LAL",101,101,29,58,0.5,8,28,0.2857142857142857,0.2857142857142857,19,20,38,18,6,0.3448275862068966,0.4,0.75,0.32558139534883723,0.5058005882352941,0.47674418604651164,0.5208333333333334,8,14,0.2413793103448276,0,0
"2019-11-20","MIL",111,127,30,65,0.46153846153846156,14,31,0.45161290322580644,0.4666666666666667,25,32,28,33,9,0.5333333333333333,0.5517241379310345,0.7857142857142857,0.3229166666666667,0.5305689473684211,0.53125,0.5779816513761468,2,8,0.12307692307692308,0,0
"2019-11-22","DET",97,103,28,51,0.5490196078431373,10,37,0.2702702702702703,0.2702702702702703,17,34,22,27,3,0.6071428571428571,0.6538461538461539,0.9,0.42045454545454547,0.5012255681818182,0.48863636363636365,0.5425531914893617,4,9,0.17647058823529413,1,0.02702702702702703
"2019-11-23","TOR",100,116,33,56,0.5892857142857143,14,34,0.4117647058823529,0.4117647058823529,8,42,24,33,9,0.6363636363636364,0.65625,0.7857142857142857,0.37777777777777777,0.5429806818181818,0.6,0.6052631578947368,2,5,0.08928571428571429,0,0
"2019-11-25","MIN",105,113,31,62,0.5,10,32,0.3125,0.3125,21,36,26,24,6,0.5806451612903226,0.6428571428571429,0.8,0.3404255319148936,0.522329255319149,0.48936170212765956,0.5380952380952381,6,5,0.08064516129032258,1,0.03125
"2019-11-27","MIL",101,102,27,60,0.45,11,34,0.3235294117647059,0.3235294117647059,15,26,28,27,6,0.48148148148148145,0.5416666666666666,0.8181818181818182,0.3617021276595745,0.499518085106383,0.4627659574468085,0.49038461538461536,6,9,0.15,2,0.058823529411764705
"2019-11-29","IND",109,104,30,58,0.5172413793103449,9,32,0.28125,0.2903225806451613,17,24,36,6,21,0.4,0.48,0.2222222222222222,0.35555555555555557,0.5121449438202247,0.48333333333333334,0.5306122448979592,10,5,0.08620689655172414,1,0.03125
"2019-11-30","HOU",104,111,23,43,0.5348837209302325,15,46,0.32608695652173914,0.32608695652173914,20,34,12,27,18,0.7391304347826086,0.7727272727272727,0.6,0.5168539325842697,0.5274022471910113,0.5112359550561798,0.55,2,2,0.046511627906976744,0,0
"2019-12-02","GSW",94,104,33,60,0.55,8,29,0.27586206896551724,0.27586206896551724,14,28,38,21,3,0.42424242424242425,0.45161290322580644,0.875,0.3258426966292135,0.545670786516854,0.5056179775280899,0.5416666666666666,4,8,0.13333333333333333,0,0
"2019-12-04","BKN",100,118,39,64,0.609375,9,26,0.34615384615384615,0.34615384615384615,13,36,42,18,9,0.46153846153846156,0.5,0.6666666666666666,0.28888888888888886,0.5347494444444445,0.5833333333333334,0.6020408163265306,6,6,0.09375,0,0
