"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","MIN",117,126,33,67,0.4925373134328358,15,34,0.4411764705882353,0.4411764705882353,15,20,46,27,18,0.30303030303030304,0.30303030303030304,0.6,0.33663366336633666,0.530543,0.5495049504950495,0.5575221238938053,0,4,0.05970149253731343,0,0
"2019-10-25","NYK",108,113,21,41,0.5121951219512195,16,37,0.43243243243243246,0.43243243243243246,23,16,26,39,9,0.38095238095238093,0.4444444444444444,0.8125,0.47435897435897434,0.5113442307692307,0.5769230769230769,0.5957446808510638,6,4,0.0975609756097561,0,0
"2019-10-27","MEM",117,133,29,56,0.5178571428571429,15,45,0.3333333333333333,0.3333333333333333,30,36,22,30,15,0.6206896551724138,0.6428571428571429,0.6666666666666666,0.44554455445544555,0.554949,0.5099009900990099,0.5683760683760684,2,10,0.17857142857142858,0,0
"2019-10-30","IND",100,108,31,62,0.5,10,31,0.3225806451612903,0.3225806451612903,16,26,36,24,6,0.41935483870967744,0.43333333333333335,0.8,0.3333333333333333,0.5335177419354838,0.4946236559139785,0.5192307692307693,2,2,0.03225806451612903,0,0
"2019-11-01","HOU",109,123,23,53,0.4339622641509434,19,32,0.59375,0.59375,20,28,18,36,21,0.6086956521739131,0.6363636363636364,0.631578947368421,0.3764705882352941,0.5561876470588235,0.6058823529411764,0.6275510204081632,2,4,0.07547169811320754,0,0
"2019-11-02","DET",102,109,33,61,0.5409836065573771,10,32,0.3125,0.3333333333333333,13,30,36,27,3,0.45454545454545453,0.4838709677419355,0.9,0.34408602150537637,0.5031175824175824,0.5161290322580645,0.5396039603960396,4,7,0.11475409836065574,0,0
"2019-11-04","NOP",110,135,33,51,0.6470588235294118,16,41,0.3902439024390244,0.3902439024390244,21,38,28,39,9,0.5757575757575758,0.5757575757575758,0.8125,0.44565217391304346,0.5118673913043478,0.6195652173913043,0.6490384615384616,0,5,0.09803921568627451,0,0
"2019-11-08","POR",98,119,25,62,0.4032258064516129,16,37,0.43243243243243246,0.43243243243243246,21,14,36,33,15,0.28,0.3684210526315789,0.6875,0.37373737373737376,0.5205727272727273,0.494949494949495,0.53125,12,8,0.12903225806451613,1,0.02702702702702703
"2019-11-10","PHX",106,112,36,57,0.631578947368421,8,34,0.23529411764705882,0.24242424242424243,16,42,30,18,6,0.5833333333333334,0.6,0.75,0.37362637362637363,0.5747694444444444,0.5274725274725275,0.5714285714285714,2,6,0.10526315789473684,1,0.029411764705882353
"2019-11-12","UTA",102,114,30,53,0.5660377358490566,11,37,0.2972972972972973,0.2972972972972973,21,22,38,24,9,0.36666666666666664,0.4230769230769231,0.7272727272727273,0.4111111111111111,0.5069294444444444,0.5166666666666667,0.5643564356435643,8,4,0.07547169811320754,0,0
