"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","DET",100,110,33,68,0.4852941176470588,8,21,0.38095238095238093,0.38095238095238093,20,40,26,18,6,0.6060606060606061,0.7142857142857143,0.75,0.23595505617977527,0.5188898876404494,0.5056179775280899,0.5505050505050505,10,6,0.08823529411764706,0,0
"2019-10-26","CLE",97,99,29,59,0.4915254237288136,10,28,0.35714285714285715,0.37037037037037035,11,32,26,21,9,0.5517241379310345,0.5517241379310345,0.7,0.3218390804597701,0.5449482558139535,0.5057471264367817,0.5380434782608695,0,6,0.1016949152542373,1,0.03571428571428571
"2019-10-28","DET",93,94,33,73,0.4520547945205479,6,21,0.2857142857142857,0.2857142857142857,10,36,30,18,0,0.5454545454545454,0.6428571428571429,1,0.22340425531914893,0.49994255319148934,0.44680851063829785,0.47,10,3,0.0410958904109589,0,0
"2019-10-30","BKN",101,118,34,70,0.4857142857142857,11,26,0.4230769230769231,0.4230769230769231,17,34,34,24,9,0.5,0.5483870967741935,0.7272727272727273,0.2708333333333333,0.4995692708333333,0.5260416666666666,0.5528846153846154,6,5,0.07142857142857142,0,0
"2019-11-01","CLE",106,102,34,69,0.4927536231884058,5,27,0.18518518518518517,0.18518518518518517,19,30,38,15,0,0.4411764705882353,0.5172413793103449,1,0.28125,0.5244384210526316,0.4322916666666667,0.4811320754716981,10,1,0.014492753623188406,0,0
"2019-11-03","CHI",102,108,32,59,0.5423728813559322,8,26,0.3076923076923077,0.3076923076923077,20,42,22,21,3,0.65625,0.7,0.875,0.3058823529411765,0.5200741176470588,0.5176470588235295,0.5515463917525774,4,2,0.03389830508474576,0,0
"2019-11-05","CHA",105,120,39,64,0.609375,12,30,0.4,0.4,6,32,46,33,3,0.41025641025641024,0.42105263157894735,0.9166666666666666,0.3191489361702128,0.4827164893617021,0.6063829787234043,0.6197916666666666,2,4,0.0625,0,0
"2019-11-06","WAS",101,121,32,64,0.5,12,30,0.4,0.4,21,48,16,33,3,0.75,0.8,0.9166666666666666,0.3191489361702128,0.544111170212766,0.5319148936170213,0.5769230769230769,4,3,0.046875,0,0
"2019-11-08","DET",96,112,39,68,0.5735294117647058,4,15,0.26666666666666666,0.26666666666666666,22,38,40,12,0,0.48717948717948717,0.5588235294117647,1,0.18072289156626506,0.5053560240963856,0.5421686746987951,0.6021505376344086,10,4,0.058823529411764705,0,0
"2019-11-10","ORL",91,109,39,71,0.5492957746478874,9,20,0.45,0.45,4,44,34,27,0,0.5641025641025641,0.5789473684210527,1,0.21978021978021978,0.47660604395604395,0.5769230769230769,0.5860215053763441,2,11,0.15492957746478872,0,0
"2019-11-12","OKC",100,111,39,71,0.5492957746478874,7,23,0.30434782608695654,0.30434782608695654,12,30,48,18,3,0.38461538461538464,0.42857142857142855,0.8571428571428571,0.24468085106382978,0.5226159574468086,0.526595744680851,0.5606060606060606,8,4,0.056338028169014086,0,0
