"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","CLE",98,94,28,56,0.5,9,30,0.3,0.3,11,34,22,21,6,0.6071428571428571,0.6296296296296297,0.7777777777777778,0.3488372093023256,0.515603488372093,0.48255813953488375,0.5,2,2,0.03571428571428571,0,0
"2019-10-26","ATL",101,99,30,68,0.4411764705882353,5,31,0.16129032258064516,0.16129032258064516,24,20,40,15,0,0.3333333333333333,0.4,1,0.31313131313131315,0.5413904040404041,0.3787878787878788,0.44594594594594594,10,9,0.1323529411764706,0,0
"2019-10-28","TOR",104,95,22,50,0.44,12,39,0.3076923076923077,0.3076923076923077,15,20,24,36,0,0.45454545454545453,0.5,1,0.43820224719101125,0.49995955056179775,0.449438202247191,0.4947916666666667,4,2,0.04,0,0
"2019-10-30","NYK",89,95,25,56,0.44642857142857145,12,32,0.375,0.375,9,24,26,36,0,0.48,0.5454545454545454,1,0.36363636363636365,0.497925,0.48863636363636365,0.5053191489361702,6,7,0.125,3,0.09375
"2019-11-01","MIL",103,91,22,54,0.4074074074074074,12,37,0.32432432432432434,0.32432432432432434,11,24,20,27,9,0.5454545454545454,0.5714285714285714,0.75,0.4065934065934066,0.4679631868131868,0.43956043956043955,0.45454545454545453,2,4,0.07407407407407407,0,0
"2019-11-02","DEN",93,87,31,57,0.543859649122807,6,29,0.20689655172413793,0.21428571428571427,7,34,28,15,3,0.5483870967741935,0.6071428571428571,0.8333333333333334,0.3372093023255814,0.5146435294117647,0.46511627906976744,0.48333333333333334,6,3,0.05263157894736842,0,0
"2019-11-05","OKC",93,94,29,60,0.48333333333333334,3,22,0.13636363636363635,0.14285714285714285,27,26,32,6,3,0.4482758620689655,0.48148148148148145,0.6666666666666666,0.2682926829268293,0.5052104938271604,0.40853658536585363,0.4845360824742268,4,5,0.08333333333333333,0,0
"2019-11-06","DAL",99,106,33,56,0.5892857142857143,6,24,0.25,0.2608695652173913,22,38,28,18,0,0.5757575757575758,0.6551724137931034,1,0.3,0.5227556962025316,0.525,0.5706521739130435,8,1,0.017857142857142856,0,0
"2019-11-08","MEM",100,118,37,65,0.5692307692307692,7,28,0.25,0.25,23,36,38,18,3,0.4864864864864865,0.5806451612903226,0.8571428571428571,0.3010752688172043,0.5414225806451612,0.510752688172043,0.5619047619047619,12,5,0.07692307692307693,0,0
"2019-11-10","IND",92,102,26,53,0.49056603773584906,15,36,0.4166666666666667,0.4166666666666667,5,30,22,36,9,0.5769230769230769,0.6,0.8,0.4044943820224719,0.5051477528089888,0.5449438202247191,0.5604395604395604,2,3,0.05660377358490566,0,0
"2019-11-13","PHI",101,112,28,54,0.5185185185185185,10,32,0.3125,0.3125,26,36,20,27,3,0.6428571428571429,0.6666666666666666,0.9,0.37209302325581395,0.4610796511627907,0.5,0.5445544554455446,2,5,0.09259259259259259,0,0
"2019-11-15","SAS",94,111,24,58,0.41379310344827586,12,29,0.41379310344827586,0.42857142857142855,27,24,24,30,6,0.5,0.5217391304347826,0.8333333333333334,0.3333333333333333,0.49118779069767443,0.4827586206896552,0.5392156862745098,2,7,0.1206896551724138,1,0.034482758620689655
"2019-11-17","WAS",101,125,28,49,0.5714285714285714,15,38,0.39473684210526316,0.39473684210526316,24,28,28,33,12,0.5,0.56,0.7333333333333333,0.4367816091954023,0.5241885057471264,0.5804597701149425,0.6377551020408163,6,2,0.04081632653061224,0,0
"2019-11-20","TOR",96,97,26,59,0.4406779661016949,9,32,0.28125,0.28125,18,36,16,24,3,0.6923076923076923,0.72,0.8888888888888888,0.3516483516483517,0.5014032967032966,0.4340659340659341,0.47058823529411764,2,5,0.0847457627118644,0,0
"2019-11-23","IND",97,106,30,61,0.4918032786885246,13,31,0.41935483870967744,0.41935483870967744,7,28,32,30,9,0.4666666666666667,0.5,0.7692307692307693,0.33695652173913043,0.5072211956521739,0.5380434782608695,0.5520833333333334,4,5,0.08196721311475409,1,0.03225806451612903
"2019-11-25","DET",96,88,24,59,0.4067796610169492,8,25,0.32,0.32,16,18,30,18,6,0.375,0.391304347826087,0.75,0.2976190476190476,0.5026511904761906,0.42857142857142855,0.46808510638297873,2,5,0.0847457627118644,0,0
"2019-11-27","CLE",104,116,33,60,0.55,12,33,0.36363636363636365,0.36363636363636365,14,22,44,36,0,0.3333333333333333,0.3548387096774194,1,0.3548387096774194,0.5520596774193548,0.5483870967741935,0.5742574257425742,4,0,0,0,0
"2019-11-29","TOR",96,83,20,49,0.40816326530612246,7,29,0.2413793103448276,0.2413793103448276,22,22,18,18,3,0.55,0.7333333333333333,0.8571428571428571,0.3717948717948718,0.5103211538461538,0.391025641025641,0.4606741573033708,10,2,0.04081632653061224,2,0.06896551724137931
