"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","BOS",102,107,30,56,0.5357142857142857,7,29,0.2413793103448276,0.25925925925925924,26,34,26,21,0,0.5666666666666667,0.6538461538461539,1,0.3411764705882353,0.5260861445783133,0.4764705882352941,0.5245098039215687,8,2,0.03571428571428571,0,0
"2019-10-26","DET",107,117,29,53,0.5471698113207547,13,34,0.38235294117647056,0.3939393939393939,20,34,24,39,0,0.5862068965517241,0.5862068965517241,1,0.39080459770114945,0.49759941176470585,0.5574712643678161,0.5918367346938775,0,5,0.09433962264150944,2,0.058823529411764705
"2019-10-28","ATL",104,105,26,47,0.5531914893617021,11,41,0.2682926829268293,0.2682926829268293,20,22,30,33,0,0.4230769230769231,0.4583333333333333,1,0.4659090909090909,0.5207664772727273,0.48295454545454547,0.5306122448979592,4,3,0.06382978723404255,0,0
"2019-10-30","MIN",110,117,34,67,0.5074626865671642,9,25,0.36,0.36,22,30,38,27,0,0.4411764705882353,0.5555555555555556,1,0.2717391304347826,0.5340597826086956,0.5163043478260869,0.5571428571428572,14,6,0.08955223880597014,0,0
"2019-11-02","POR",105,129,43,74,0.581081081081081,11,33,0.3333333333333333,0.3333333333333333,10,50,36,33,0,0.5813953488372093,0.6410256410256411,1,0.308411214953271,0.5229817757009345,0.5560747663551402,0.581081081081081,8,4,0.05405405405405406,0,0
"2019-11-04","PHX",104,109,29,60,0.48333333333333334,13,29,0.4482758620689655,0.4642857142857143,12,20,38,33,6,0.3448275862068966,0.35714285714285715,0.8461538461538461,0.3258426966292135,0.5292221590909091,0.5449438202247191,0.5618556701030928,2,5,0.08333333333333333,0,0
"2019-11-06","UTA",98,104,25,55,0.45454545454545453,8,25,0.32,0.32,30,26,24,21,3,0.52,0.52,0.875,0.3125,0.48241562499999996,0.4625,0.5364583333333334,0,4,0.07272727272727272,0,0
"2019-11-08","DEN",95,97,25,60,0.4166666666666667,13,26,0.5,0.5,8,32,18,36,3,0.64,0.6956521739130435,0.9230769230769231,0.3023255813953488,0.5088063953488372,0.5174418604651163,0.5161290322580645,4,11,0.18333333333333332,0,0
"2019-11-10","CHA",100,114,36,56,0.6428571428571429,10,28,0.35714285714285715,0.35714285714285715,12,40,32,27,3,0.5555555555555556,0.6451612903225806,0.9,0.3333333333333333,0.5043797619047619,0.6071428571428571,0.6263736263736264,10,1,0.017857142857142856,0,0
"2019-11-12","CLE",95,98,32,51,0.6274509803921569,8,38,0.21052631578947367,0.21052631578947367,10,36,28,18,6,0.5625,0.6,0.75,0.42696629213483145,0.5339303370786517,0.4943820224719101,0.5212765957446809,4,0,0,0,0
"2019-11-13","ORL",100,97,32,61,0.5245901639344263,8,30,0.26666666666666666,0.26666666666666666,9,38,26,18,6,0.59375,0.6333333333333333,0.75,0.32967032967032966,0.46910769230769234,0.4835164835164835,0.5052083333333334,4,2,0.03278688524590164,0,0
"2019-11-15","OKC",101,119,31,58,0.5344827586206896,14,32,0.4375,0.4375,15,20,42,42,0,0.3225806451612903,0.37037037037037035,1,0.35555555555555557,0.49221611111111113,0.5777777777777777,0.5891089108910891,8,2,0.034482758620689655,1,0.03125
"2019-11-17","CLE",100,114,37,61,0.6065573770491803,9,23,0.391304347826087,0.391304347826087,13,48,26,27,0,0.6486486486486487,0.6486486486486487,1,0.27380952380952384,0.514585119047619,0.6011904761904762,0.6263736263736264,0,5,0.08196721311475409,0,0
"2019-11-20","NYK",96,109,26,57,0.45614035087719296,13,32,0.40625,0.40625,18,34,18,39,0,0.6538461538461539,0.68,1,0.3595505617977528,0.5121415730337078,0.5112359550561798,0.5396039603960396,2,6,0.10526315789473684,0,0
"2019-11-22","SAS",98,115,36,63,0.5714285714285714,10,26,0.38461538461538464,0.38461538461538464,13,44,28,30,0,0.6111111111111112,0.6875,1,0.29213483146067415,0.5176932584269663,0.5730337078651685,0.5867346938775511,8,3,0.047619047619047616,0,0
"2019-11-23","MIA",94,113,28,54,0.5185185185185185,14,29,0.4827586206896552,0.4827586206896552,15,30,26,39,3,0.5357142857142857,0.5769230769230769,0.9285714285714286,0.3493975903614458,0.5124102409638555,0.5903614457831325,0.6277777777777778,4,4,0.07407407407407407,0,0
"2019-11-25","TOR",92,96,21,48,0.4375,15,40,0.375,0.375,9,24,18,39,6,0.5714285714285714,0.631578947368421,0.8666666666666667,0.45454545454545453,0.5025085227272728,0.4943181818181818,0.5052631578947369,4,4,0.08333333333333333,1,0.025
"2019-11-27","SAC",99,97,31,51,0.6078431372549019,5,26,0.19230769230769232,0.19230769230769232,20,34,28,9,6,0.5483870967741935,0.5666666666666667,0.6,0.33766233766233766,0.5132428571428571,0.5,0.5449438202247191,2,2,0.0392156862745098,1,0.038461538461538464
"2019-11-29","NYK",95,101,24,46,0.5217391304347826,7,26,0.2692307692307692,0.28,32,30,18,21,0,0.625,0.6521739130434783,1,0.3611111111111111,0.5208042253521127,0.4791666666666667,0.5611111111111111,2,4,0.08695652173913043,0,0
"2019-11-30","IND",98,119,27,54,0.5,11,23,0.4782608695652174,0.5,32,34,20,30,3,0.6296296296296297,0.6538461538461539,0.9090909090909091,0.2987012987012987,0.5218953947368421,0.564935064935065,0.6397849462365591,2,3,0.05555555555555555,0,0
"2019-12-02","UTA",103,103,24,65,0.36923076923076925,13,26,0.5,0.5,16,22,26,39,0,0.4583333333333333,0.4782608695652174,1,0.2857142857142857,0.5082406593406593,0.47802197802197804,0.5049019607843137,2,8,0.12307692307692308,0,0
"2019-12-05","WAS",100,113,28,49,0.5714285714285714,13,28,0.4642857142857143,0.48148148148148145,18,28,28,33,6,0.5,0.5384615384615384,0.8461538461538461,0.36363636363636365,0.5148309210526316,0.6168831168831169,0.6348314606741573,4,1,0.02040816326530612,0,0
"2019-12-07","CLE",99,141,46,64,0.71875,11,26,0.4230769230769231,0.4230769230769231,16,64,28,33,0,0.6956521739130435,0.7441860465116279,1,0.28888888888888886,0.5899661111111111,0.6944444444444444,0.698019801980198,6,0,0,0,0
"2019-12-08","TOR",98,110,26,47,0.5531914893617021,14,32,0.4375,0.4375,16,34,18,42,0,0.6538461538461539,0.6538461538461539,1,0.4050632911392405,0.5128164556962026,0.5949367088607594,0.625,0,4,0.0851063829787234,0,0
"2019-12-10","DEN",95,97,25,53,0.4716981132075472,12,36,0.3333333333333333,0.34285714285714286,11,24,26,36,0,0.48,0.5454545454545454,1,0.4044943820224719,0.5267767045454546,0.48314606741573035,0.5,6,8,0.1509433962264151,1,0.027777777777777776
"2019-12-12","BOS",93,115,27,54,0.5,14,28,0.5,0.5,19,28,26,39,3,0.5185185185185185,0.5833333333333334,0.9285714285714286,0.34146341463414637,0.49032500000000007,0.5853658536585366,0.6182795698924731,6,6,0.1111111111111111,1,0.03571428571428571
"2019-12-13","NOP",98,116,36,67,0.5373134328358209,7,20,0.35,0.3888888888888889,23,34,38,21,0,0.4722222222222222,0.5151515151515151,1,0.22988505747126436,0.4966870588235294,0.5344827586206896,0.5686274509803921,6,2,0.029850746268656716,0,0
"2019-12-15","BKN",102,89,32,60,0.5333333333333333,5,26,0.19230769230769232,0.19230769230769232,10,28,36,15,0,0.4375,0.4666666666666667,1,0.3023255813953488,0.4778412790697674,0.45930232558139533,0.46808510638297873,4,1,0.016666666666666666,0,0
"2019-12-18","MIA",95,104,26,51,0.5098039215686274,12,39,0.3076923076923077,0.3076923076923077,16,24,28,36,0,0.46153846153846156,0.5454545454545454,1,0.43333333333333335,0.5214111111111112,0.4888888888888889,0.5306122448979592,8,3,0.058823529411764705,1,0.02564102564102564
"2019-12-20","DAL",100,98,28,56,0.5,10,34,0.29411764705882354,0.29411764705882354,12,30,26,30,0,0.5357142857142857,0.625,1,0.37777777777777777,0.5053572222222222,0.4777777777777778,0.5051546391752577,8,4,0.07142857142857142,0,0
"2019-12-21","WAS",101,125,35,61,0.5737704918032787,14,33,0.42424242424242425,0.42424242424242425,13,30,40,39,3,0.42857142857142855,0.5,0.9285714285714286,0.35106382978723405,0.5068281914893616,0.5957446808510638,0.6067961165048543,10,3,0.04918032786885246,0,0
"2019-12-23","DET",96,125,40,65,0.6153846153846154,12,30,0.4,0.4,9,42,38,36,0,0.525,0.5675675675675675,1,0.3157894736842105,0.49162105263157896,0.6105263157894737,0.625,6,1,0.015384615384615385,0,0
"2019-12-25","MIL",96,121,23,57,0.40350877192982454,21,44,0.4772727272727273,0.4772727272727273,12,20,26,57,6,0.43478260869565216,0.45454545454545453,0.9047619047619048,0.43564356435643564,0.4986707920792079,0.5396039603960396,0.5607476635514018,2,5,0.08771929824561403,1,0.022727272727272728
"2019-12-27","ORL",100,97,25,58,0.43103448275862066,10,29,0.3448275862068966,0.35714285714285715,17,26,24,30,0,0.52,0.5652173913043478,1,0.3333333333333333,0.49017441860465116,0.45977011494252873,0.5,4,5,0.08620689655172414,0,0
"2019-12-28","MIA",102,116,32,59,0.5423728813559322,10,30,0.3333333333333333,0.3333333333333333,22,32,32,24,6,0.5,0.5714285714285714,0.8,0.33707865168539325,0.46187865168539327,0.5280898876404494,0.5686274509803921,8,4,0.06779661016949153,0,0
"2019-12-31","IND",95,97,31,62,0.5,6,29,0.20689655172413793,0.20689655172413793,17,36,26,18,0,0.5806451612903226,0.6428571428571429,1,0.31868131868131866,0.5129197802197802,0.43956043956043955,0.48,6,6,0.0967741935483871,0,0
"2020-01-03","HOU",101,108,36,65,0.5538461538461539,6,27,0.2222222222222222,0.2222222222222222,18,52,20,18,0,0.7222222222222222,0.7428571428571429,1,0.29347826086956524,0.5393364130434782,0.4891304347826087,0.5194174757281553,2,3,0.046153846153846156,0,0
"2020-01-06","OKC",97,120,33,64,0.515625,13,26,0.5,0.5,15,38,28,36,3,0.5757575757575758,0.59375,0.9230769230769231,0.28888888888888886,0.5155366666666666,0.5833333333333334,0.6122448979591837,2,3,0.046875,0,0
"2020-01-09","BOS",95,109,32,61,0.5245901639344263,11,27,0.4074074074074074,0.4230769230769231,12,26,38,33,0,0.40625,0.43333333333333335,1,0.3068181818181818,0.5168367816091953,0.5511363636363636,0.5677083333333334,4,1,0.01639344262295082,0,0
"2020-01-11","DAL",94,91,28,61,0.45901639344262296,9,37,0.24324324324324326,0.24324324324324326,8,28,28,24,3,0.5,0.56,0.8888888888888888,0.37755102040816324,0.5296852040816327,0.42346938775510207,0.441747572815534,6,8,0.13114754098360656,0,0
"2020-01-13","IND",96,95,31,56,0.5535714285714286,6,33,0.18181818181818182,0.18181818181818182,15,22,40,18,0,0.3548387096774194,0.3793103448275862,1,0.3707865168539326,0.5246073033707865,0.449438202247191,0.4846938775510204,4,5,0.08928571428571429,1,0.030303030303030304
"2020-01-15","BKN",99,117,34,58,0.5862068965517241,11,30,0.36666666666666664,0.36666666666666664,16,30,38,30,3,0.4411764705882353,0.4838709677419355,0.9090909090909091,0.3409090909090909,0.520675,0.5738636363636364,0.5909090909090909,6,1,0.017241379310344827,0,0
"2020-01-17","CHI",91,100,31,53,0.5849056603773585,9,29,0.3103448275862069,0.3103448275862069,11,42,20,27,0,0.6774193548387096,0.7,1,0.35365853658536583,0.5366920731707316,0.5426829268292683,0.5689655172413793,2,3,0.05660377358490566,0,0
"2020-01-18","NYK",93,90,24,46,0.5217391304347826,10,32,0.3125,0.3125,12,34,14,27,3,0.7083333333333334,0.7083333333333334,0.9,0.41025641025641024,0.5201698717948718,0.5,0.5235294117647059,0,5,0.10869565217391304,0,0
"2020-01-20","BKN",104,117,29,55,0.5272727272727272,13,39,0.3333333333333333,0.3333333333333333,20,34,24,39,0,0.5862068965517241,0.6296296296296297,1,0.4148936170212766,0.5172877659574469,0.5159574468085106,0.5467289719626168,4,2,0.03636363636363636,0,0
"2020-01-22","TOR",97,95,14,38,0.3684210526315789,18,46,0.391304347826087,0.391304347826087,13,14,14,54,0,0.5,0.5833333333333334,1,0.5476190476190477,0.5199434523809524,0.4880952380952381,0.5108695652173914,4,2,0.05263157894736842,0,0
"2020-01-25","LAL",100,108,28,41,0.6829268292682927,13,37,0.35135135135135137,0.35135135135135137,13,12,44,39,0,0.21428571428571427,0.2222222222222222,1,0.47435897435897434,0.5368858974358974,0.6089743589743589,0.622093023255814,2,1,0.024390243902439025,0,0
