"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","SAC",107,124,38,65,0.5846153846153846,11,33,0.3333333333333333,0.34375,15,44,32,27,6,0.5789473684210527,0.6666666666666666,0.8181818181818182,0.336734693877551,0.5678448453608248,0.5561224489795918,0.5904761904761905,10,4,0.06153846153846154,1,0.030303030303030304
"2019-10-25","DEN",106,107,26,58,0.4482758620689655,8,28,0.2857142857142857,0.2857142857142857,31,36,16,21,3,0.6923076923076923,0.75,0.875,0.32558139534883723,0.49045697674418604,0.4418604651162791,0.535,4,12,0.20689655172413793,0,0
"2019-10-26","LAC",103,130,26,43,0.6046511627906976,17,43,0.3953488372093023,0.3953488372093023,27,32,20,48,3,0.6153846153846154,0.64,0.9411764705882353,0.5,0.5590813953488373,0.5988372093023255,0.65,2,4,0.09302325581395349,0,0
"2019-10-28","UTA",102,95,20,46,0.43478260869565216,13,34,0.38235294117647056,0.38235294117647056,16,20,20,39,0,0.5,0.5,1,0.425,0.531641875,0.49375,0.5277777777777778,0,5,0.10869565217391304,0,0
"2019-10-30","GSW",106,121,29,60,0.48333333333333334,15,36,0.4166666666666667,0.42857142857142855,18,36,22,45,0,0.6206896551724138,0.72,1,0.375,0.520041052631579,0.5364583333333334,0.5714285714285714,8,5,0.08333333333333333,1,0.027777777777777776
"2019-11-02","MEM",102,114,30,54,0.5555555555555556,14,34,0.4117647058823529,0.4117647058823529,12,26,34,39,3,0.43333333333333335,0.48148148148148145,0.9285714285714286,0.38636363636363635,0.5497704545454546,0.5795454545454546,0.601063829787234,6,8,0.14814814814814814,0,0
"2019-11-04","PHI",103,114,30,49,0.6122448979591837,11,28,0.39285714285714285,0.39285714285714285,21,28,32,30,3,0.4666666666666667,0.4666666666666667,0.9090909090909091,0.36363636363636365,0.5621564935064935,0.6038961038961039,0.6333333333333333,0,1,0.02040816326530612,1,0.03571428571428571
"2019-11-07","MIA",100,108,26,52,0.5,11,32,0.34375,0.34375,23,24,28,30,3,0.46153846153846156,0.5454545454545454,0.9090909090909091,0.38095238095238093,0.5938494047619047,0.5059523809523809,0.5510204081632653,8,4,0.07692307692307693,1,0.03125
"2019-11-10","BKN",106,138,33,57,0.5789473684210527,19,42,0.4523809523809524,0.4634146341463415,15,40,26,51,6,0.6060606060606061,0.6060606060606061,0.8947368421052632,0.42424242424242425,0.5445147959183674,0.6212121212121212,0.6342592592592593,0,2,0.03508771929824561,0,0
"2019-11-12","LAL",99,115,27,53,0.5094339622641509,16,38,0.42105263157894735,0.43243243243243246,13,32,22,48,0,0.5925925925925926,0.6153846153846154,1,0.4175824175824176,0.5430494444444445,0.5604395604395604,0.5867346938775511,2,4,0.07547169811320754,0,0
"2019-11-14","ATL",110,128,26,46,0.5652173913043478,15,39,0.38461538461538464,0.38461538461538464,31,36,16,42,3,0.6923076923076923,0.72,0.9333333333333333,0.4588235294117647,0.5790735294117647,0.5705882352941176,0.6237623762376238,2,5,0.10869565217391304,0,0
"2019-11-18","BOS",99,85,23,46,0.5,10,36,0.2777777777777778,0.2777777777777778,9,28,18,24,6,0.6086956521739131,0.6363636363636364,0.8,0.43902439024390244,0.5934323170731708,0.4634146341463415,0.48295454545454547,2,4,0.08695652173913043,1,0.027777777777777776
"2019-11-19","SAC",101,116,26,53,0.49056603773584906,12,36,0.3333333333333333,0.3333333333333333,28,26,26,33,3,0.5,0.52,0.9166666666666666,0.4044943820224719,0.5045898876404494,0.4943820224719101,0.5523809523809524,2,7,0.1320754716981132,0,0
