"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","PHX",108,95,24,58,0.41379310344827586,10,29,0.3448275862068966,0.3448275862068966,17,18,30,24,6,0.375,0.4090909090909091,0.8,0.3333333333333333,0.5402362068965517,0.4482758620689655,0.47959183673469385,4,9,0.15517241379310345,0,0
"2019-10-25","POR",103,112,22,50,0.44,15,37,0.40540540540540543,0.40540540540540543,23,16,28,27,18,0.36363636363636365,0.5,0.6,0.42528735632183906,0.5195235632183908,0.5114942528735632,0.5656565656565656,12,5,0.1,0,0
"2019-10-26","UTA",98,81,23,55,0.41818181818181815,7,26,0.2692307692307692,0.2692307692307692,14,20,26,18,3,0.43478260869565216,0.47619047619047616,0.8571428571428571,0.32098765432098764,0.47674506172839504,0.41358024691358025,0.4602272727272727,4,1,0.01818181818181818,0,0
"2019-10-28","DEN",92,94,24,54,0.4444444444444444,12,37,0.32432432432432434,0.32432432432432434,10,30,18,30,6,0.625,0.6818181818181818,0.8333333333333334,0.4065934065934066,0.5129714285714285,0.46153846153846156,0.47959183673469385,4,5,0.09259259259259259,0,0
"2019-10-30","CHA",101,111,30,50,0.6,14,46,0.30434782608695654,0.30434782608695654,9,28,32,36,6,0.4666666666666667,0.56,0.8571428571428571,0.4791666666666667,0.5372395833333333,0.53125,0.5495049504950495,10,2,0.04,1,0.021739130434782608
"2019-11-01","UTA",94,102,33,55,0.6,8,29,0.27586206896551724,0.27586206896551724,12,18,48,18,6,0.2727272727272727,0.3,0.75,0.34523809523809523,0.4881940476190476,0.5357142857142857,0.5666666666666667,6,4,0.07272727272727272,1,0.034482758620689655
"2019-11-03","NYK",97,113,26,46,0.5652173913043478,15,39,0.38461538461538464,0.38461538461538464,16,26,26,36,9,0.5,0.5909090909090909,0.8,0.4588235294117647,0.520935294117647,0.5705882352941176,0.5824742268041238,8,5,0.10869565217391304,0,0
"2019-11-06","TOR",101,120,22,51,0.43137254901960786,20,44,0.45454545454545453,0.45454545454545453,16,12,32,51,9,0.2727272727272727,0.3,0.85,0.4631578947368421,0.5138073684210527,0.5473684210526316,0.5673076923076923,4,4,0.0784313725490196,0,0
"2019-11-08","ATL",91,121,24,45,0.5333333333333333,18,31,0.5806451612903226,0.5806451612903226,19,22,26,48,6,0.4583333333333333,0.4782608695652174,0.8888888888888888,0.40789473684210525,0.522083552631579,0.6710526315789473,0.6976744186046512,2,6,0.13333333333333333,0,0
"2019-11-12","POR",98,107,27,54,0.5,11,32,0.34375,0.34375,20,28,26,30,3,0.5185185185185185,0.56,0.9090909090909091,0.37209302325581395,0.5069848837209303,0.5058139534883721,0.5408163265306123,4,4,0.07407407407407407,1,0.03125
"2019-11-15","LAL",93,97,20,43,0.46511627906976744,16,39,0.41025641025641024,0.39473684210526316,9,22,18,39,9,0.55,0.5789473684210527,0.8125,0.47560975609756095,0.5111179012345679,0.5365853658536586,0.5705882352941176,2,6,0.13953488372093023,0,0
"2019-11-17","BOS",95,100,24,54,0.4444444444444444,14,35,0.4,0.4,10,24,24,30,12,0.5,0.5714285714285714,0.7142857142857143,0.39325842696629215,0.5025078651685393,0.5056179775280899,0.5263157894736842,6,3,0.05555555555555555,0,0
"2019-11-19","PHX",102,120,29,48,0.6041666666666666,13,31,0.41935483870967744,0.41935483870967744,23,32,26,36,3,0.5517241379310345,0.6153846153846154,0.9230769230769231,0.3924050632911392,0.5186082278481012,0.6139240506329114,0.6555555555555556,6,4,0.08333333333333333,0,0
"2019-11-22","BKN",101,97,35,60,0.5833333333333334,4,26,0.15384615384615385,0.15384615384615385,15,44,26,12,0,0.6285714285714286,0.6666666666666666,1,0.3023255813953488,0.5175976744186046,0.47674418604651164,0.521505376344086,4,3,0.05,0,0
"2019-11-24","WAS",99,113,28,50,0.56,11,31,0.3548387096774194,0.36666666666666664,24,28,28,24,9,0.5,0.5384615384615384,0.7272727272727273,0.38271604938271603,0.50524375,0.5493827160493827,0.601063829787234,4,2,0.04,0,0
