"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","OKC",99,100,34,66,0.5151515151515151,6,24,0.25,0.25,14,18,50,18,0,0.2647058823529412,0.2903225806451613,1,0.26666666666666666,0.4928405555555555,0.4777777777777778,0.5050505050505051,6,4,0.06060606060606061,0,0
"2019-10-25","LAL",94,86,21,45,0.4666666666666667,8,25,0.32,0.3333333333333333,20,26,16,18,6,0.6190476190476191,0.65,0.75,0.35714285714285715,0.49865579710144925,0.4714285714285714,0.5375,2,9,0.2,0,0
"2019-10-26","SAC",97,113,26,41,0.6341463414634146,18,37,0.4864864864864865,0.5,7,24,28,48,6,0.46153846153846156,0.46153846153846156,0.8888888888888888,0.47435897435897434,0.5012811688311688,0.6794871794871795,0.6807228915662651,0,3,0.07317073170731707,0,0
"2019-10-28","PHX",102,96,17,40,0.425,10,31,0.3225806451612903,0.3225806451612903,32,24,10,21,9,0.7058823529411765,0.8,0.7,0.43661971830985913,0.5452570422535211,0.4507042253521127,0.5333333333333333,4,3,0.075,0,0
"2019-10-30","LAC",97,110,33,56,0.5892857142857143,11,24,0.4583333333333333,0.4782608695652174,11,30,36,24,9,0.45454545454545453,0.46875,0.7272727272727273,0.3,0.4881955696202532,0.61875,0.625,2,4,0.07142857142857142,0,0
"2019-11-01","SAC",93,101,24,45,0.5333333333333333,11,28,0.39285714285714285,0.39285714285714285,20,20,28,24,9,0.4166666666666667,0.43478260869565216,0.7272727272727273,0.3835616438356164,0.4973828767123288,0.5547945205479452,0.5872093023255814,2,3,0.06666666666666667,0,0
"2019-11-03","LAC",95,94,21,47,0.44680851063829785,10,31,0.3225806451612903,0.3225806451612903,22,18,24,21,9,0.42857142857142855,0.5,0.7,0.3974358974358974,0.5123942307692307,0.46153846153846156,0.5108695652173914,6,5,0.10638297872340426,1,0.03225806451612903
"2019-11-06","PHI",97,106,33,67,0.4925373134328358,8,22,0.36363636363636365,0.36363636363636365,16,26,40,24,0,0.3939393939393939,0.4482758620689655,1,0.24719101123595505,0.49882696629213485,0.5056179775280899,0.53,8,2,0.029850746268656716,1,0.045454545454545456
"2019-11-08","MIL",105,103,19,48,0.3958333333333333,15,36,0.4166666666666667,0.42857142857142855,20,10,28,30,15,0.2631578947368421,0.29411764705882354,0.6666666666666666,0.42857142857142855,0.49439698795180725,0.49404761904761907,0.5309278350515464,4,4,0.08333333333333333,0,0
"2019-11-11","GSW",100,122,24,46,0.5217391304347826,16,35,0.45714285714285713,0.47058823529411764,26,36,12,36,12,0.75,0.75,0.75,0.43209876543209874,0.5206645569620253,0.5925925925925926,0.6263157894736842,0,1,0.021739130434782608,1,0.02857142857142857
"2019-11-12","BKN",104,119,37,66,0.5606060606060606,6,26,0.23076923076923078,0.24,27,20,54,18,0,0.2702702702702703,0.30303030303030304,1,0.2826086956521739,0.48704780219780225,0.5,0.5509259259259259,8,8,0.12121212121212122,0,0
"2019-11-15","MEM",101,106,26,53,0.49056603773584906,9,34,0.2647058823529412,0.2647058823529412,27,20,32,21,6,0.38461538461538464,0.47619047619047616,0.7777777777777778,0.39080459770114945,0.5407942528735632,0.4540229885057471,0.5198019801980198,10,5,0.09433962264150944,0,0
"2019-11-18","MIN",106,102,23,65,0.35384615384615387,12,31,0.3870967741935484,0.3870967741935484,20,22,24,27,9,0.4782608695652174,0.55,0.75,0.3229166666666667,0.4984291666666667,0.4270833333333333,0.4811320754716981,6,10,0.15384615384615385,0,0
