"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","DAL",103,100,26,52,0.5,11,41,0.2682926829268293,0.275,15,32,20,30,3,0.6153846153846154,0.6956521739130435,0.9090909090909091,0.44086021505376344,0.5193989130434783,0.45698924731182794,0.495,6,5,0.09615384615384616,0,0
"2019-10-25","OKC",104,97,28,56,0.5,11,41,0.2682926829268293,0.2682926829268293,8,26,30,24,9,0.4642857142857143,0.5416666666666666,0.7272727272727273,0.422680412371134,0.5145319587628866,0.4587628865979381,0.4801980198019802,8,5,0.08928571428571429,1,0.024390243902439025
"2019-10-26","SAS",99,122,31,61,0.5081967213114754,16,34,0.47058823529411764,0.47058823529411764,12,32,30,42,6,0.5161290322580645,0.5517241379310345,0.875,0.35789473684210527,0.5070757894736841,0.5789473684210527,0.5980392156862745,4,7,0.11475409836065574,0,0
"2019-10-30","HOU",110,158,37,55,0.6727272727272727,20,36,0.5555555555555556,0.5555555555555556,24,36,38,39,21,0.4864864864864865,0.5294117647058824,0.65,0.3956043956043956,0.5139489010989011,0.7362637362637363,0.7696078431372549,6,5,0.09090909090909091,0,0
"2019-11-02","MIN",113,109,25,60,0.4166666666666667,12,35,0.34285714285714286,0.34285714285714286,23,24,26,27,9,0.48,0.5,0.75,0.3684210526315789,0.46580157894736846,0.45263157894736844,0.5046296296296297,2,9,0.15,1,0.02857142857142857
"2019-11-04","DET",97,115,35,64,0.546875,8,29,0.27586206896551724,0.27586206896551724,21,40,30,21,3,0.5714285714285714,0.6451612903225806,0.875,0.3118279569892473,0.4948618279569893,0.5053763440860215,0.5490196078431373,8,6,0.09375,3,0.10344827586206896
"2019-11-06","IND",102,106,24,55,0.43636363636363634,13,40,0.325,0.325,19,24,24,36,3,0.5,0.5454545454545454,0.9230769230769231,0.42105263157894735,0.5281547368421052,0.45789473684210524,0.5145631067961165,4,3,0.05454545454545454,0,0
"2019-11-08","CLE",97,100,38,65,0.5846153846153846,7,31,0.22580645161290322,0.22580645161290322,3,40,36,18,3,0.5263157894736842,0.5882352941176471,0.8571428571428571,0.3229166666666667,0.5097369791666667,0.5052083333333334,0.5102040816326531,8,5,0.07692307692307693,0,0
"2019-11-13","BOS",106,133,39,67,0.582089552238806,11,29,0.3793103448275862,0.3793103448275862,22,40,38,24,9,0.5128205128205128,0.5263157894736842,0.7272727272727273,0.3020833333333333,0.49475208333333337,0.578125,0.6214953271028038,2,5,0.07462686567164178,0,0
"2019-11-15","MIN",110,137,44,72,0.6111111111111112,10,28,0.35714285714285715,0.37037037037037035,19,56,32,30,0,0.6363636363636364,0.717948717948718,1,0.28,0.5618595959595959,0.59,0.6136363636363636,10,5,0.06944444444444445,0,0
"2019-11-17","ORL",101,121,27,56,0.48214285714285715,19,41,0.4634146341463415,0.4634146341463415,10,26,28,54,3,0.48148148148148145,0.5,0.9473684210526315,0.422680412371134,0.490590206185567,0.5721649484536082,0.5931372549019608,2,3,0.05357142857142857,0,0
"2019-11-20","SAS",105,138,36,62,0.5806451612903226,18,30,0.6,0.6,12,42,30,48,6,0.5833333333333334,0.6,0.8888888888888888,0.32608695652173914,0.5092402173913043,0.6847826086956522,0.7040816326530612,2,7,0.11290322580645161,1,0.03333333333333333
"2019-11-22","CHA",104,125,34,57,0.5964912280701754,14,34,0.4117647058823529,0.42424242424242425,15,44,24,36,6,0.6470588235294118,0.6666666666666666,0.8571428571428571,0.37362637362637363,0.5282572222222222,0.6043956043956044,0.625,2,5,0.08771929824561403,0,0
"2019-11-24","SAC",100,106,29,58,0.5,13,34,0.38235294117647056,0.38235294117647056,9,32,26,39,0,0.5517241379310345,0.64,1,0.3695652173913043,0.5043543478260869,0.5271739130434783,0.5463917525773195,8,4,0.06896551724137931,1,0.029411764705882353
"2019-11-26","DEN",108,104,30,55,0.5454545454545454,10,40,0.25,0.25,14,36,24,24,6,0.6,0.6666666666666666,0.8,0.42105263157894735,0.5328310526315789,0.47368421052631576,0.5048543689320388,6,6,0.10909090909090909,0,0
"2019-11-27","PHX",106,140,32,54,0.5925925925925926,19,35,0.5428571428571428,0.5428571428571428,19,36,28,42,15,0.5625,0.5806451612903226,0.7368421052631579,0.39325842696629215,0.5540724719101123,0.6797752808988764,0.7142857142857143,2,6,0.1111111111111111,0,0
"2019-11-29","LAL",107,103,28,59,0.4745762711864407,10,37,0.2702702702702703,0.2777777777777778,17,32,24,27,3,0.5714285714285714,0.5925925925925926,0.9,0.3854166666666667,0.5220752631578948,0.4479166666666667,0.4857142857142857,2,7,0.11864406779661017,1,0.02702702702702703
"2019-12-01","LAC",114,125,36,72,0.5,11,30,0.36666666666666664,0.3793103448275862,20,46,26,27,6,0.6388888888888888,0.6571428571428571,0.8181818181818182,0.29411764705882354,0.494730198019802,0.5147058823529411,0.5580357142857143,2,5,0.06944444444444445,0,0
"2019-12-03","ORL",102,120,33,54,0.6111111111111112,12,35,0.34285714285714286,0.34285714285714286,18,28,38,24,12,0.42424242424242425,0.45161290322580644,0.6666666666666666,0.39325842696629215,0.5283792134831461,0.5730337078651685,0.6122448979591837,4,3,0.05555555555555555,1,0.02857142857142857
"2019-12-05","PHI",102,119,30,63,0.47619047619047616,11,27,0.4074074074074074,0.4074074074074074,26,32,28,27,6,0.5333333333333333,0.6153846153846154,0.8181818181818182,0.3,0.5007616666666667,0.5166666666666667,0.5673076923076923,8,4,0.06349206349206349,2,0.07407407407407407
"2019-12-06","MIA",95,103,27,52,0.5192307692307693,12,39,0.3076923076923077,0.3076923076923077,13,36,18,33,3,0.6666666666666666,0.6923076923076923,0.9166666666666666,0.42857142857142855,0.557754945054945,0.4945054945054945,0.53125,2,6,0.11538461538461539,1,0.02564102564102564
"2019-12-08","LAC",101,119,26,55,0.4727272727272727,14,33,0.42424242424242425,0.4375,25,30,22,39,3,0.5769230769230769,0.625,0.9285714285714286,0.375,0.494517816091954,0.5340909090909091,0.5909090909090909,4,4,0.07272727272727272,0,0
"2019-12-10","CHA",95,107,27,55,0.4909090909090909,11,35,0.3142857142857143,0.3235294117647059,20,36,18,27,6,0.6666666666666666,0.75,0.8181818181818182,0.3888888888888889,0.5101056818181818,0.48333333333333334,0.535,6,4,0.07272727272727272,0,0
"2019-12-14","MEM",106,111,22,47,0.46808510638297873,14,38,0.3684210526315789,0.3684210526315789,25,26,18,27,15,0.5909090909090909,0.6190476190476191,0.6428571428571429,0.4470588235294118,0.5488929411764706,0.5058823529411764,0.5555555555555556,2,6,0.1276595744680851,1,0.02631578947368421
"2019-12-16","DET",98,133,31,54,0.5740740740740741,18,34,0.5294117647058824,0.5294117647058824,17,32,30,45,9,0.5161290322580645,0.5517241379310345,0.8333333333333334,0.38636363636363635,0.5050170454545454,0.6590909090909091,0.6927083333333334,4,4,0.07407407407407407,0,0
"2019-12-18","CHI",107,109,20,50,0.4,14,45,0.3111111111111111,0.3111111111111111,27,22,18,30,12,0.55,0.6470588235294118,0.7142857142857143,0.47368421052631576,0.5005873684210526,0.43157894736842106,0.4954545454545455,6,6,0.12,0,0
