"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","James Harden",11600,"CHA@HOU 12/13/2017 09:30PM ET",58.09,"HOU","CHA",59.97,58.2,42
"SF/PF","Giannis Antetokounmpo",11300,"MIL@NO 12/13/2017 08:00PM ET",55.667,"MIL","NO",58.17,57.5,60.75
"PG","Russell Westbrook",11200,"OKC@IND 12/13/2017 07:00PM ET",53.692,"OKC","IND",57.27,56.7,55.75
"PF/C","DeMarcus Cousins",11000,"MIL@NO 12/13/2017 08:00PM ET",55.554,"NO","MIL",58.37,57.2,52.75
"PF/C","Anthony Davis",10200,"MIL@NO 12/13/2017 08:00PM ET",48.37,"NO","MIL",46.91,46,49
"PG/SG","Victor Oladipo",9200,"OKC@IND 12/13/2017 07:00PM ET",42.817,"IND","OKC",43.12,43.1,36.75
"PG","Damian Lillard",9000,"POR@MIA 12/13/2017 07:30PM ET",45.308,"POR","MIA",45.91,44.6,30.75
"C","Nikola Vucevic",8800,"LAC@ORL 12/13/2017 07:00PM ET",38.884,"ORL","LAC",47.62,47.3,46
"PG/SG","Chris Paul",8400,"CHA@HOU 12/13/2017 09:30PM ET",40.795,"HOU","CHA",43.83,44.5,62.75
"PG","Kyle Lowry",8300,"TOR@PHO 12/13/2017 09:00PM ET",37.95,"TOR","PHO",42.62,41.3,28
"SG/SF","DeMar DeRozan",8300,"TOR@PHO 12/13/2017 09:00PM ET",38.65,"TOR","PHO",42.21,41.9,51.25
"PG","Kyrie Irving",8200,"DEN@BOS 12/13/2017 07:30PM ET",38.148,"BOS","DEN",42.92,41.4,51.25
"SF/PF","Aaron Gordon",8100,"LAC@ORL 12/13/2017 07:00PM ET",36.34,"ORL","LAC",0,0,0
"C","Nikola Jokic",8000,"DEN@BOS 12/13/2017 07:30PM ET",39.881,"DEN","BOS",36,36.5,0
"PG","John Wall",7900,"MEM@WAS 12/13/2017 07:00PM ET",42.313,"WAS","MEM",31.54,30.7,25.75
"SG/SF","Devin Booker",7800,"TOR@PHO 12/13/2017 09:00PM ET",38.3,"PHO","TOR",0,0,0
"PF/C","Blake Griffin",7800,"LAC@ORL 12/13/2017 07:00PM ET",43.763,"LAC","ORL",0,0,0
"SF","Paul George",7700,"OKC@IND 12/13/2017 07:00PM ET",38.833,"OKC","IND",39.19,38.3,27
"PG/SG","Lou Williams",7700,"LAC@ORL 12/13/2017 07:00PM ET",32.2,"LAC","ORL",40.79,39.8,0
"SG","Bradley Beal",7600,"MEM@WAS 12/13/2017 07:00PM ET",36.788,"WAS","MEM",35.64,35.2,36.5
"C","Marc Gasol",7600,"MEM@WAS 12/13/2017 07:00PM ET",39.824,"MEM","WAS",44.6,40.8,32
"C","Dwight Howard",7600,"CHA@HOU 12/13/2017 09:30PM ET",35.827,"CHA","HOU",40.74,40.1,55.5
"PG","Kemba Walker",7500,"CHA@HOU 12/13/2017 09:30PM ET",38.552,"CHA","HOU",39.79,36.1,27.75
"C","Hassan Whiteside",7400,"POR@MIA 12/13/2017 07:30PM ET",36.95,"MIA","POR",0,0,0
"C","DeAndre Jordan",7300,"LAC@ORL 12/13/2017 07:00PM ET",33.5,"LAC","ORL",37.18,37.7,54.5
"SG/SF","Tyreke Evans",7300,"MEM@WAS 12/13/2017 07:00PM ET",33.259,"MEM","WAS",0,0,0
"PG","Elfrid Payton",7200,"LAC@ORL 12/13/2017 07:00PM ET",27.987,"ORL","LAC",33.92,34.7,24.5
"PG/SG","Jrue Holiday",7200,"MIL@NO 12/13/2017 08:00PM ET",34.473,"NO","MIL",33.19,32.4,36.5
"PF/C","Al Horford",7100,"DEN@BOS 12/13/2017 07:30PM ET",35.139,"BOS","DEN",0,0,0
"PG/SG","Donovan Mitchell",7000,"UTA@CHI 12/13/2017 08:00PM ET",29.639,"UTA","CHI",35.38,34.1,49.75
"SG/SF","Will Barton",6900,"DEN@BOS 12/13/2017 07:30PM ET",31.135,"DEN","BOS",35.13,0,0
"SF/PF","Otto Porter",6900,"MEM@WAS 12/13/2017 07:00PM ET",32.05,"WAS","MEM",28.95,28.6,31.25
"C","Jusuf Nurkic",6900,"POR@MIA 12/13/2017 07:30PM ET",30.729,"POR","MIA",0,0,0
"SG/SF","Khris Middleton",6800,"MIL@NO 12/13/2017 08:00PM ET",35.58,"MIL","NO",36.38,36.7,38.25
"PG/SG","Eric Bledsoe",6800,"MIL@NO 12/13/2017 08:00PM ET",32.986,"MIL","NO",35.23,36.8,32.25
"SF/PF","TJ Warren",6700,"TOR@PHO 12/13/2017 09:00PM ET",30.536,"PHO","TOR",34.44,34.2,21.75
"C","Clint Capela",6700,"CHA@HOU 12/13/2017 09:30PM ET",34.46,"HOU","CHA",32.51,30.4,31.75
"PG/SG","CJ McCollum",6700,"POR@MIA 12/13/2017 07:30PM ET",33.2,"POR","MIA",31.54,32.4,41.25
"C","Rudy Gobert",6600,"UTA@CHI 12/13/2017 08:00PM ET",32.406,"UTA","CHI",31.37,30.9,31.25
"PF/C","Paul Millsap",6500,"DEN@BOS 12/13/2017 07:30PM ET",31.828,"DEN","BOS",0,0,0
"SF/PF","Carmelo Anthony",6500,"OKC@IND 12/13/2017 07:00PM ET",31.98,"OKC","IND",30.58,31.9,24.75
"C","Steven Adams",6400,"OKC@IND 12/13/2017 07:00PM ET",29.761,"OKC","IND",32.28,30.9,43.25
"SG/SF","Jonathon Simmons",6400,"LAC@ORL 12/13/2017 07:00PM ET",23.232,"ORL","LAC",34.67,33,41
"SG","Gary Harris",6300,"DEN@BOS 12/13/2017 07:30PM ET",27.771,"DEN","BOS",32.91,29.4,53.25
