"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Kevin Durant",11500,"DEN@GS 12/23/2017 08:30PM ET",49.029,"GS","DEN",0,53.9,33.5
"PG","Russell Westbrook",11200,"OKC@UTA 12/23/2017 08:00PM ET",54.766,"OKC","UTA",0,53.9,63
"SF/PF","Giannis Antetokounmpo",11100,"MIL@CHA 12/23/2017 07:00PM ET",56.036,"MIL","CHA",0,0,0
"PF/C","DeMarcus Cousins",10800,"NO@MIA 12/23/2017 08:00PM ET",54.823,"NO","MIA",0,53.3,44.75
"PF/C","Anthony Davis",10400,"NO@MIA 12/23/2017 08:00PM ET",48.817,"NO","MIA",0,48.8,39
"PG/SG","Victor Oladipo",9600,"BKN@IND 12/23/2017 07:00PM ET",42.895,"IND","BKN",0,45.4,57
"C","Karl-Anthony Towns",9500,"MIN@PHO 12/23/2017 09:00PM ET",43.516,"MIN","PHO",0,48.7,41.5
"PG/SG","Stephen Curry",9300,"DEN@GS 12/23/2017 08:30PM ET",46.924,"GS","DEN",0,0,0
"SG","Jimmy Butler",8900,"MIN@PHO 12/23/2017 09:00PM ET",38.433,"MIN","PHO",0,41.8,45.5
"PG","Kyrie Irving",8800,"CHI@BOS 12/23/2017 07:30PM ET",39.22,"BOS","CHI",0,41.2,45.25
"PG","John Wall",8700,"ORL@WAS 12/23/2017 07:00PM ET",41.288,"WAS","ORL",0,45.3,36.75
"C","Nikola Vucevic",8600,"ORL@WAS 12/23/2017 07:00PM ET",40.117,"ORL","WAS",0,41.2,2
"PG","Damian Lillard",8400,"POR@LAL 12/23/2017 09:30PM ET",44.129,"POR","LAL",0,0,0
"C","Marc Gasol",8200,"LAC@MEM 12/23/2017 08:00PM ET",39.898,"MEM","LAC",0,37,47.25
"SG/SF","Devin Booker",7900,"MIN@PHO 12/23/2017 09:00PM ET",38.3,"PHO","MIN",0,0,0
"PG/SG","Tyreke Evans",7900,"LAC@MEM 12/23/2017 08:00PM ET",33.742,"MEM","LAC",0,38.4,64.75
"SG","Bradley Beal",7800,"ORL@WAS 12/23/2017 07:00PM ET",37.702,"WAS","ORL",0,39.1,26.25
"PG/SG","CJ McCollum",7700,"POR@LAL 12/23/2017 09:30PM ET",33.3,"POR","LAL",0,39.4,33.25
"PF/C","LaMarcus Aldridge",7600,"SA@SAC 12/23/2017 10:00PM ET",38.547,"SA","SAC",0,37.8,46
"SG/SF","Khris Middleton",7600,"MIL@CHA 12/23/2017 07:00PM ET",36.422,"MIL","CHA",0,41,47.75
"C","Nikola Jokic",7600,"DEN@GS 12/23/2017 08:30PM ET",39.083,"DEN","GS",0,44.5,38.25
"SF/PF","Aaron Gordon",7500,"ORL@WAS 12/23/2017 07:00PM ET",35.904,"ORL","WAS",0,0,0
"PF/C","Blake Griffin",7500,"LAC@MEM 12/23/2017 08:00PM ET",43.763,"LAC","MEM",0,0,0
"PG/SG","Jrue Holiday",7500,"NO@MIA 12/23/2017 08:00PM ET",35.024,"NO","MIA",0,33.7,28
"C","DeAndre Jordan",7400,"LAC@MEM 12/23/2017 08:00PM ET",34.85,"LAC","MEM",0,36.5,30.5
"C","Dwight Howard",7400,"MIL@CHA 12/23/2017 07:00PM ET",36.097,"CHA","MIL",0,39.3,47.5
"PF/C","Al Horford",7300,"CHI@BOS 12/23/2017 07:30PM ET",34.938,"BOS","CHI",0,35.3,29.5
"PF/C","Draymond Green",7200,"DEN@GS 12/23/2017 08:30PM ET",35.94,"GS","DEN",0,37.3,32.75
"SF","Paul George",7100,"OKC@UTA 12/23/2017 08:00PM ET",37.983,"OKC","UTA",0,34.3,50.75
"SG","Klay Thompson",7100,"DEN@GS 12/23/2017 08:30PM ET",33.71,"GS","DEN",0,34.8,32.25
"PG/SG","Lou Williams",7000,"LAC@MEM 12/23/2017 08:00PM ET",32.207,"LAC","MEM",0,34.9,0
"C","Hassan Whiteside",7000,"NO@MIA 12/23/2017 08:00PM ET",36.95,"MIA","NO",0,0,0
"PG","Dennis Schroder",6900,"DAL@ATL 12/23/2017 07:30PM ET",34.819,"ATL","DAL",0,36.2,50.25
"PG/SG","Kris Dunn",6900,"CHI@BOS 12/23/2017 07:30PM ET",31.204,"CHI","BOS",0,33.5,14
"PG","Lonzo Ball",6900,"POR@LAL 12/23/2017 09:30PM ET",33.414,"LAL","POR",0,35,42.5
"PG/SG","Donovan Mitchell",6800,"OKC@UTA 12/23/2017 08:00PM ET",30.169,"UTA","OKC",0,33.6,39.75
"PG/SG","D'Angelo Russell",6800,"BKN@IND 12/23/2017 07:00PM ET",36.458,"BKN","IND",0,0,0
"PG","Kemba Walker",6800,"MIL@CHA 12/23/2017 07:00PM ET",37.267,"CHA","MIL",0,35.4,33.75
"SG/SF","Brandon Ingram",6700,"POR@LAL 12/23/2017 09:30PM ET",30.793,"LAL","POR",0,0,0
"C","Jusuf Nurkic",6700,"POR@LAL 12/23/2017 09:30PM ET",30.259,"POR","LAL",0,32.8,15.25
"SF/PF","Kyle Kuzma",6700,"POR@LAL 12/23/2017 09:30PM ET",29.804,"LAL","POR",0,35.8,32.75
"SG/SF","Kent Bazemore",6600,"DAL@ATL 12/23/2017 07:30PM ET",28.637,"ATL","DAL",0,27,31.5
"C","Rudy Gobert",6600,"OKC@UTA 12/23/2017 08:00PM ET",30.611,"UTA","OKC",0,0,0
"SF/PF","TJ Warren",6600,"MIN@PHO 12/23/2017 09:00PM ET",30.801,"PHO","MIN",0,31.5,43.25
"PF/C","Paul Millsap",6600,"DEN@GS 12/23/2017 08:30PM ET",31.828,"DEN","GS",0,0,0
"SF/PF","Harrison Barnes",6500,"DAL@ATL 12/23/2017 07:30PM ET",32.266,"DAL","ATL",0,31.5,31.5
"PF/C","Nikola Mirotic",6500,"CHI@BOS 12/23/2017 07:30PM ET",32.719,"CHI","BOS",0,29.3,23.75
"C","Myles Turner",6500,"BKN@IND 12/23/2017 07:00PM ET",30.97,"IND","BKN",0,35.2,48.25
"SG/SF","Jonathon Simmons",6500,"ORL@WAS 12/23/2017 07:00PM ET",24.398,"ORL","WAS",0,28.2,19.5
"C","Steven Adams",6400,"OKC@UTA 12/23/2017 08:00PM ET",29.894,"OKC","UTA",0,27.7,27.25
"SG/SF","Rodney Hood",6400,"OKC@UTA 12/23/2017 08:00PM ET",26.635,"UTA","OKC",0,25.5,14.25
"PG/SG","Spencer Dinwiddie",6400,"BKN@IND 12/23/2017 07:00PM ET",28.25,"BKN","IND",0,33.2,41.25
"PG","Mike Conley",6400,"LAC@MEM 12/23/2017 08:00PM ET",28.771,"MEM","LAC",0,0,0
"PG/SG","Eric Bledsoe",6400,"MIL@CHA 12/23/2017 07:00PM ET",32.591,"MIL","CHA",0,38.4,32.75
"SG/SF","Josh Richardson",6400,"NO@MIA 12/23/2017 08:00PM ET",22.548,"MIA","NO",0,29.8,22
"SG/SF","Taurean Prince",6300,"DAL@ATL 12/23/2017 07:30PM ET",26.653,"ATL","DAL",0,25.7,20.25
"SG","Gary Harris",6300,"DEN@GS 12/23/2017 08:30PM ET",29.357,"DEN","GS",0,30,28.5
