,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Injury Indicator,Injury Details,Hot,Cold
0,LeBron James,SF,LAC@LAL,LAL,49.97,9994,11400,-1406,52.23,8705,52.12,50.17,51.93,,,0.0,0.0
1,Anthony Davis,PF,LAC@LAL,LAL,46.92,9384,10400,-1016,47.12,7853,51.92,52.18,51.37,,,0.0,0.0
2,Kawhi Leonard,SF,LAC@LAL,LAC,47.66,9531,9500,31,51.47,8578,47.63,46.24,44.1,,,0.0,0.0
3,Jrue Holiday,SG,UTA@NO,NO,33.72,6745,8300,-1555,36.09,6016,39.55,37.92,41.93,,,0.0,0.0
4,Rudy Gobert,C,UTA@NO,UTA,27.49,5498,8200,-2702,25.81,4301,40.11,34.73,32.57,,,0.0,0.0
5,Lonzo Ball,PG,UTA@NO,NO,34.88,6976,7900,-924,34.81,5801,32.61,35.28,35.83,,,0.0,0.0
6,Paul George,SG,LAC@LAL,LAC,30.28,6055,7400,-1345,32.05,5341,36.36,32.54,25.27,,,0.0,0.2668440981773698
7,Brandon Ingram,SF,UTA@NO,NO,39.2,7839,7300,539,43.31,7217,38.81,37.18,42.13,,,0.0,0.0
8,Donovan Mitchell,SG,UTA@NO,UTA,34.42,6884,7200,-316,37.86,6310,36.1,35.61,46.13,,,0.9871741040844296,0.0
9,Zion Williamson,PF,UTA@NO,NO,29.07,5813,7100,-1287,31.71,5284,33.49,38.14,38.23,GTD,Personal,0.0,0.0
10,Montrezl Harrell,C,LAC@LAL,LAC,27.4,5480,6300,-820,28.44,4739,33.23,29.91,30.77,GTD,Personal,0.0,0.0
11,Mike Conley,PG,UTA@NO,UTA,25.25,5050,5700,-650,28.59,4765,24.35,25.93,21.6,,,0.0,0.0
12,Joe Ingles,SF,UTA@NO,UTA,19.54,3908,5500,-1592,19.28,3213,23.46,18.9,15.6,,,0.0,0.0
13,Derrick Favors,C,UTA@NO,NO,23.24,4648,5400,-752,23.48,3914,26.47,23.63,25.93,,,0.0,0.0
14,Royce O'Neale,PF,UTA@NO,UTA,21.08,4217,4900,-683,21.17,3529,18.87,19.48,26.33,,,0.3919136442865617,0.0
