,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
0,Giannis Antetokounmpo,SF,BOS@MIL,MIL,63.22,12644,10700,1944,66.02,11003,57.25,60.33,49.73,1.0,,,0.0,0.0
1,James Harden,SG,HOU@DAL,HOU,55.76,11152,10600,552,59.59,9932,55.99,56.99,53.03,6.0,,,0.0,0.0
2,Russell Westbrook,PG,HOU@DAL,HOU,42.85,8570,9800,-1230,44.48,7413,48.41,53.21,50.67,9.0,GTD,Illness,0.0,0.0
3,Damian Lillard,PG,MEM@POR,POR,47.09,9417,8900,517,52.13,8688,47.04,55.37,41.6,22.0,,,0.0,1.833198062344712
4,Hassan Whiteside,C,MEM@POR,POR,53.98,10796,8700,2096,54.11,9018,43.65,44.3,49.13,20.0,,,0.0,0.0
5,Jayson Tatum,PF,BOS@MIL,BOS,46.93,9386,8500,886,49.5,8250,40.82,49.33,50.67,12.0,,,0.0,0.0
6,Caris LeVert,SG,ORL@BKN,BKN,27.81,5562,8200,-2638,28.88,4813,30.16,39.89,41.27,21.0,,,0.0,0.0
7,DeMar DeRozan,SG,SAC@SA,SA,38.43,7685,8200,-515,40.87,6811,38.62,40.16,35.03,17.0,,,0.0,0.0
8,Devin Booker,SG,PHO@WAS,PHO,36.07,7214,8000,-786,39.76,6626,39.51,37.55,35.67,18.0,GTD,Hip,0.0,0.0
9,Deandre Ayton,C,PHO@WAS,PHO,44.39,8878,7600,1278,44.34,7389,41.18,44.93,38.97,18.0,GTD,Ankle,0.0,0.0
10,De'Aaron Fox,PG,SAC@SA,SAC,28.39,5678,7500,-1822,30.77,5129,37.24,35.52,37.67,16.0,GTD,Ankle,0.0,0.0
11,CJ McCollum,SG,MEM@POR,POR,40.73,8145,7400,745,45.14,7523,36.14,38.35,54.4,22.0,,,2.24301366186491,0.0
12,Khris Middleton,SG,BOS@MIL,MIL,42.46,8493,7100,1393,44.58,7429,35.28,43.19,43.13,5.0,,,0.0,0.0
13,Aaron Gordon,PF,ORL@BKN,ORL,44.71,8943,6800,2143,48.21,8034,31.87,44.77,53.73,5.0,,,0.0,0.0
14,Jarrett Allen,C,ORL@BKN,BKN,29.75,5951,6700,-749,30.32,5054,28.57,24.38,28.2,7.0,,,0.0,0.0
15,Gordon Hayward,SF,BOS@MIL,BOS,27.17,5433,6600,-1167,30.13,5022,33.21,34.34,21.7,8.0,,,0.0,2.7393470242088127
16,Ricky Rubio,PG,PHO@WAS,PHO,30.07,6013,6500,-487,33.47,5579,34.36,37.18,51.87,30.0,,,2.0229501043179905,0.0
17,Eric Bledsoe,PG,BOS@MIL,MIL,37.65,7530,6400,1130,40.24,6706,30.76,34.48,32.77,8.0,GTD,Illness,0.0,0.0
18,Ja Morant,PG,MEM@POR,MEM,33.28,6655,6300,355,35.95,5991,32.4,28.57,27.57,21.0,,,0.0,0.0
19,Dejounte Murray,PG,SAC@SA,SA,27.77,5554,6200,-646,29.76,4960,27.87,30.15,28.37,24.0,,,0.0,0.0
