,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
0,Luka Doncic,SG,HOU@DAL,DAL,38.84,6.28,3.02,7.54,7.51,8.16,0.02,0.51,4.64,4.0, , 
1,Giannis Antetokounmpo,SF,BOS@MIL,MIL,34.68,7.59,1.61,4.9,11.56,5.91,0.82,0.95,3.65,1.0, , 
2,James Harden,SG,HOU@DAL,HOU,37.98,5.13,3.67,8.69,5.01,7.52,0.32,1.01,5.06,6.0, , 
3,Russell Westbrook,PG,HOU@DAL,HOU,31.68,9.97,1.58,4.5,7.81,5.89,0.75,1.79,3.98,9.0,GTD,Illness
4,Kristaps Porzingis,PF,HOU@DAL,DAL,36.03,4.69,2.07,3.13,8.09,1.14,0.64,0.41,2.34,19.0, , 
5,Damian Lillard,PG,MEM@POR,POR,34.96,3.4,2.79,4.83,3.53,5.35,0.06,1.0,3.7,22.0, , 
6,Hassan Whiteside,C,MEM@POR,POR,29.48,6.69,0.48,0.58,11.9,0.77,1.39,0.63,2.11,20.0, , 
7,Jayson Tatum,PF,BOS@MIL,BOS,32.32,5.63,2.3,3.71,6.81,3.19,0.36,0.57,3.44,12.0, , 
8,Nikola Vucevic,C,ORL@BKN,ORL,30.25,5.52,0.38,2.14,10.22,3.03,0.49,0.95,2.36,26.0, , 
9,Caris LeVert,SG,ORL@BKN,BKN,29.65,4.97,1.48,4.42,3.36,4.23,0.26,0.74,3.21,21.0, , 
10,DeMar DeRozan,SG,SAC@SA,SA,24.91,5.87,0.13,4.54,3.96,6.01,0.37,0.37,2.97,17.0, , 
11,Devin Booker,SG,PHO@WAS,PHO,31.82,6.05,1.88,4.95,3.19,6.72,0.29,1.01,4.13,18.0,GTD,Hip
12,Jonas Valanciunas,C,MEM@POR,MEM,28.06,5.89,0.16,2.13,10.91,1.91,1.26,1.05,2.3,24.0, , 
13,Deandre Ayton,C,PHO@WAS,PHO,30.06,8.79,1.09,1.11,11.29,2.55,1.45,1.18,2.77,18.0,GTD,Ankle
14,De'Aaron Fox,PG,SAC@SA,SAC,24.87,5.21,0.67,5.19,2.44,3.91,0.45,0.27,3.33,16.0,GTD,Ankle
15,CJ McCollum,SG,MEM@POR,POR,32.6,5.45,2.35,3.67,4.73,3.99,0.04,0.64,3.07,22.0, , 
16,Khris Middleton,SG,BOS@MIL,MIL,28.14,5.48,2.21,3.62,5.88,2.78,0.27,1.01,2.3,5.0, , 
17,Aaron Gordon,PF,ORL@BKN,ORL,31.21,3.52,1.16,2.51,6.48,4.7,0.48,1.11,2.44,5.0, , 
18,Jarrett Allen,C,ORL@BKN,BKN,18.95,2.76,0.0,0.77,5.91,1.16,0.91,0.82,1.1,7.0, , 
19,Gordon Hayward,SF,BOS@MIL,BOS,26.25,4.14,1.43,1.62,5.52,2.93,0.26,0.89,1.8,8.0, , 
20,Ricky Rubio,PG,PHO@WAS,PHO,31.38,3.4,1.64,3.41,3.3,7.76,0.26,1.87,3.4,30.0, , 
21,Eric Bledsoe,PG,BOS@MIL,MIL,23.85,4.21,1.8,1.54,4.03,4.84,0.53,1.46,2.22,8.0,GTD,Illness
22,Ja Morant,PG,MEM@POR,MEM,28.06,4.95,1.49,2.26,3.37,6.17,0.49,1.5,3.24,21.0, , 
23,Dejounte Murray,PG,SAC@SA,SA,26.38,4.72,1.7,1.37,6.27,4.01,0.37,1.19,1.91,24.0, , 
24,Kemba Walker,PG,BOS@MIL,BOS,28.71,3.01,1.95,5.02,4.07,3.9,0.0,0.29,2.21,18.0, , 
25,Shabazz Napier,PG,PHO@WAS,WAS,25.03,2.55,2.19,3.63,2.78,4.6,0.47,1.18,2.98,19.0, , 
26,Robert Covington,PF,HOU@DAL,HOU,28.58,2.18,2.66,0.0,7.45,0.75,0.92,1.06,1.51,9.0, , 
27,Jaylen Brown,SF,BOS@MIL,BOS,27.93,4.38,1.69,2.85,5.22,1.77,0.2,0.73,2.01,8.0, , 
28,Tim Hardaway,SF,HOU@DAL,DAL,27.94,2.79,2.48,2.79,4.5,1.52,0.0,0.49,1.94,20.0, , 
29,Trey Lyles,PF,SAC@SA,SA,25.86,2.23,1.93,1.74,6.5,1.56,0.36,0.59,1.57,10.0,O,Side
30,Markelle Fultz,PG,ORL@BKN,ORL,23.34,4.13,0.65,1.27,3.01,3.8,0.2,1.24,1.94,20.0, , 
31,Chris Chiozza,PG,ORL@BKN,BKN,18.27,0.98,1.03,0.0,2.66,1.55,0.36,1.03,0.97,19.0, , 
32,Rui Hachimura,PF,PHO@WAS,WAS,20.45,2.8,0.3,2.49,4.15,1.95,0.71,0.67,1.74,16.0, , 
33,Terrence Ross,SG,ORL@BKN,ORL,27.84,1.81,2.14,1.74,3.58,0.81,0.0,0.99,2.21,10.0, , 
34,Buddy Hield,SG,SAC@SA,SAC,28.58,2.18,2.87,0.76,5.02,2.3,0.1,1.33,2.32,25.0, , 
35,Marcus Smart,SG,BOS@MIL,BOS,32.95,3.61,2.98,3.52,5.36,3.94,0.13,0.87,2.7,13.0, , 
36,Evan Fournier,SF,ORL@BKN,ORL,26.19,2.32,2.43,1.62,3.47,1.78,0.22,0.92,2.37,10.0, , 
37,Mikal Bridges,SF,PHO@WAS,PHO,23.65,2.83,1.55,0.31,4.17,1.48,0.5,1.22,1.31,27.0, , 
38,Thomas Bryant,C,PHO@WAS,WAS,19.42,2.28,0.72,0.97,4.48,1.23,0.72,0.64,1.4,12.0, , 
39,Bogdan Bogdanovic,SG,SAC@SA,SAC,26.21,1.54,2.44,1.41,4.56,2.65,0.26,0.89,2.07,25.0, , 
40,Joe Harris,SF,ORL@BKN,BKN,24.12,3.15,1.79,0.23,4.76,1.83,0.38,1.2,1.77,11.0, , 
41,Derrick White,PG,SAC@SA,SA,23.02,2.69,1.51,2.73,3.95,2.33,0.7,0.16,2.05,23.0, , 
42,Donte DiVincenzo,SG,BOS@MIL,MIL,24.38,1.86,2.0,0.91,5.2,2.86,0.47,1.32,1.28,17.0, , 
43,Seth Curry,PG,HOU@DAL,DAL,26.41,2.18,2.21,0.49,4.36,2.27,0.0,1.29,2.15,20.0,GTD,Ankle
44,Daniel Theis,PF,BOS@MIL,BOS,22.37,3.36,0.59,0.93,5.49,1.3,0.74,0.43,1.48,8.0, , 
45,Carmelo Anthony,SF,MEM@POR,POR,22.29,3.59,0.8,1.21,4.62,1.9,0.43,0.87,1.7,22.0, , 
46,Brook Lopez,C,BOS@MIL,MIL,21.37,2.8,1.51,1.4,3.62,0.57,0.71,0.54,0.91,2.0, , 
47,Josh Jackson,SF,MEM@POR,MEM,21.01,2.29,1.64,1.44,2.19,1.6,0.44,0.94,1.46,16.0, , 
48,Dario Saric,PF,PHO@WAS,PHO,22.74,3.27,0.72,1.52,4.42,1.21,0.44,0.99,1.39,11.0, , 
49,Harrison Barnes,SF,SAC@SA,SAC,22.65,2.83,0.7,2.07,3.85,2.35,0.39,0.67,1.99,24.0,GTD,Illness
50,Marvin Bagley,PF,SAC@SA,SAC,22.48,5.74,0.38,1.6,6.96,0.57,0.83,0.41,1.52,24.0, , 
51,De'Anthony Melton,PG,MEM@POR,MEM,22.53,1.28,1.54,0.0,3.6,2.52,0.51,1.52,1.23,21.0, , 
52,Jaren Jackson,PF,MEM@POR,MEM,20.89,2.06,1.1,1.91,3.46,1.02,0.78,0.44,1.68,24.0, , 
53,Rudy Gay,SF,SAC@SA,SA,24.12,4.0,1.44,1.78,6.47,1.2,0.41,0.24,1.51,10.0, , 
54,Delon Wright,SG,HOU@DAL,DAL,24.19,1.63,1.85,0.33,6.02,3.38,0.47,1.63,1.4,20.0, , 
55,Troy Brown,SF,PHO@WAS,WAS,20.59,1.86,0.91,0.81,4.25,2.63,0.55,0.94,1.58,27.0, , 
56,Brandon Clarke,PF,MEM@POR,MEM,19.16,3.89,0.32,0.34,4.35,0.56,0.74,0.99,0.83,29.0, , 
57,Nemanja Bjelica,PF,SAC@SA,SAC,24.56,2.46,1.34,0.99,6.71,2.4,0.51,0.87,1.59,24.0, , 
58,Garrett Temple,SG,ORL@BKN,BKN,22.82,0.99,1.84,0.35,3.77,1.88,0.47,0.7,1.33,21.0, , 
59,Kent Bazemore,SF,SAC@SA,SAC,20.35,2.29,0.68,1.24,6.06,1.7,0.69,0.71,1.66,22.0, , 
60,Aron Baynes,C,PHO@WAS,PHO,24.36,3.03,1.52,1.45,4.77,0.8,0.43,1.0,1.4,18.0, , 
61,Ish Smith,PG,PHO@WAS,WAS,21.59,2.7,1.03,0.64,2.92,3.59,0.28,1.09,1.15,19.0,GTD,Hamstring
