"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-24","MIL",109,111,17,42,0.40476190476190477,16,48,0.3333333333333333,0.3333333333333333,29,28,6,33,15,0.8235294117647058,0.875,0.6875,0.5333333333333333,0.5269455555555556,0.45555555555555555,0.5186915887850467,2,9,0.21428571428571427,1,0.020833333333333332
"2019-10-26","NOP",110,126,30,49,0.6122448979591837,13,45,0.28888888888888886,0.28888888888888886,27,34,26,30,9,0.5666666666666667,0.5862068965517241,0.7692307692307693,0.4787234042553192,0.5419218085106383,0.526595744680851,0.5952380952380952,2,1,0.02040816326530612,1,0.022222222222222223
"2019-10-28","OKC",103,116,29,46,0.6304347826086957,10,44,0.22727272727272727,0.22727272727272727,28,28,30,21,9,0.4827586206896552,0.5384615384615384,0.7,0.4888888888888889,0.5076177777777778,0.4888888888888889,0.553921568627451,6,3,0.06521739130434782,0,0
"2019-10-30","WAS",110,159,32,49,0.6530612244897959,23,54,0.42592592592592593,0.42592592592592593,26,32,32,54,15,0.5,0.5161290322580645,0.782608695652174,0.5242718446601942,0.554095145631068,0.6456310679611651,0.6853448275862069,2,4,0.08163265306122448,0,0
"2019-11-01","BKN",109,116,29,51,0.5686274509803921,12,48,0.25,0.25,22,22,36,30,6,0.3793103448275862,0.3793103448275862,0.8333333333333334,0.48484848484848486,0.5605121212121211,0.47474747474747475,0.5225225225225225,0,6,0.11764705882352941,1,0.020833333333333332
"2019-11-03","MIA",108,100,17,31,0.5483870967741935,14,48,0.2916666666666667,0.2765957446808511,24,20,14,27,15,0.5882352941176471,0.5882352941176471,0.6428571428571429,0.6075949367088608,0.5663955128205128,0.4810126582278481,0.5376344086021505,0,6,0.1935483870967742,1,0.020833333333333332
"2019-11-04","MEM",103,107,18,43,0.4186046511627907,17,50,0.34,0.3469387755102041,20,18,18,33,18,0.5,0.5625,0.6470588235294118,0.5376344086021505,0.5745293478260869,0.46774193548387094,0.5048543689320388,4,7,0.16279069767441862,0,0
"2019-11-06","GSW",102,129,27,52,0.5192307692307693,21,45,0.4666666666666667,0.4666666666666667,12,30,24,48,15,0.5555555555555556,0.625,0.7619047619047619,0.4639175257731959,0.5596360824742268,0.6030927835051546,0.6095238095238096,6,1,0.019230769230769232,0,0
"2019-11-09","CHI",108,117,20,39,0.5128205128205128,19,44,0.4318181818181818,0.4318181818181818,20,18,22,27,30,0.45,0.45,0.47368421052631576,0.5301204819277109,0.5510078313253012,0.5843373493975904,0.6157894736842106,0,4,0.10256410256410256,1,0.022727272727272728
"2019-11-11","NOP",109,122,32,44,0.7272727272727273,12,41,0.2926829268292683,0.2926829268292683,22,16,48,24,12,0.25,0.26666666666666666,0.6666666666666666,0.4823529411764706,0.5209735294117647,0.5882352941176471,0.6173469387755102,4,3,0.06818181818181818,0,0
