PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Damian Lillard,POR,27,4.6,17.20%,1.11,5.1,1.9,3.4,45.70%,56.00%,15.30%,11.30%,13.70%,1.60%,47.60%,79.9
James Harden,BKN,16,6.6,29.60%,1.25,8.3,2.6,5.2,49.40%,62.70%,13.20%,10.40%,13.20%,1.90%,50.00%,92.5
Giannis Antetokounmpo,MIL,27,4.4,16.60%,0.98,4.3,1.9,3.4,44.00%,49.50%,16.10%,9.30%,13.60%,2.50%,45.80%,62.4
LeBron James,LAL,29,4.6,18.40%,0.87,4,2.2,3.8,40.90%,48.60%,7.50%,12.80%,7.50%,3.00%,36.80%,44.8
Luka Doncic,DAL,27,4.6,15.80%,0.94,4.3,2.3,3.8,38.80%,44.20%,13.00%,6.50%,8.90%,3.30%,42.30%,56
Julius Randle,NYK,30,3.9,17.00%,0.94,3.6,1.7,3.1,45.70%,47.80%,12.90%,10.30%,11.20%,2.60%,46.60%,57.5
John Wall,HOU,19,4.9,22.20%,1.05,5.2,1.9,3.9,52.00%,52.70%,12.80%,9.60%,11.70%,2.10%,52.10%,73.9
Kyrie Irving,BKN,20,3.6,14.90%,1.29,4.7,1.3,3.1,58.70%,66.70%,9.70%,6.90%,9.70%,4.20%,56.90%,95.5
DeMar DeRozan,SAS,25,2.9,16.20%,1.23,3.6,0.9,2.1,57.70%,58.70%,23.30%,8.20%,20.50%,2.70%,61.60%,91
Shai Gilgeous-Alexander,OKC,22,4.3,20.30%,0.95,4.1,2,3.5,43.60%,48.70%,9.50%,9.50%,10.50%,2.10%,43.20%,58.2
Joel Embiid,PHI,23,3.3,13.10%,1.16,3.9,1.1,2.6,58.30%,60.00%,16.90%,9.10%,14.30%,3.90%,58.40%,83.6
Kawhi Leonard,LAC,23,4.2,17.80%,0.89,3.7,2.1,3.5,40.70%,42.00%,10.40%,5.20%,8.30%,0.00%,44.80%,47
Jayson Tatum,BOS,23,4.5,17.70%,0.82,3.7,2.5,3.9,34.80%,41.00%,6.80%,8.70%,4.90%,1.90%,35.00%,32.8
Kevin Durant,BKN,19,3.4,13.10%,1.25,4.2,1.2,2.6,55.10%,65.30%,14.10%,10.90%,9.40%,1.60%,54.70%,94
Andrew Wiggins,GSW,29,2.1,12.10%,1.24,2.7,0.8,1.8,53.80%,60.60%,17.70%,6.50%,17.70%,8.10%,54.80%,91.8
Jerami Grant,DET,28,2.5,11.30%,1.06,2.6,1,1.9,50.00%,53.70%,15.70%,10.00%,14.30%,2.90%,51.40%,74.6
Brandon Ingram,NOP,28,2.8,12.70%,0.92,2.6,1.2,2.1,42.40%,46.60%,15.20%,13.90%,13.90%,3.80%,43.00%,51.5
Zion Williamson,NOP,27,2.2,10.40%,1.22,2.7,0.4,1.4,70.30%,70.30%,25.40%,15.30%,25.40%,3.40%,64.40%,90.3
Pascal Siakam,TOR,25,3,14.20%,0.93,2.8,1.3,2.5,46.80%,46.80%,15.80%,9.20%,15.80%,6.60%,47.40%,55.2
Zach LaVine,CHI,27,2.4,9.30%,1.09,2.6,1,2,52.70%,57.30%,9.40%,7.80%,9.40%,3.10%,50.00%,79.1
Paul George,LAC,20,3,13.60%,1.15,3.5,1.1,2.4,52.10%,62.50%,10.00%,11.70%,8.30%,1.70%,50.00%,82.8
Russell Westbrook,WAS,19,5.9,23.50%,0.62,3.6,2.7,4.1,34.60%,35.90%,11.60%,19.60%,10.70%,0.90%,32.10%,9.7
Chris Paul,PHX,26,2.7,16.00%,0.97,2.6,1.4,2.5,43.80%,49.20%,2.90%,5.70%,2.90%,0.00%,42.90%,60.2
De'Aaron Fox,SAC,26,3,12.70%,0.86,2.6,1.5,2.5,40.60%,42.20%,15.40%,7.70%,15.40%,6.40%,42.30%,41.8
Bradley Beal,WAS,24,2.5,8.00%,1.12,2.8,1,2.1,52.00%,56.00%,13.60%,10.20%,11.90%,8.50%,49.20%,80.6
Devin Booker,PHX,23,3.6,15.10%,0.78,2.8,1.7,2.7,36.50%,38.90%,14.50%,12.00%,15.70%,3.60%,38.60%,27.6
Bam Adebayo,MIA,26,2.2,11.90%,1.12,2.5,0.6,1.5,57.90%,57.90%,21.10%,17.50%,21.10%,5.30%,54.40%,81.3
Khris Middleton,MIL,28,2.2,11.90%,1.02,2.2,1,1.8,46.00%,52.00%,9.80%,9.80%,4.90%,1.60%,45.90%,70.9
Nikola Jokic,DEN,28,1.8,7.50%,1.16,2.1,0.6,1.5,60.50%,60.50%,11.80%,9.80%,11.80%,5.90%,56.90%,84.3
Malcolm Brogdon,IND,29,2,9.50%,0.98,2,1.1,1.8,39.20%,43.10%,16.90%,5.10%,15.30%,8.50%,42.40%,62.4
CJ McCollum,POR,13,3.6,16.20%,1.19,4.3,1.5,3.2,51.20%,58.50%,12.80%,4.30%,12.80%,4.30%,51.10%,88.1
Carmelo Anthony,POR,27,2.4,17.10%,0.88,2.1,1.3,2,37.00%,40.70%,12.50%,3.10%,12.50%,0.00%,42.20%,45.5
Anthony Davis,LAL,23,2.4,11.60%,0.98,2.4,1,1.9,46.50%,46.50%,17.90%,7.10%,14.30%,1.80%,51.80%,61.2
Anthony Edwards,MIN,29,1.5,8.90%,1.21,1.8,0.7,1.3,50.00%,60.50%,11.60%,4.70%,9.30%,4.70%,51.20%,89.6
James Harden,HOU,8,6,24.70%,1.02,6.1,2.8,4.9,43.60%,53.80%,8.30%,10.40%,6.30%,0.00%,43.80%,71.6
Donovan Mitchell,UTA,27,2.1,8.80%,0.85,1.8,1.1,1.7,38.30%,43.60%,10.30%,12.10%,8.60%,3.40%,37.90%,39.6
