TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Atlanta Hawks,82,4.5,4.10%,0.83,3.7,1.4,3.5,39.10%,42.60%,13.00%,11.90%,11.10%,1.90%,40.40%,93.1
New York Knicks,82,6.2,5.70%,0.76,4.7,1.7,5.1,32.70%,36.00%,11.60%,7.10%,9.60%,1.20%,36.20%,100
Brooklyn Nets,82,5.6,5.00%,0.95,5.3,2.1,4.7,44.20%,47.50%,11.40%,7.90%,10.50%,3.50%,44.60%,10.3
Detroit Pistons,82,6,5.60%,0.92,5.5,2.1,5,41.80%,45.60%,10.50%,8.70%,10.10%,2.60%,42.60%,41.4
Sacramento Kings,82,6.6,6.20%,0.84,5.5,2,5.3,37.40%,41.00%,12.50%,9.10%,12.30%,2.00%,40.10%,79.3
Indiana Pacers,82,6.7,6.30%,0.84,5.7,2.1,5.5,37.90%,41.10%,13.20%,8.10%,12.50%,2.70%,40.90%,86.2
Miami Heat,82,6.7,6.20%,0.86,5.7,2.1,5.4,38.50%,41.90%,11.70%,9.90%,10.00%,1.60%,40.70%,75.9
Charlotte Hornets,82,6,5.50%,0.98,5.9,2.2,5,44.00%,48.40%,11.70%,8.40%,11.50%,4.10%,44.20%,3.4
Phoenix Suns,82,6.5,5.80%,0.93,6,2.2,5.3,42.50%,46.40%,11.80%,9.40%,11.10%,2.60%,43.60%,27.6
Memphis Grizzlies,82,7.1,6.70%,0.86,6.1,2.1,5.5,37.80%,41.10%,16.20%,10.10%,14.30%,3.10%,41.20%,69
Orlando Magic,82,6.9,6.30%,0.89,6.2,2.3,5.6,41.00%,44.00%,12.30%,9.10%,11.80%,2.30%,43.10%,51.7
San Antonio Spurs,82,7.2,6.80%,0.86,6.2,2.2,5.9,38.30%,42.20%,11.60%,9.20%,11.10%,2.40%,39.80%,72.4
Portland Trail Blazers,82,6.8,6.30%,0.93,6.4,2.4,5.7,41.50%,45.60%,12.30%,7.00%,11.60%,2.90%,43.50%,20.7
Dallas Mavericks,82,7.4,7.00%,0.86,6.4,2.3,5.9,38.60%,42.80%,12.90%,9.30%,11.20%,2.10%,40.30%,65.5
New Orleans Pelicans,82,7.2,6.30%,0.9,6.5,2.5,6.1,40.80%,44.50%,9.30%,6.90%,8.50%,1.20%,42.60%,48.3
Minnesota Timberwolves,82,7.2,6.70%,0.92,6.6,2.5,5.9,42.40%,45.80%,10.90%,9.20%,10.00%,1.70%,43.50%,31
Toronto Raptors,82,7.6,6.90%,0.92,6.9,2.5,6.1,41.40%,44.50%,13.70%,8.20%,12.40%,2.30%,44.00%,34.5
Boston Celtics,82,7.8,7.30%,0.91,7.2,2.8,6.5,42.30%,45.30%,11.10%,7.90%,10.60%,2.60%,43.50%,44.8
Utah Jazz,82,8.3,7.80%,0.88,7.3,2.7,6.9,40.00%,43.30%,11.90%,8.50%,11.00%,2.80%,41.60%,58.6
Denver Nuggets,82,8,7.40%,0.92,7.3,2.8,6.6,41.80%,45.80%,10.50%,8.80%,9.90%,1.80%,42.90%,37.9
Chicago Bulls,82,7.9,7.30%,0.93,7.4,2.9,6.8,42.20%,45.60%,10.60%,6.90%,8.90%,2.80%,43.70%,24.1
Milwaukee Bucks,82,9,8.30%,0.84,7.6,2.8,7.4,37.90%,40.60%,12.20%,8.30%,10.70%,2.20%,40.10%,89.7
Oklahoma City Thunder,82,9.3,8.70%,0.83,7.7,2.8,7.5,37.30%,41.00%,10.40%,9.90%,9.00%,1.20%,39.00%,96.6
Washington Wizards,82,8.4,7.80%,0.94,7.9,3,7,42.80%,47.20%,11.50%,9.40%,10.90%,3.80%,42.70%,17.2
Philadelphia 76ers,82,9.3,8.30%,0.89,8.2,3,7.6,40.10%,43.20%,11.80%,8.10%,10.60%,2.00%,42.00%,55.2
LA Clippers,82,8.8,7.90%,0.96,8.4,3.1,7.1,42.90%,47.10%,13.60%,7.60%,12.20%,2.60%,45.00%,6.9
Los Angeles Lakers,82,9.4,8.30%,0.95,8.9,3.2,7.7,41.50%,46.30%,11.90%,8.10%,10.80%,2.20%,43.50%,13.8
Golden State Warriors,82,10.3,9.20%,0.87,9,3.4,8.5,40.10%,43.70%,11.10%,8.60%,10.50%,2.00%,41.40%,62.1
Cleveland Cavaliers,82,9,8.20%,1.01,9.1,3.4,7.6,44.70%,49.70%,12.20%,6.20%,11.00%,2.70%,47.20%,0
Houston Rockets,82,12.1,11.20%,0.84,10.2,3.9,10.1,39.00%,42.30%,9.30%,8.80%,8.90%,2.10%,39.40%,82.8
