TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Houston Rockets,82,15.6,14.50%,1.12,17.5,5.5,12.6,43.40%,52.70%,16.20%,6.20%,14.60%,3.00%,47.70%,100
Cleveland Cavaliers,82,10.9,10.10%,0.91,9.9,4,9.4,42.40%,46.70%,9.10%,7.80%,8.00%,2.60%,42.10%,72.4
Oklahoma City Thunder,82,11.7,10.50%,0.83,9.6,3.6,9.7,37.30%,40.70%,11.50%,8.00%,10.70%,2.30%,39.30%,20.7
LA Clippers,82,8.8,7.90%,1,8.8,3.2,7.3,44.20%,50.30%,11.30%,7.20%,10.30%,1.90%,45.80%,96.6
Portland Trail Blazers,82,9.3,8.60%,0.91,8.5,2.8,7.3,38.30%,41.90%,14.30%,9.20%,13.00%,1.70%,42.50%,75.9
Dallas Mavericks,82,10,9.50%,0.83,8.3,3.2,8.3,38.00%,40.90%,10.70%,8.30%,9.50%,2.20%,39.40%,27.6
Boston Celtics,82,8.9,8.30%,0.93,8.3,3.1,7.5,41.20%,44.90%,10.80%,6.00%,9.70%,1.40%,43.90%,86.2
Minnesota Timberwolves,82,9.4,8.70%,0.88,8.3,3.1,7.9,39.20%,42.10%,11.10%,6.60%,10.10%,1.70%,42.10%,48.3
Brooklyn Nets,82,8.4,7.60%,0.91,7.6,2.7,6.6,41.00%,44.70%,15.50%,10.10%,14.20%,4.10%,43.20%,65.5
Milwaukee Bucks,82,7.9,7.50%,0.92,7.3,2.8,6.5,42.50%,45.00%,12.60%,9.40%,11.80%,3.50%,43.30%,79.3
Washington Wizards,82,7.9,7.30%,0.91,7.2,2.7,6.3,43.40%,45.30%,14.30%,9.50%,13.20%,3.10%,44.90%,69
New Orleans Pelicans,82,7.8,7.00%,0.87,6.8,2.7,6.5,41.70%,44.20%,9.70%,8.80%,9.10%,2.70%,41.80%,44.8
Golden State Warriors,82,6.9,6.40%,0.95,6.6,2.4,5.7,42.50%,47.10%,10.20%,8.80%,8.80%,1.60%,43.30%,89.7
New York Knicks,82,8,7.30%,0.8,6.5,2.5,6.8,37.30%,39.90%,9.00%,8.40%,8.70%,1.70%,38.60%,10.3
Toronto Raptors,82,6.4,5.90%,1,6.4,2.3,5.2,44.20%,48.30%,13.50%,7.80%,12.80%,3.40%,46.20%,93.1
Sacramento Kings,82,7,6.60%,0.9,6.3,2.5,5.8,42.60%,45.60%,10.80%,8.20%,9.80%,2.30%,43.70%,62.1
Los Angeles Lakers,82,7,6.20%,0.88,6.2,2.3,5.5,42.20%,45.00%,13.20%,11.50%,12.50%,2.60%,42.20%,55.2
Memphis Grizzlies,82,6.9,6.50%,0.88,6.1,2.3,5.8,39.00%,43.10%,9.90%,7.80%,9.70%,2.30%,40.40%,51.7
Denver Nuggets,82,7.3,6.60%,0.8,5.9,2.1,5.9,36.00%,39.10%,11.80%,9.30%,10.50%,1.70%,38.00%,3.4
Indiana Pacers,82,6.7,6.20%,0.86,5.8,2.3,5.7,39.80%,42.90%,9.30%,6.90%,8.40%,1.30%,41.80%,37.9
Atlanta Hawks,82,6.1,5.60%,0.93,5.6,2.1,5,41.50%,44.90%,12.40%,8.00%,11.40%,3.00%,43.50%,82.8
Phoenix Suns,82,6.9,6.20%,0.81,5.6,2,5.5,36.50%,39.20%,12.50%,8.70%,12.20%,1.60%,40.10%,13.8
Detroit Pistons,82,6.4,5.90%,0.83,5.3,2,5.3,37.60%,40.70%,13.30%,7.20%,12.80%,2.90%,39.80%,31
Charlotte Hornets,82,5.7,5.20%,0.9,5.1,2,4.9,40.50%,43.30%,11.50%,6.00%,10.40%,2.60%,42.80%,58.6
Orlando Magic,82,5.5,5.10%,0.86,4.8,1.8,4.3,41.80%,44.20%,11.60%,12.50%,10.80%,2.00%,42.00%,41.4
Utah Jazz,82,5.6,5.30%,0.84,4.7,1.8,4.6,38.30%,43.00%,9.30%,11.30%,8.70%,2.80%,37.30%,34.5
Chicago Bulls,82,5.8,5.20%,0.78,4.5,1.8,4.8,37.50%,39.90%,9.30%,9.50%,8.00%,1.70%,38.10%,0
Miami Heat,82,5.4,5.00%,0.81,4.4,1.6,4.3,38.30%,41.60%,10.90%,11.60%,9.10%,2.30%,39.00%,17.2
San Antonio Spurs,82,4.9,4.60%,0.83,4.1,1.6,4,40.80%,42.20%,10.90%,10.20%,10.20%,2.00%,41.20%,24.1
Philadelphia 76ers,82,4.4,3.90%,0.8,3.5,1.5,3.5,42.80%,43.30%,9.40%,12.40%,8.00%,1.90%,41.20%,6.9
