date,team,site,o:team,line,total
20171017,Cavaliers,home,Celtics,-3.5,212.5
20171017,Celtics,away,Cavaliers,3.5,212.5
20171017,Warriors,home,Rockets,-9,228.5
20171017,Rockets,away,Warriors,9,228.5
20171018,Celtics,home,Bucks,-2,206
20171018,Bucks,away,Celtics,2,206
20171018,Grizzlies,home,Pelicans,-2.5,205
20171018,Pelicans,away,Grizzlies,2.5,205
20171018,Jazz,home,Nuggets,-2.5,205.5
20171018,Nuggets,away,Jazz,2.5,205.5
20171018,Kings,home,Rockets,7,217.5
20171018,Rockets,away,Kings,-7,217.5
20171018,Magic,home,Heat,3.5,205.5
20171018,Heat,away,Magic,-3.5,205.5
20171018,Mavericks,home,Hawks,-5.5,198.5
20171018,Hawks,away,Mavericks,5.5,198.5
20171018,Pacers,home,Nets,-3.5,217
20171018,Nets,away,Pacers,3.5,217
20171018,Pistons,home,Hornets,-3,202.5
20171018,Hornets,away,Pistons,3,202.5
20171018,Spurs,home,Timberwolves,-1.5,205
20171018,Timberwolves,away,Spurs,1.5,205
20171018,Suns,home,Trailblazers,2.5,218.5
20171018,Trailblazers,away,Suns,-2.5,218.5
20171018,Wizards,home,Seventysixers,-6.5,217.5
20171018,Seventysixers,away,Wizards,6.5,217.5
20171019,Lakers,home,Clippers,6.5,217.5
20171019,Clippers,away,Lakers,-6.5,217.5
20171019,Raptors,home,Bulls,-13.5,208
20171019,Bulls,away,Raptors,13.5,208
20171019,Thunder,home,Knicks,-12.5,213.5
20171019,Knicks,away,Thunder,12.5,213.5
20171020,Bucks,home,Cavaliers,1.5,209.5
20171020,Cavaliers,away,Bucks,-1.5,209.5
20171020,Hornets,home,Hawks,-5.5,203.5
20171020,Hawks,away,Hornets,5.5,203.5
20171020,Mavericks,home,Kings,-5.5,202.5
20171020,Kings,away,Mavericks,5.5,202.5
20171020,Nets,home,Magic,-2,226
20171020,Magic,away,Nets,2,226
20171020,Pacers,home,Trailblazers,6,220.5
20171020,Trailblazers,away,Pacers,-6,220.5
20171020,Pelicans,home,Warriors,8.5,222
20171020,Warriors,away,Pelicans,-8.5,222
20171020,Seventysixers,home,Celtics,-2,216.5
20171020,Celtics,away,Seventysixers,2,216.5
20171020,Suns,home,Lakers,-3,220
20171020,Lakers,away,Suns,3,220
20171020,Timberwolves,home,Jazz,-4.5,197.5
20171020,Jazz,away,Timberwolves,4.5,197.5
20171020,Wizards,home,Pistons,-6,211.5
20171020,Pistons,away,Wizards,6,211.5
20171021,Bucks,home,Trailblazers,-3.5,213
20171021,Trailblazers,away,Bucks,3.5,213
20171021,Bulls,home,Spurs,10,200
20171021,Spurs,away,Bulls,-10,200
20171021,Cavaliers,home,Magic,-11.5,214.5
20171021,Magic,away,Cavaliers,11.5,214.5
20171021,Clippers,home,Suns,-13.5,220.5
20171021,Suns,away,Clippers,13.5,220.5
20171021,Grizzlies,home,Warriors,7.5,212.5
20171021,Warriors,away,Grizzlies,-7.5,212.5
20171021,Heat,home,Pacers,-9,213.5
20171021,Pacers,away,Heat,9,213.5
20171021,Jazz,home,Thunder,4,200
20171021,Thunder,away,Jazz,-4,200
20171021,Knicks,home,Pistons,2,206
20171021,Pistons,away,Knicks,-2,206
20171021,Nuggets,home,Kings,-12,212
20171021,Kings,away,Nuggets,12,212
20171021,Raptors,home,Seventysixers,-9.5,218
20171021,Seventysixers,away,Raptors,9.5,218
20171021,Rockets,home,Mavericks,-12.5,214.5
20171021,Mavericks,away,Rockets,12.5,214.5
20171022,Lakers,home,Pelicans,5,222
20171022,Pelicans,away,Lakers,-5,222
20171022,Nets,home,Hawks,-2.5,221
20171022,Hawks,away,Nets,2.5,221
20171022,Thunder,home,Timberwolves,-4,211.5
20171022,Timberwolves,away,Thunder,4,211.5
20171023,Bucks,home,Hornets,-7,201
20171023,Hornets,away,Bucks,7,201
20171023,Heat,home,Hawks,-11,205
20171023,Hawks,away,Heat,11,205
20171023,Mavericks,home,Warriors,13.5,217.5
20171023,Warriors,away,Mavericks,-13.5,217.5
20171023,Nuggets,home,Wizards,-3.5,223
20171023,Wizards,away,Nuggets,3.5,223
20171023,Pistons,home,Seventysixers,-3.5,214
20171023,Seventysixers,away,Pistons,3.5,214
20171023,Rockets,home,Grizzlies,-7.5,211
20171023,Grizzlies,away,Rockets,7.5,211
20171023,Spurs,home,Raptors,-3,202
20171023,Raptors,away,Spurs,3,202
20171023,Suns,home,Kings,1,209
20171023,Kings,away,Suns,-1,209
20171024,Cavaliers,home,Bulls,-14.5,208
20171024,Bulls,away,Cavaliers,14.5,208
20171024,Celtics,home,Knicks,-8.5,206.5
20171024,Knicks,away,Celtics,8.5,206.5
20171024,Clippers,home,Jazz,-5,196.5
20171024,Jazz,away,Clippers,5,196.5
20171024,Magic,home,Nets,-4.5,229.5
20171024,Nets,away,Magic,4.5,229.5
20171024,Timberwolves,home,Pacers,-10.5,219.5
20171024,Pacers,away,Timberwolves,10.5,219.5
20171024,Trailblazers,home,Pelicans,-5,217
20171024,Pelicans,away,Trailblazers,5,217
20171025,Heat,home,Spurs,3.5,196.5
20171025,Spurs,away,Heat,-3.5,196.5
20171025,Hornets,home,Nuggets,1.5,211
20171025,Nuggets,away,Hornets,-1.5,211
20171025,Lakers,home,Wizards,5.5,228.5
20171025,Wizards,away,Lakers,-5.5,228.5
20171025,Mavericks,home,Grizzlies,3,197
20171025,Grizzlies,away,Mavericks,-3,197
20171025,Nets,home,Cavaliers,7,224
20171025,Cavaliers,away,Nets,-7,224
20171025,Pistons,home,Timberwolves,-3,209
20171025,Timberwolves,away,Pistons,3,209
20171025,Seventysixers,home,Rockets,3,220
20171025,Rockets,away,Seventysixers,-3,220
20171025,Suns,home,Jazz,7,203.5
20171025,Jazz,away,Suns,-7,203.5
20171025,Thunder,home,Pacers,-14,217
20171025,Pacers,away,Thunder,14,217
20171025,Warriors,home,Raptors,-12,228.5
20171025,Raptors,away,Warriors,12,228.5
20171026,Bucks,home,Celtics,-4,205.5
20171026,Celtics,away,Bucks,4,205.5
20171026,Bulls,home,Hawks,-2.5,200
20171026,Hawks,away,Bulls,2.5,200
20171026,Grizzlies,home,Mavericks,-7.5,195
20171026,Mavericks,away,Grizzlies,7.5,195
