Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,PF,21,MIA,35,491,15.4,.587,.000,.559,11.1,20.8,16.2,6.6,1.5,4.1,15.0,19.4,,0.3,0.8,1.1,.111,,-2.5,-0.2,-2.7,-0.1
2,Jaylen Adams\adamsja01,PG,24,MIL,7,18,-6.6,.125,.250,.000,0.0,17.0,8.7,12.8,0.0,0.0,0.0,18.7,,-0.1,0.0,-0.1,-0.250,,-14.9,-5.0,-19.8,-0.1
3,Steven Adams\adamsst01,C,27,NOP,33,918,16.0,.597,.005,.422,16.1,19.6,17.8,9.9,1.5,2.2,18.4,12.6,,1.5,0.6,2.1,.110,,0.1,-1.0,-0.9,0.3
4,Bam Adebayo\adebaba01,C,23,MIA,33,1119,22.0,.631,.014,.451,7.6,23.1,15.8,27.6,1.3,3.2,16.3,24.0,,2.8,1.7,4.5,.193,,2.6,1.8,4.4,1.8
5,LaMarcus Aldridge\aldrila01,C,35,SAS,21,544,14.9,.545,.302,.149,3.2,14.9,9.0,10.2,0.7,2.9,7.0,22.6,,0.3,0.6,0.9,.076,,-0.2,-1.0,-1.2,0.1
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,8,-11.9,.000,.333,.000,0.0,13.6,7.0,14.3,0.0,0.0,0.0,16.8,,-0.1,0.0,-0.1,-0.321,,-16.4,-4.8,-21.2,0.0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,28,495,12.4,.508,.464,.166,1.1,13.7,7.4,15.3,2.8,1.8,12.4,22.2,,-0.1,0.4,0.3,.028,,-2.0,0.2,-1.8,0.0
8,Grayson Allen\allengr01,SG,25,MEM,23,551,12.5,.592,.689,.232,1.5,11.6,6.4,11.9,2.0,0.5,10.4,15.4,,0.7,0.6,1.2,.108,,-0.5,0.3,-0.2,0.3
9,Jarrett Allen\allenja01,C,22,TOT,35,977,23.6,.714,.031,.646,12.8,27.0,19.9,9.3,0.8,5.4,14.1,17.0,,3.2,1.2,4.5,.219,,3.1,0.3,3.4,1.3
10,Jarrett Allen\allenja01,C,22,BRK,12,320,21.5,.730,.000,.938,14.1,28.9,21.9,8.2,1.0,5.0,19.3,15.5,,1.0,0.4,1.4,.216,,1.3,0.6,1.9,0.3
11,Jarrett Allen\allenja01,C,22,CLE,23,657,24.6,.707,.042,.547,12.2,26.1,19.0,9.8,0.7,5.5,11.8,17.7,,2.2,0.8,3.0,.220,,3.9,0.2,4.1,1.0
12,Al-Farouq Aminu\aminual01,PF,30,ORL,9,163,11.8,.500,.349,.209,5.5,18.5,11.8,13.0,2.4,2.8,17.6,15.0,,0.0,0.2,0.2,.051,,-3.3,0.5,-2.8,0.0
13,Kyle Anderson\anderky01,PF,27,MEM,30,829,17.6,.586,.395,.275,3.6,20.9,12.0,17.9,2.1,2.4,11.8,19.8,,1.2,1.2,2.4,.140,,1.5,1.3,2.8,1.0
14,Giannis Antetokounmpo\antetgi01,PF,26,MIL,35,1189,29.0,.618,.207,.549,5.8,29.5,17.9,28.2,1.8,3.6,13.5,33.5,,3.7,2.1,5.8,.233,,5.8,2.4,8.1,3.1
15,Kostas Antetokounmpo\antetko01,PF,23,LAL,3,19,-0.2,.387,.000,.667,12.0,34.7,23.6,0.0,2.6,9.2,56.3,20.3,,-0.1,0.1,-0.1,-0.202,,-13.8,1.5,-12.3,0.0
16,Thanasis Antetokounmpo\antetth01,SF,28,MIL,26,227,11.4,.616,.209,.302,12.3,13.0,12.7,9.8,1.7,2.3,28.1,12.5,,0.2,0.3,0.4,.088,,-2.8,0.0,-2.8,0.0
17,Carmelo Anthony\anthoca01,PF,36,POR,34,870,14.9,.532,.386,.236,2.3,11.8,6.9,8.8,1.7,2.8,7.3,23.7,,0.6,0.5,1.1,.061,,-0.6,-1.4,-1.9,0.0
18,Cole Anthony\anthoco01,PG,20,ORL,25,667,10.2,.469,.309,.204,3.0,14.7,8.6,21.4,1.2,1.5,14.8,22.1,,-0.7,0.6,-0.1,-0.009,,-3.0,-1.1,-4.1,-0.4
19,OG Anunoby\anunoog01,SF,23,TOR,23,769,13.8,.607,.521,.223,4.7,14.8,9.6,7.3,2.3,2.3,12.7,16.8,,0.7,0.9,1.6,.097,,-0.3,0.5,0.2,0.4
20,Ryan Arcidiacono\arcidry01,PG,26,CHI,18,198,11.1,.565,.640,.180,1.2,17.1,9.3,14.8,1.2,0.0,6.9,12.5,,0.3,0.2,0.4,.108,,-2.0,0.3,-1.7,0.0
21,D.J. Augustin\augusdj01,PG,33,MIL,34,664,10.0,.520,.672,.213,1.8,5.4,3.6,18.8,1.4,0.1,13.0,14.6,,0.6,0.4,1.0,.075,,-1.1,-1.2,-2.3,0.0
22,Deni Avdija\avdijde01,SF,20,WAS,30,646,8.1,.538,.554,.121,2.1,21.1,11.4,8.0,1.4,0.8,12.7,12.2,,0.0,0.6,0.5,.041,,-3.3,-0.5,-3.8,-0.3
23,Deandre Ayton\aytonde01,C,22,PHO,35,1088,18.9,.624,.046,.240,12.5,28.3,20.6,8.0,0.5,3.1,13.1,19.2,,2.2,1.8,4.0,.175,,-0.1,-0.1,-0.2,0.5
24,Udoka Azubuike\azubuud01,C,21,UTA,12,49,10.6,.622,.000,.857,9.0,18.9,14.1,0.0,1.0,6.5,23.7,11.1,,0.0,0.1,0.1,.107,,-5.5,1.2,-4.3,0.0
25,Dwayne Bacon\bacondw01,SG,25,ORL,36,886,9.3,.505,.310,.210,1.4,11.1,6.0,6.0,1.3,0.3,6.7,18.7,,-0.2,0.6,0.4,.022,,-3.7,-1.4,-5.1,-0.7
26,Marvin Bagley III\baglema01,PF,21,SAC,34,888,15.9,.550,.236,.262,10.1,22.4,16.1,5.5,1.0,1.5,9.8,23.1,,0.7,0.2,0.8,.045,,-0.7,-2.9,-3.5,-0.3
27,LaMelo Ball\ballla01,PG,19,CHO,35,1010,18.8,.561,.413,.225,5.4,17.5,11.4,33.3,2.7,1.3,16.7,24.8,,1.4,1.2,2.6,.124,,2.2,0.9,3.1,1.3
28,Lonzo Ball\balllo01,PG,23,NOP,33,1048,15.0,.563,.626,.098,2.1,12.5,7.3,22.3,2.0,1.7,13.4,20.0,,1.3,0.6,1.8,.083,,1.1,-0.5,0.7,0.7
29,Mo Bamba\bambamo01,C,22,ORL,17,161,20.4,.582,.284,.090,11.8,30.8,21.0,4.2,0.9,7.5,9.1,20.4,,0.2,0.3,0.5,.141,,0.5,0.0,0.5,0.1
30,Desmond Bane\banede01,SG,22,MEM,28,639,11.7,.610,.507,.115,2.0,11.9,6.8,8.2,1.5,0.6,11.7,16.4,,0.5,0.6,1.1,.086,,-1.5,-0.5,-1.9,0.0
31,Harrison Barnes\barneha02,PF,28,SAC,33,1179,16.3,.624,.382,.414,3.0,16.1,9.4,13.6,1.1,0.4,9.6,17.6,,2.7,-0.1,2.6,.106,,1.8,-1.5,0.3,0.7
32,RJ Barrett\barrerj01,SG,20,NYK,37,1227,13.4,.520,.234,.268,4.0,15.0,9.6,14.3,1.0,0.6,10.6,23.7,,0.3,1.4,1.7,.067,,-1.3,-0.6,-2.0,0.0
33,Will Barton\bartowi01,SF,30,DEN,33,986,11.3,.537,.385,.146,2.2,13.2,7.8,14.0,1.3,1.4,13.4,18.3,,0.3,0.8,1.1,.053,,-1.2,-1.4,-2.5,-0.1
34,Keita Bates-Diop\bateske01,SF,25,SAS,13,107,12.6,.492,.452,.258,4.8,13.8,9.2,8.6,2.7,0.8,2.8,14.3,,0.1,0.1,0.2,.104,,-1.7,1.2,-0.5,0.0
35,Nicolas Batum\batumni01,SF,32,LAC,35,1031,13.5,.641,.677,.157,3.3,14.5,9.1,10.6,2.0,1.1,9.6,11.6,,1.9,1.1,3.0,.140,,0.9,0.4,1.3,0.9
36,Aron Baynes\baynear01,C,34,TOR,33,649,9.8,.498,.350,.100,9.0,22.1,15.4,7.8,0.7,1.7,12.6,15.9,,0.0,0.6,0.6,.045,,-3.6,-1.3,-4.9,-0.5
