player name,team,position
"Hunter,De'Andre",ATL,SF
"Young,Trae",ATL,PG
"Carter,Vince",ATL,SF
"Reddish,Cam",ATL,SF
"Huerter,Kevin",ATL,SG
"Fernando,Bruno",ATL,C
"Jones,Damian",ATL,C
"Bembry,DeAndre'",ATL,SG
"Collins,John",ATL,PF
"Goodwin,Brandon",ATL,PG
"Teague,Jeff",ATL,PG
"Graham,Treveon",ATL,SG
"Dedmon,Dewayne",ATL,C
"Brown,Charlie",ATL,SG
"Capela,Clint",ATL,C
"Labissière,Skal",ATL,F
"Dinwiddie,Spencer",BRK,SG
"Waller-Prince,Taurean",BRK,SF
"Allen,Jarrett",BRK,C
"Harris,Joe",BRK,SF
"Jordan,DeAndre",BRK,C
"Temple,Garrett",BRK,SG
"LeVert,Caris",BRK,SG
"Luwawu-Cabarrot,Timothé",BRK,SG
"Kurucs,Rodions",BRK,PF
"Chandler,Wilson",BRK,SF
"Musa,Džanan",BRK,SF
"Irving,Kyrie",BRK,PG
"Claxton,Nicolas",BRK,PF
"Chiozza,Chris",BRK,PG
"Martin,Jeremiah",BRK,PG
"Hall,Donta",BRK,F
"Durant,Kevin",BRK,F-G
"Johnson,Tyler",BRK,G
"Crawford,Jamal",BRK,G
"Beasley,Michael",BRK,F
"Wanamaker,Brad",BOS,PG
"Williams,Grant",BOS,PF
"Ojeleye,Semi",BOS,PF
"Tatum,Jayson",BOS,PF
"Theis,Daniel",BOS,C
"Smart,Marcus",BOS,SG
"Kanter,Enes",BOS,C
"Walker,Kemba",BOS,PG
"Brown,Jaylen",BOS,SF
"Hayward,Gordon",BOS,SF
"Green,Javonte",BOS,SF
"Edwards,Carsen",BOS,SG
"Langford,Romeo",BOS,SG
"Williams,Robert",BOS,C
"Poirier,Vincent",BOS,C
"Waters,Tremont",BOS,PG
"Fall,Tacko",BOS,C
"Bridges,Miles",CHO,SF
"Graham,Devonte'",CHO,PG
"Rozier,Terry",CHO,PG
"Washington,P.J.",CHO,PF
"Zeller,Cody",CHO,C
"Monk,Malik",CHO,SG
"Biyombo,Bismack",CHO,C
"Martin,Cody",CHO,SF
"Bacon,Dwayne",CHO,SG
"Hernangómez,Willy",CHO,C
"Batum,Nicolas",CHO,SF
"Martin,Caleb",CHO,SF
"McDaniels,Jalen",CHO,PF
"Chealey,Joe",CHO,PG
"Simmons,Kobi",CHO,G
"Spalding,Ray",CHO,F
"White,Coby",CHI,SG
"Satoranský,Tomáš",CHI,PG
"Young,Thaddeus",CHI,PF
"LaVine,Zach",CHI,SG
"Arcidiacono,Ryan",CHI,PG
"Dunn,Kris",CHI,PG
"Markkanen,Lauri",CHI,PF
"Carter,Wendell",CHI,C
"Gafford,Daniel",CHI,C
"Harrison,Shaquille",CHI,SF
"Valentine,Denzel",CHI,SF
"Kornet,Luke",CHI,C
"Hutchison,Chandler",CHI,SF
"Felício,Cristiano",CHI,PF
"Porter,Otto",CHI,SF
"Mokoka,Adam",CHI,SG
"Strus,Max",CHI,SG
"Sexton,Collin",CLE,SG
"Osman,Cedi",CLE,SF
"Garland,Darius",CLE,PG
"Thompson,Tristan",CLE,C
"Dellavedova,Matthew",CLE,PG
"Love,Kevin",CLE,PF
"Nance,Larry",CLE,C
"Porter,Kevin",CLE,SF
"McKinnie,Alfonzo",CLE,SF
"Exum,Dante",CLE,SG
"Žižić,Ante",CLE,C
"Wade,Dean",CLE,PF
"Drummond,Andre",CLE,C
"Mooney,Matt",CLE,SG
"Pointer,Sir'Dominic",CLE,G-F
"Mac,Sheldon",CLE,G
"Windler,Dylan",CLE,G-F
"Bell,Jordan",CLE,F
"Kleber,Maxi",DAL,C
"Wright,Delon",DAL,SG
"Finney-Smith,Dorian",DAL,PF
"Hardaway,Tim",DAL,SG
"Curry,Seth",DAL,SG
"Jackson,Justin",DAL,PF
"Brunson,Jalen",DAL,PG
"Dončić,Luka",DAL,PG
"Porziņģis,Kristaps",DAL,PF
"Powell,Dwight",DAL,C
"Marjanović,Boban",DAL,C
"Barea,J.J.",DAL,PG
"Lee,Courtney",DAL,SG
"Cauley-Stein,Willie",DAL,C
"Kidd-Gilchrist,Michael",DAL,SF
"Cleveland,Antonius",DAL,SG
"Reaves,Josh",DAL,SG
"Burke,Trey",DAL,G
"Jokić,Nikola",DEN,C
"Morris,Monte",DEN,PG
"Grant,Jerami",DEN,PF
"Barton,Will",DEN,SF
"Harris,Gary",DEN,SG
"Murray,Jamal",DEN,PG
"Plumlee,Mason",DEN,C
"Craig,Torrey",DEN,SF
"Porter,Michael",DEN,PF
"Millsap,Paul",DEN,PF
"Dozier,PJ",DEN,PG
"Čančar,Vlatko",DEN,SF
"Vonleh,Noah",DEN,PF
"Bates-Diop,Keita",DEN,SF
"Daniels,Troy",DEN,SG
"Bol,Bol",DEN,C
"Cook,Tyler",DEN,F
"Galloway,Langston",DET,SG
"Wood,Christian",DET,PF
"Maker,Thon",DET,C
"Snell,Tony",DET,SF
"Brown,Bruce",DET,SG
"Mykhailiuk,Sviatoslav",DET,SF
"Rose,Derrick",DET,PG
"Doumbouya,Sekou",DET,SF
"Kennard,Luke",DET,SG
"Griffin,Blake",DET,PF
"Henson,John",DET,PF
"King,Louis",DET,SF
"Bone,Jordan",DET,PG
"Knight,Brandon",DET,PG
"Thomas,Khyri",DET,SG
"McRae,Jordan",DET,SG
"Patton,Justin",DET,C
"Paschall,Eric",GSW,PF
"Chriss,Marquese",GSW,PF
"Poole,Jordan",GSW,SG
"Lee,Damion",GSW,SG
"Bowman,Ky",GSW,PG
"Green,Draymond",GSW,PF
"Looney,Kevon",GSW,C
"Smailagić,Alen",GSW,PF
"Toscano-Anderson,Juan",GSW,SF
"Wiggins,Andrew",GSW,SG
"Bender,Dragan",GSW,SF
"Mulder,Mychal",GSW,SG
"Curry,Stephen",GSW,PG
"Randle,Chasson",GSW,PG
"Thompson,Klay",GSW,G-F
"Tucker,P.J.",HOU,PF
"McLemore,Ben",HOU,SG
"Harden,James",HOU,SG
"Rivers,Austin",HOU,SG
"House,Danuel",HOU,SF
"Westbrook,Russell",HOU,PG
"Sefolosha,Thabo",HOU,PF
"Gordon,Eric",HOU,SG
"Clemons,Chris",HOU,SG
"Chandler,Tyson",HOU,C
"Covington,Robert",HOU,PF
"Green,Jeff",HOU,PF
"Frazier,Michael",HOU,SG
"Carroll,DeMarre",HOU,SF
"Caboclo,Bruno",HOU,SF
"Howard,William",HOU,SG
"Nwaba,David",HOU,G
"Mbah a Moute,Luc",HOU,F
"Holiday,Justin",IND,SG
"McConnell,T.J.",IND,PG
"Sabonis,Domantas",IND,C
"McDermott,Doug",IND,PF
"Warren,T.J.",IND,SF
"Holiday,Aaron",IND,PG
"Turner,Myles",IND,C
"Bitadze,Goga",IND,C
"Brogdon,Malcolm",IND,PG
"Lamb,Jeremy",IND,SG
"Sampson,JaKarr",IND,SF
"Sumner,Edmond",IND,PG
"Leaf,T.J.",IND,PF
"Oladipo,Victor",IND,SG
"Johnson,Alize",IND,SF
"Bowen,Brian",IND,SG
"Mitrou-Long,Naz",IND,SG
"Zubac,Ivica",LAC,C
"Harrell,Montrezl",LAC,C
"Williams,Lou",LAC,SG
"Green,JaMychal",LAC,PF
"Leonard,Kawhi",LAC,SF
"Patterson,Patrick",LAC,PF
"McGruder,Rodney",LAC,SG
"Beverley,Patrick",LAC,PG
"Shamet,Landry",LAC,SG
"George,Paul",LAC,SF
"Mann,Terance",LAC,SG
"Motley,Johnathan",LAC,PF
"Coffey,Amir",LAC,SG
"Morris,Marcus",LAC,PF
"Kabengele,Mfiondu",LAC,C
"Jackson,Reggie",LAC,PG
"Noah,Joakim",LAC,C
"Caldwell-Pope,Kentavious",LAL,SG
"Howard,Dwight",LAL,C
"Green,Danny",LAL,SG
"McGee,JaVale",LAL,C
"James,LeBron",LAL,PG
"Caruso,Alex",LAL,PG
"Davis,Anthony",LAL,PF
"Kuzma,Kyle",LAL,PF
"Bradley,Avery",LAL,SG
"Rondo,Rajon",LAL,PG
"Dudley,Jared",LAL,SF
"Cook,Quinn",LAL,PG
"Morris,Markieff",LAL,PF
"Antetokounmpo,Kostas",LAL,PF
"Horton-Tucker,Talen",LAL,SG
"Cacok,Devontae",LAL,F
"Waiters,Dion",LAL,G
"Smith,J.R.",LAL,G-F
"Brooks,Dillon",MEM,SG
"Jones,Tyus",MEM,PG
"Valančiūnas,Jonas",MEM,C
"Morant,Ja",MEM,PG
"Anderson,Kyle",MEM,PF
"Jackson,Jaren",MEM,C
"Melton,De'Anthony",MEM,PG
"Clarke,Brandon",MEM,PF
"Guduric,Marko",MEM,SG
"Allen,Grayson",MEM,SG
"Jackson,Josh",MEM,SG
"Watanabe,Yuta",MEM,SG
"Konchar,John",MEM,SG
"Dieng,Gorgui",MEM,C
"Tolliver,Anthony",MEM,PF
"Winslow,Justise",MEM,F
"Porter,Jontay",MEM,F-C
"Adebayo,Bam",MIA,PF
"Robinson,Duncan",MIA,SF
"Nunn,Kendrick",MIA,SG
"Olynyk,Kelly",MIA,C
"Butler,Jimmy",MIA,SF
"Dragić,Goran",MIA,PG
"Jones,Derrick",MIA,SF
"Leonard,Meyers",MIA,C
"Herro,Tyler",MIA,SG
"Silva,Chris",MIA,PF
"Iguodala,Andre",MIA,SG
"Crowder,Jae",MIA,SF
"Hill,Solomon",MIA,SF
"Vincent,Gabe",MIA,PG
"Okpala,KZ",MIA,SF
"Haslem,Udonis",MIA,PF
"Alexander,Kyle",MIA,F
"Matthews,Wesley",MIL,SG
"Lopez,Brook",MIL,C
"Connaughton,Pat",MIL,SG
"Lopez,Robin",MIL,C
"DiVincenzo,Donte",MIL,SG
"Antetokounmpo,Giannis",MIL,PF
"Bledsoe,Eric",MIL,PG
"İlyasova,Ersan",MIL,PF
"Middleton,Khris",MIL,SF
"Hill,George",MIL,PG
"Korver,Kyle",MIL,SF
"Brown,Sterling",MIL,SF
"Wilson,D.J.",MIL,PF
"Antetokounmpo,Thanasis",MIL,SF
"Williams,Marvin",MIL,PF
"Mason,Frank",MIL,PG
"Reynolds,Cameron",MIL,G
"Culver,Jarrett",MIN,SG
"Okogie,Josh",MIN,SG
"Towns,Karl-Anthony",MIN,C
"Martin,Kelan",MIN,SF
"Reid,Naz",MIN,C
"McLaughlin,Jordan",MIN,PG
"Layman,Jake",MIN,PF
"Nowell,Jaylen",MIN,SG
"Beasley,Malik",MIN,SG
"Hernangómez,Juan",MIN,PF
"Johnson,James",MIN,PF
"Russell,D'Angelo",MIN,PG
"Vanderbilt,Jarred",MIN,PF
"Evans,Jacob",MIN,SG
"Turner,Evan",MIN,G
"Spellman,Omari",MIN,F
"Hart,Josh",NOP,SF
"Ingram,Brandon",NOP,PF
"Ball,Lonzo",NOP,PG
"Hayes,Jaxson",NOP,C
"Holiday,Jrue",NOP,SG
"Redick,J.J.",NOP,SG
"Melli,Nicolò",NOP,C
"Moore,E'Twaun",NOP,SG
"Jackson,Frank",NOP,PG
"Favors,Derrick",NOP,C
"Alexander-Walker,Nickeil",NOP,SG
"Williams,Kenrich",NOP,PF
"Okafor,Jahlil",NOP,C
"Williamson,Zion",NOP,PF
"Cheatham,Zylan",NOP,SF
"Gray,Josh",NOP,PG
"Miller,Darius",NOP,F
"Thornwell,Sindarius",NOP,G
"Portis,Bobby",NYK,C
"Knox,Kevin",NYK,SF
"Randle,Julius",NYK,PF
"Gibson,Taj",NYK,C
"Robinson,Mitchell",NYK,C
"Ntilikina,Frank",NYK,PG
"Barrett,RJ",NYK,SG
"Dotson,Damyean",NYK,SG
"Payton,Elfrid",NYK,PG
"Ellington,Wayne",NYK,SG
"Smith,Dennis",NYK,PG
"Bullock,Reggie",NYK,SG
"Harkless,Maurice",NYK,SF
"Brazdeikis,Ignas",NYK,SF
"Pinson,Theo",NYK,G
"Wooten,Kenny",NYK,F
"Harper,Jared",NYK,G
"Gilgeous-Alexander,Shai",OKC,SG
"Schröder,Dennis",OKC,PG
"Paul,Chris",OKC,PG
"Adams,Steven",OKC,C
"Gallinari,Danilo",OKC,PF
"Noel,Nerlens",OKC,C
"Bazley,Darius",OKC,PF
"Ferguson,Terrance",OKC,SF
"Nader,Abdel",OKC,SF
"Muscala,Mike",OKC,C
"Diallo,Hamidou",OKC,SF
"Burton,Deonte",OKC,SG
"Dort,Luguentz",OKC,SG
"Hervey,Kevin",OKC,PF
"Hall,Devon",OKC,SG
"Roby,Isaiah",OKC,SF
"Roberson,Andre",OKC,G-F
"Fultz,Markelle",ORL,PG
"Ross,Terrence",ORL,SG
"Fournier,Evan",ORL,SG
"Bamba,Mohamed",ORL,C
"Gordon,Aaron",ORL,PF
"Vučević,Nikola",ORL,C
