name,pos,team,rank
"James, LeBron^",PG/SF,LA Lakers,6.0
"Augustin, D.J.",PG,Orlando,14.0
"Booker, Devin^",PG/SG,Phoenix,23.0
"Beal, Bradley^",SG,Washington,18.0
"Lillard, Damian^",PG,Portland,21.0
"Fultz, Markelle^",PG/SG,Orlando,17.5
"Napier, Shabazz^",PG/SG,Minnesota,25.5
"Ntilikina, Frank",PG/SG,New York,18.0
"Bradley, Avery^",PG/SG,LA Lakers,5.0
"Culver, Jarrett^",PG/SG,Minnesota,25.5
"McCollum, C.J.^",PG/SG,Portland,18.5
"McRae, Jordan",PG/SG,Washington,24.0
"Rubio, Ricky^",PG,Phoenix,19.0
"Payton, Elfrid^",PG,New York,25.0
"Bledsoe, Eric^",PG,Milwaukee,18.0
"Smith, Ishmael",PG,Washington,30.0
"DiVincenzo, Donte^",PG/SF,Milwaukee,13.0
"Nowell, Jaylen",PG/SG,Minnesota,25.5
"Johnson, Tyler",PG/SG,Phoenix,23.0
"Simons, Anfernee",PG/SG,Portland,18.5
"Thomas, Isaiah^",PG,Washington,30.0
"Barrett, RJ^",PG/SG,New York,18.0
"Hill, George",PG/SG,Milwaukee,15.5
"Okobo, Elie",PG/SG,Phoenix,23.0
"Payton, Gary^",PG/SG,Washington,24.0
"Trent Jr., Gary",SG,Portland,16.0
"Robinson, Justin",PG,Washington,30.0
"Rondo, Rajon",PG,LA Lakers,5.0
"Magette, Josh",PG,Orlando,14.0
"Caruso, Alex",PG/SG,LA Lakers,5.0
"Daniels, Troy",SG,LA Lakers,5.0
"Cook, Quinn",PG,LA Lakers,5.0
"Trier, Allonzo",PG/SG,New York,18.0
"Jerome, Ty",PG/SG,Phoenix,23.0
"Teague, Jeff",PG,Minnesota,23.0
"Mason III, Frank",PG/SG,Milwaukee,15.5
"McLaughlin, Jordan",PG,Minnesota,23.0
"Wall, John",PG,Washington,30.0
"Lecque, Jalen",PG/SG,Phoenix,23.0
"Carter-Williams, Michael",PG/SG,Orlando,17.5
"Allen, Kadeem",PG/SG,New York,18.0
