,name,team,date,location,opponent,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers
4814,James Harden,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,2.5871080000000006,4.008100000000001,7.872057999999999,7.291646999999999,5.59696,0.9731,1.5892500000000003,0.9731
4815,Kemba Walker,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,4.239632000000001,2.2854,2.346222,4.647891,4.25148,0.64966,0.9497699999999998,0.64966
4816,John Collins,ATLANTA HAWKS,2019-02-02,AWAY,PHOENIX SUNS,5.261566,1.63056,3.3807460000000007,6.633597,2.5202,0.8163199999999999,1.1560800000000002,0.8163199999999999
4817,Lou Williams,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,4.812616000000001,1.98794,5.806998000000001,5.023197,6.34128,0.29984,1.3354800000000002,0.29984
4818,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,4.848712000000001,1.8231600000000001,3.601059,8.488031999999999,4.41904,1.3347000000000002,0.7991100000000001,1.3347000000000002
4819,Giannis Antetokounmpo,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,6.648104000000002,1.54496,5.470038,8.129619,5.11684,0.92144,1.5151500000000002,0.92144
4820,Luka Doncic,DALLAS MAVERICKS,2019-02-02,AWAY,CLEVELAND CAVALIERS,4.590984,2.55504,4.598169,6.930873,6.031199999999999,0.44178000000000006,0.8581499999999999,0.44178000000000006
4821,Jimmy Butler,PHILADELPHIA 76ERS,2019-02-02,AWAY,SACRAMENTO KINGS,4.53561,1.6648,3.4762370000000002,5.985969,5.0344,0.72848,1.5204300000000002,0.72848
4822,Buddy Hield,SACRAMENTO KINGS,2019-02-02,HOME,PHILADELPHIA 76ERS,2.887596000000001,2.3496,1.82374,5.433696,3.8134,0.5647800000000001,1.0433700000000001,0.5647800000000001
4823,Bojan Bogdanovic,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,4.424119999999999,1.75468,3.0518669999999997,4.498026,3.0442,0.19638,0.79458,0.19638
4824,Bobby Portis,CHICAGO BULLS,2019-02-02,AWAY,CHARLOTTE HORNETS,5.767436,1.3331,2.054659,6.414435,2.79624,0.639,0.5514600000000001,0.639
4825,Lauri Markkanen,CHICAGO BULLS,2019-02-02,AWAY,CHARLOTTE HORNETS,3.8523119999999995,2.1634200000000003,3.7173360000000004,7.907616,2.9332000000000003,0.38226,0.5853600000000001,0.38226
4826,Reggie Jackson,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,3.312488,2.1527200000000004,1.886406,5.408697,5.40096,0.38036,1.0243499999999999,0.38036
4827,Devin Booker,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,6.60296,1.61558,4.913348,4.584936,4.627200000000001,0.30956,1.2036300000000002,0.30956
4828,Joel Embiid,PHILADELPHIA 76ERS,2019-02-02,AWAY,SACRAMENTO KINGS,7.23585,1.7161600000000001,8.254142,10.57791,4.4,1.06904,0.8526,1.06904
4829,Kevin Durant,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,6.578196000000002,1.87452,2.815738,5.5392149999999996,4.47296,0.8964999999999999,1.0977000000000001,0.8964999999999999
4830,LaMarcus Aldridge,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,7.910468000000001,0.873,5.2055430000000005,9.938804999999999,3.97632,1.3714199999999999,0.7944899999999999,1.3714199999999999
4831,Brook Lopez,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,2.2247380000000003,2.13774,1.5516960000000002,5.16192,2.37344,1.2746,0.7151100000000001,1.2746
4832,Nikola Vucevic,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,7.304922000000001,1.2517800000000001,1.7701570000000002,9.07155,4.32188,1.0816,1.08339,1.0816
4833,Josh Jackson,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,5.409156000000002,1.55994,2.9544879999999996,6.2178,3.3469600000000006,1.02758,0.9731100000000001,1.02758
4834,Klay Thompson,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,3.8479060000000005,2.18054,1.0982190000000003,4.196256,3.4099600000000003,0.35076,0.9756600000000001,0.35076
4835,Willie Cauley-Stein,SACRAMENTO KINGS,2019-02-02,HOME,PHILADELPHIA 76ERS,4.217130000000001,0.81736,2.8459220000000007,7.178067,3.39912,0.68202,1.2128700000000001,0.68202
4836,Gerald Green,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,2.1005000000000003,1.51286,1.6527770000000002,4.418388,2.3931199999999997,0.70366,0.84345,0.70366
4837,Monte Morris,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,3.7956100000000017,1.6776399999999998,1.565624,5.02302,4.61892,0.2561,0.8973300000000002,0.2561
4838,Trae Young,ATLANTA HAWKS,2019-02-02,AWAY,PHOENIX SUNS,3.420648,2.52508,4.152777,4.933845,6.72136,0.4637,1.1187900000000002,0.4637
4839,Andre Iguodala,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,2.582822,1.04848,2.0382040000000003,5.105547,4.56744,0.7901400000000001,1.1316000000000002,0.7901400000000001
4840,Ben Simmons,PHILADELPHIA 76ERS,2019-02-02,AWAY,SACRAMENTO KINGS,7.682240000000001,0.80666,4.4947099999999995,7.8952979999999995,5.72876,0.9449599999999999,1.18482,0.9449599999999999
4841,Dwyane Wade,MIAMI HEAT,2019-02-02,HOME,INDIANA PACERS,4.618814,1.29886,2.533094,4.875402,5.294560000000001,0.34326,1.1382,0.34326
4842,Otto Porter,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,2.372142000000001,1.94728,0.925376,5.079729,3.36636,0.3579,1.10016,0.3579
