,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
16,De'Aaron Fox,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
17,Jeremy Lamb,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0.0,2.3369,0.766,1.0441,3.495,2.06,0.329,0.5991000000000001,0.329,0.0
18,Luka Dončić,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
19,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-01-02,AWAY,SAN ANTONIO SPURS,0.0,2.5001999999999995,0.766,1.373,3.495,2.06,0.329,0.483,0.329,0.0
20,Domantas Sabonis,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0.0,2.3369,0.766,1.0441,3.495,2.06,0.329,0.5991000000000001,0.329,0.0
21,Robert Covington,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,0.0,2.3795,0.766,1.0441,3.495,2.06,0.329,0.6893999999999999,0.329,0.0
22,LaMarcus Aldridge,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0.0,2.202,0.766,1.0441,3.495,2.06,0.329,0.5732999999999998,0.329,0.0
23,Terry Rozier,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0.0,2.9545999999999992,0.766,1.373,3.495,2.06,0.329,0.6377999999999998,0.329,0.0
24,Seth Curry,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
25,Michael Porter,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
26,Jamal Murray,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
27,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-02,HOME,GOLDEN STATE WARRIORS,24.72683333333333,3.7124260000000007,1.57706,2.543288,4.535499000000001,3.9858400000000005,0.44662,1.33011,0.44662,22.782
28,Buddy Hield,SACRAMENTO KINGS,2020-01-02,HOME,MEMPHIS GRIZZLIES,0.0,2.3297999999999996,0.766,1.0441,3.495,2.06,0.329,0.7281000000000001,0.329,0.0
29,DeMar DeRozan,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0.0,2.202,0.766,1.0441,3.495,2.06,0.329,0.5732999999999998,0.329,0.0
30,Maxi Kleber,DALLAS MAVERICKS,2020-01-02,HOME,BROOKLYN NETS,0.0,2.3937,0.766,1.0441,3.495,2.06,0.329,0.741,0.329,0.0
31,T.J. Warren,INDIANA PACERS,2020-01-02,HOME,DENVER NUGGETS,0.0,2.3369,0.766,1.0441,3.495,2.06,0.329,0.5991000000000001,0.329,0.0
