Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,24,16,16,16,17
BOS,16,12,5,4,24
BRO,18,2,17,18,30
CHA,7,13,28,24,4
CHI,11,19,9,27,28
CLE,12,28,8,30,25
DAL,15,6,2,17,8
DEN,8,14,19,19,2
DET,9,15,13,29,13
GSW,13,7,18,20,27
HOU,23,30,11,9,21
IND,17,10,21,25,9
LAC,21,20,3,5,3
LAL,4,8,10,15,11
MEM,10,25,20,28,19
MIA,5,21,7,8,15
MIL,19,5,23,22,14
MIN,29,26,27,26,20
NOP,26,23,30,14,10
NYK,3,9,1,3,5
OKL,25,18,29,23,22
ORL,30,29,26,13,7
PHI,2,11,12,7,1
PHX,1,1,6,6,18
POR,14,24,14,11,16
SAC,22,27,24,21,12
SAS,27,4,15,2,23
TOR,20,17,25,12,6
UTA,6,3,4,1,26
WAS,28,22,22,10,29
