Team,vs PG,vs SG,vs SF,vs PF,vs C
ATL,28,29,25,28,28
BOS,9,15,3,1,9
BRO,22,17,20,2,30
CHA,1,25,24,25,14
CHI,5,1,16,20,27
CLE,27,30,30,27,29
DAL,19,19,23,4,15
DEN,17,12,21,8,3
DET,12,2,4,30,26
GSW,30,27,29,22,8
HOU,18,14,22,18,5
IND,4,11,1,5,24
LAC,6,5,6,3,23
LAL,10,7,9,11,2
MEM,23,22,18,23,20
MIA,2,16,8,21,10
MIL,15,9,12,13,21
MIN,21,28,15,19,11
NOP,24,21,26,16,19
NYK,25,6,10,26,4
OKL,11,10,2,7,22
ORL,7,20,11,15,7
PHI,3,4,5,12,12
PHX,13,23,13,17,13
POR,20,13,19,29,18
SAC,26,26,14,6,6
SAS,14,24,17,24,16
TOR,8,3,28,4,1
UTA,16,8,7,10,25
WAS,29,18,27,9,17
