"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","CHA",103,125,40,75,0.5333333333333333,9,30,0.3,0.3,18,34,46,24,3,0.425,0.4594594594594595,0.8888888888888888,0.2857142857142857,0.5390628571428571,0.5095238095238095,0.543859649122807,6,4,0.05333333333333334,0,0
"2019-10-25","MEM",105,110,28,51,0.5490196078431373,12,42,0.2857142857142857,0.2926829268292683,18,22,34,21,15,0.39285714285714285,0.4230769230769231,0.5833333333333334,0.45161290322580644,0.5771070652173913,0.4946236559139785,0.5240384615384616,4,6,0.11764705882352941,0,0
"2019-10-26","TOR",106,84,20,62,0.3225806451612903,9,35,0.2571428571428571,0.2571428571428571,17,18,22,27,0,0.45,0.5294117647058824,1,0.36082474226804123,0.5484030927835051,0.34536082474226804,0.37962962962962965,6,12,0.1935483870967742,0,0
"2019-10-28","NYK",93,98,27,50,0.54,9,35,0.2571428571428571,0.2571428571428571,17,24,30,21,6,0.4444444444444444,0.5,0.7777777777777778,0.4117647058823529,0.5274270588235294,0.4764705882352941,0.5159574468085106,6,6,0.12,0,0
"2019-10-30","CLE",95,111,25,51,0.49019607843137253,14,39,0.358974358974359,0.3684210526315789,19,26,24,36,6,0.52,0.6190476190476191,0.8571428571428571,0.43333333333333335,0.5380134831460675,0.5111111111111111,0.5495049504950495,8,7,0.13725490196078433,0,0
"2019-11-01","DET",99,112,23,49,0.46938775510204084,16,40,0.4,0.4,18,32,14,39,9,0.6956521739130435,0.7272727272727273,0.8125,0.449438202247191,0.5314140449438203,0.5280898876404494,0.5663265306122449,2,7,0.14285714285714285,1,0.025
"2019-11-03","IND",103,95,27,55,0.4909090909090909,9,29,0.3103448275862069,0.32142857142857145,14,36,18,27,0,0.6666666666666666,0.72,1,0.34523809523809523,0.54,0.48214285714285715,0.4947916666666667,4,10,0.18181818181818182,0,0
"2019-11-05","LAL",103,112,29,53,0.5471698113207547,14,32,0.4375,0.4375,12,22,36,33,9,0.3793103448275862,0.4230769230769231,0.7857142857142857,0.3764705882352941,0.5457576470588236,0.5882352941176471,0.5894736842105263,6,10,0.18867924528301888,0,0
"2019-11-06","ATL",107,113,28,49,0.5714285714285714,13,33,0.3939393939393939,0.3939393939393939,18,28,28,36,3,0.5,0.5185185185185185,0.9230769230769231,0.4024390243902439,0.5562512345679013,0.5792682926829268,0.601063829787234,2,3,0.061224489795918366,0,0
"2019-11-09","HOU",106,94,33,66,0.5,4,32,0.125,0.125,16,36,30,9,3,0.5454545454545454,0.5454545454545454,0.75,0.32653061224489793,0.5619132653061225,0.3979591836734694,0.44761904761904764,0,7,0.10606060606060606,0,0
