"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","ORL",98,85,24,54,0.4444444444444444,9,34,0.2647058823529412,0.2647058823529412,10,26,22,21,6,0.5416666666666666,0.5416666666666666,0.7777777777777778,0.38636363636363635,0.4905221590909091,0.42613636363636365,0.4473684210526316,0,3,0.05555555555555555,1,0.029411764705882353
"2019-10-26","IND",98,110,29,49,0.5918367346938775,11,31,0.3548387096774194,0.3548387096774194,19,28,30,27,6,0.4827586206896552,0.5,0.8181818181818182,0.3875,0.5464025316455696,0.56875,0.5913978494623656,2,3,0.061224489795918366,0,0
"2019-10-28","MIL",104,112,33,61,0.5409836065573771,12,39,0.3076923076923077,0.3157894736842105,10,24,42,21,15,0.36363636363636365,0.42857142857142855,0.5833333333333334,0.39,0.4922712121212121,0.51,0.5288461538461539,10,7,0.11475409836065574,0,0
"2019-10-30","CHI",95,117,31,54,0.5740740740740741,10,24,0.4166666666666667,0.4166666666666667,25,32,30,27,3,0.5161290322580645,0.5925925925925926,0.9,0.3076923076923077,0.5377955128205129,0.5897435897435898,0.6358695652173914,8,5,0.09259259259259259,0,0
"2019-11-01","IND",105,95,21,55,0.38181818181818183,11,32,0.34375,0.34375,20,22,20,27,6,0.5238095238095238,0.5238095238095238,0.8181818181818182,0.367816091954023,0.5006258620689655,0.43103448275862066,0.4846938775510204,0,9,0.16363636363636364,1,0.03125
"2019-11-03","DAL",99,111,21,48,0.4375,18,48,0.375,0.375,15,20,22,42,12,0.47619047619047616,0.5555555555555556,0.7777777777777778,0.5,0.5318151041666667,0.5,0.5235849056603774,6,6,0.125,0,0
"2019-11-05","BOS",103,113,27,62,0.43548387096774194,13,33,0.3939393939393939,0.3939393939393939,20,20,34,36,3,0.37037037037037035,0.4166666666666667,0.9230769230769231,0.3473684210526316,0.5261173684210526,0.48947368421052634,0.5380952380952381,6,12,0.1935483870967742,0,0
"2019-11-08","WAS",96,113,35,63,0.5555555555555556,6,27,0.2222222222222222,0.2222222222222222,25,24,46,18,0,0.34285714285714286,0.41379310344827586,1,0.3,0.48379055555555556,0.4888888888888889,0.5392156862745098,12,5,0.07936507936507936,0,0
"2019-11-10","NYK",98,108,28,54,0.5185185185185185,8,28,0.2857142857142857,0.2857142857142857,28,26,30,21,3,0.4642857142857143,0.5,0.875,0.34146341463414637,0.5458817073170732,0.4878048780487805,0.5578947368421052,4,7,0.12962962962962962,1,0.03571428571428571
"2019-11-12","PHI",95,97,33,65,0.5076923076923077,5,21,0.23809523809523808,0.23809523809523808,16,18,48,12,3,0.2727272727272727,0.2903225806451613,0.8,0.2441860465116279,0.4810203488372093,0.47093023255813954,0.5105263157894737,4,8,0.12307692307692308,0,0
"2019-11-14","MIA",98,97,28,53,0.5283018867924528,8,32,0.25,0.25,17,26,30,15,9,0.4642857142857143,0.52,0.625,0.3764705882352941,0.5314064705882353,0.47058823529411764,0.5161290322580645,6,7,0.1320754716981132,0,0
