"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","WAS",102,108,24,40,0.6,11,36,0.3055555555555556,0.3055555555555556,27,18,30,24,9,0.375,0.391304347826087,0.7272727272727273,0.47368421052631576,0.5076651315789473,0.5328947368421053,0.5934065934065934,2,3,0.075,0,0
"2019-10-25","NOP",103,123,31,53,0.5849056603773585,14,40,0.35,0.35,19,24,38,33,9,0.3870967741935484,0.41379310344827586,0.7857142857142857,0.43010752688172044,0.5024887096774194,0.5591397849462365,0.5857142857142857,4,3,0.05660377358490566,0,0
"2019-10-27","POR",105,119,24,44,0.5454545454545454,13,50,0.26,0.2653061224489796,32,28,20,39,0,0.5833333333333334,0.6363636363636364,1,0.5319148936170213,0.5208576086956522,0.4627659574468085,0.5265486725663717,4,4,0.09090909090909091,0,0
"2019-10-29","DEN",91,109,28,47,0.5957446808510638,13,37,0.35135135135135137,0.35135135135135137,14,36,20,33,6,0.6428571428571429,0.6428571428571429,0.8461538461538461,0.44047619047619047,0.5243654761904762,0.5654761904761905,0.5860215053763441,0,1,0.02127659574468085,0,0
"2019-11-01","LAL",110,110,26,66,0.3939393939393939,14,36,0.3888888888888889,0.3888888888888889,16,28,24,27,15,0.5384615384615384,0.6363636363636364,0.6428571428571429,0.35294117647058826,0.501593137254902,0.46078431372549017,0.48660714285714285,8,7,0.10606060606060606,0,0
"2019-11-03","CLE",98,131,30,53,0.5660377358490566,20,41,0.4878048780487805,0.4878048780487805,11,34,26,51,9,0.5666666666666667,0.5862068965517241,0.85,0.43617021276595747,0.5351223404255319,0.6382978723404256,0.6616161616161617,2,4,0.07547169811320754,0,0
"2019-11-06","ORL",99,107,25,53,0.4716981132075472,11,31,0.3548387096774194,0.3548387096774194,24,24,26,24,9,0.48,0.5217391304347826,0.7272727272727273,0.36904761904761907,0.5110583333333333,0.49404761904761907,0.5408163265306123,4,10,0.18867924528301888,0,0
"2019-11-08","NYK",101,102,23,46,0.5,14,44,0.3181818181818182,0.32558139534883723,14,14,32,33,9,0.30434782608695654,0.3181818181818182,0.7857142857142857,0.4888888888888889,0.5250073033707865,0.4888888888888889,0.53125,2,2,0.043478260869565216,1,0.022727272727272728
"2019-11-09","MEM",105,138,34,55,0.6181818181818182,18,42,0.42857142857142855,0.42857142857142855,16,24,44,45,9,0.35294117647058826,0.4444444444444444,0.8333333333333334,0.4329896907216495,0.5465726804123712,0.6288659793814433,0.6634615384615384,14,6,0.10909090909090909,0,0
"2019-11-11","BOS",93,106,26,47,0.5531914893617021,11,42,0.2619047619047619,0.2619047619047619,21,28,24,24,9,0.5384615384615384,0.5384615384615384,0.7272727272727273,0.47191011235955055,0.514835393258427,0.47752808988764045,0.5198019801980198,0,4,0.0851063829787234,1,0.023809523809523808
"2019-11-14","NYK",95,103,28,48,0.5833333333333334,8,36,0.2222222222222222,0.2222222222222222,23,32,24,15,9,0.5714285714285714,0.8,0.625,0.42857142857142855,0.5315744047619048,0.47619047619047616,0.531578947368421,16,2,0.041666666666666664,0,0
"2019-11-16","TOR",101,110,28,49,0.5714285714285714,9,39,0.23076923076923078,0.23076923076923078,27,34,22,21,6,0.6071428571428571,0.68,0.7777777777777778,0.4431818181818182,0.5360607954545454,0.4715909090909091,0.529126213592233,6,2,0.04081632653061224,0,0
"2019-11-18","SAS",96,117,25,43,0.5813953488372093,17,41,0.4146341463414634,0.425,16,26,24,45,6,0.52,0.5652173913043478,0.8823529411764706,0.4880952380952381,0.5043795180722892,0.6011904761904762,0.6223404255319149,4,1,0.023255813953488372,1,0.024390243902439025
"2019-11-20","GSW",99,142,29,52,0.5576923076923077,22,38,0.5789473684210527,0.5789473684210527,18,38,20,42,24,0.6551724137931034,0.6785714285714286,0.6363636363636364,0.4222222222222222,0.5583961111111111,0.6888888888888889,0.7171717171717171,2,5,0.09615384615384616,0,0
"2019-11-22","CLE",95,143,38,63,0.6031746031746031,20,37,0.5405405405405406,0.5405405405405406,7,36,40,39,21,0.47368421052631576,0.5142857142857142,0.65,0.37,0.532277,0.68,0.6875,6,3,0.047619047619047616,0,0
"2019-11-24","HOU",109,137,32,58,0.5517241379310345,17,44,0.38636363636363635,0.38636363636363635,22,30,34,39,12,0.46875,0.5555555555555556,0.7647058823529411,0.43137254901960786,0.5073995098039216,0.5637254901960784,0.6171171171171171,10,2,0.034482758620689655,0,0
"2019-11-26","LAC",105,99,19,41,0.4634146341463415,11,38,0.2894736842105263,0.2894736842105263,28,14,24,27,6,0.3684210526315789,0.3684210526315789,0.8181818181818182,0.4810126582278481,0.5230208860759493,0.44936708860759494,0.526595744680851,0,2,0.04878048780487805,1,0.02631578947368421
"2019-11-29","PHX",100,120,18,38,0.47368421052631576,17,47,0.3617021276595745,0.3617021276595745,33,14,22,39,12,0.3888888888888889,0.3888888888888889,0.7647058823529411,0.5529411764705883,0.5580529411764706,0.5117647058823529,0.5776699029126213,0,3,0.07894736842105263,0,0
"2019-12-01","LAL",98,114,25,48,0.5208333333333334,17,49,0.3469387755102041,0.3617021276595745,13,22,28,39,12,0.44,0.5238095238095238,0.7647058823529411,0.5051546391752577,0.520791052631579,0.520618556701031,0.5384615384615384,8,3,0.0625,0,0
"2019-12-03","NOP",100,118,19,43,0.4418604651162791,19,45,0.4222222222222222,0.4222222222222222,23,18,20,39,18,0.47368421052631576,0.5294117647058824,0.6842105263157895,0.5113636363636364,0.5379017045454545,0.5397727272727273,0.59,4,3,0.06976744186046512,1,0.022222222222222223
"2019-12-04","MIN",97,121,35,55,0.6363636363636364,11,37,0.2972972972972973,0.2972972972972973,18,30,40,27,6,0.42857142857142855,0.4838709677419355,0.8181818181818182,0.40217391304347827,0.5262445054945055,0.5597826086956522,0.5931372549019608,8,5,0.09090909090909091,2,0.05405405405405406
"2019-12-07","NOP",102,130,33,48,0.6875,13,38,0.34210526315789475,0.34210526315789475,25,34,32,24,15,0.5151515151515151,0.5666666666666667,0.6153846153846154,0.4418604651162791,0.5114470930232559,0.6104651162790697,0.6565656565656566,6,2,0.041666666666666664,0,0
