"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","IND",102,119,30,54,0.5555555555555556,11,24,0.4583333333333333,0.4583333333333333,26,32,28,30,3,0.5333333333333333,0.6153846153846154,0.9090909090909091,0.3076923076923077,0.4972057692307692,0.5961538461538461,0.6329787234042553,8,5,0.09259259259259259,1,0.041666666666666664
"2019-10-24","ATL",96,100,25,48,0.5208333333333334,10,37,0.2702702702702703,0.2702702702702703,20,20,30,30,0,0.4,0.4166666666666667,1,0.43529411764705883,0.5050405882352941,0.47058823529411764,0.5210526315789473,2,2,0.041666666666666664,0,0
"2019-10-26","PHI",107,111,33,57,0.5789473684210527,8,19,0.42105263157894735,0.42105263157894735,21,28,38,18,6,0.42424242424242425,0.45161290322580644,0.75,0.25,0.4821421052631579,0.5921052631578947,0.5967741935483871,4,3,0.05263157894736842,0,0
"2019-10-28","IND",95,96,24,57,0.42105263157894735,13,24,0.5416666666666666,0.5416666666666666,9,18,30,36,3,0.375,0.47368421052631576,0.9230769230769231,0.2962962962962963,0.496979012345679,0.5370370370370371,0.5581395348837209,10,4,0.07017543859649122,0,0
"2019-10-30","TOR",102,113,27,58,0.46551724137931033,14,30,0.4666666666666667,0.5,17,32,22,42,0,0.5925925925925926,0.64,1,0.3409090909090909,0.539171511627907,0.5454545454545454,0.5714285714285714,4,2,0.034482758620689655,0,0
"2019-11-01","CHI",100,106,35,56,0.625,6,29,0.20689655172413793,0.21428571428571427,18,32,38,15,3,0.45714285714285713,0.5161290322580645,0.8333333333333334,0.3411764705882353,0.555427380952381,0.5176470588235295,0.5526315789473685,8,1,0.017857142857142856,0,0
"2019-11-02","BKN",102,113,33,64,0.515625,8,27,0.2962962962962963,0.2962962962962963,23,32,34,15,9,0.48484848484848486,0.5333333333333333,0.625,0.2967032967032967,0.45629450549450545,0.4945054945054945,0.5288461538461539,6,4,0.0625,0,0
"2019-11-04","WAS",96,99,21,55,0.38181818181818183,13,27,0.48148148148148145,0.48148148148148145,18,20,22,33,6,0.47619047619047616,0.5555555555555556,0.8461538461538461,0.32926829268292684,0.49995243902439024,0.49390243902439024,0.5380434782608695,6,7,0.12727272727272726,0,0
"2019-11-06","NYK",96,122,29,49,0.5918367346938775,15,30,0.5,0.5,19,44,14,45,0,0.7586206896551724,0.7857142857142857,1,0.379746835443038,0.49305189873417715,0.6518987341772152,0.6818181818181818,2,4,0.08163265306122448,0,0
"2019-11-08","IND",96,106,26,53,0.49056603773584906,13,33,0.3939393939393939,0.3939393939393939,15,32,20,33,6,0.6153846153846154,0.6956521739130435,0.8461538461538461,0.38372093023255816,0.5083273255813954,0.5290697674418605,0.5698924731182796,6,7,0.1320754716981132,1,0.030303030303030304
