"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-22","LAL",95,112,31,50,0.62,11,31,0.3548387096774194,0.3548387096774194,17,28,34,30,3,0.45161290322580644,0.4827586206896552,0.9090909090909091,0.38271604938271603,0.5036555555555556,0.5864197530864198,0.6032608695652174,4,7,0.14,0,0
"2019-10-24","GSW",106,141,32,48,0.6666666666666666,18,32,0.5625,0.5625,23,32,32,51,3,0.5,0.5,0.9444444444444444,0.4,0.507249375,0.7375,0.7663043478260869,0,0,0,0,0
"2019-10-26","PHX",103,122,29,55,0.5272727272727272,11,32,0.34375,0.34375,31,26,32,21,12,0.4482758620689655,0.5,0.6363636363636364,0.367816091954023,0.5361867816091954,0.5229885057471264,0.5769230769230769,6,3,0.05454545454545454,0,0
"2019-10-28","CHA",101,111,28,50,0.56,12,33,0.36363636363636365,0.36363636363636365,19,22,34,36,0,0.39285714285714285,0.44,1,0.39759036144578314,0.5172656626506025,0.5542168674698795,0.6111111111111112,6,3,0.06,0,0
"2019-10-30","UTA",98,96,31,59,0.5254237288135594,8,23,0.34782608695652173,0.34782608695652173,10,22,40,24,0,0.3548387096774194,0.3793103448275862,1,0.2804878048780488,0.46688292682926824,0.524390243902439,0.5517241379310345,4,5,0.0847457627118644,0,0
"2019-10-31","SAS",100,103,34,65,0.5230769230769231,5,26,0.19230769230769232,0.19230769230769232,20,24,44,12,3,0.35294117647058826,0.375,0.8,0.2857142857142857,0.4985796703296703,0.45604395604395603,0.5,4,5,0.07692307692307693,0,0
"2019-11-03","UTA",96,105,29,60,0.48333333333333334,7,32,0.21875,0.21875,26,18,40,18,3,0.3103448275862069,0.4090909090909091,0.8571428571428571,0.34782608695652173,0.5160282608695652,0.42934782608695654,0.481651376146789,14,6,0.1,0,0
"2019-11-06","MIL",115,124,28,67,0.417910447761194,13,31,0.41935483870967744,0.41935483870967744,29,18,38,36,3,0.32142857142857145,0.34615384615384615,0.9230769230769231,0.3163265306122449,0.5138367346938776,0.4846938775510204,0.543859649122807,4,10,0.14925373134328357,1,0.03225806451612903
"2019-11-07","POR",103,107,35,66,0.5303030303030303,4,23,0.17391304347826086,0.17391304347826086,25,34,36,9,3,0.4857142857142857,0.5151515151515151,0.75,0.25842696629213485,0.4880286516853933,0.4606741573033708,0.5144230769230769,4,4,0.06060606060606061,0,0
"2019-11-11","TOR",101,98,26,56,0.4642857142857143,8,36,0.2222222222222222,0.22857142857142856,22,34,18,24,0,0.6538461538461539,0.7083333333333334,1,0.391304347826087,0.5282,0.41304347826086957,0.4567307692307692,4,6,0.10714285714285714,2,0.05555555555555555
"2019-11-13","HOU",99,93,28,65,0.4307692307692308,10,33,0.30303030303030304,0.30303030303030304,7,18,38,24,6,0.32142857142857145,0.375,0.8,0.336734693877551,0.5035112244897959,0.4387755102040816,0.44607843137254904,8,6,0.09230769230769231,0,0
