"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-22","TOR",112,122,24,57,0.42105263157894735,19,45,0.4222222222222222,0.4222222222222222,17,28,20,48,9,0.5833333333333334,0.6086956521739131,0.8421052631578947,0.4411764705882353,0.5086338235294118,0.5147058823529411,0.5596330275229358,2,3,0.05263157894736842,0,0
"2019-10-25","DAL",104,116,30,57,0.5263157894736842,15,41,0.36585365853658536,0.36585365853658536,11,32,28,42,3,0.5333333333333333,0.5714285714285714,0.9333333333333333,0.41836734693877553,0.4823627551020408,0.5357142857142857,0.5576923076923077,4,7,0.12280701754385964,0,0
"2019-10-26","HOU",111,123,28,50,0.56,18,50,0.36,0.3673469387755102,13,22,34,48,6,0.39285714285714285,0.44,0.8888888888888888,0.5,0.5170005050505051,0.55,0.5747663551401869,6,4,0.08,0,0
"2019-10-28","GSW",108,123,33,56,0.5892857142857143,15,47,0.3191489361702128,0.3333333333333333,12,42,24,45,0,0.6363636363636364,0.6774193548387096,1,0.4563106796116505,0.5692816831683168,0.5388349514563107,0.5545454545454546,4,2,0.03571428571428571,0,0
"2019-10-31","DEN",101,122,26,44,0.5909090909090909,15,33,0.45454545454545453,0.4838709677419355,25,32,20,42,3,0.6153846153846154,0.6153846153846154,0.9333333333333333,0.42857142857142855,0.548006,0.6298701298701299,0.6630434782608695,0,3,0.06818181818181818,0,0
"2019-11-02","OKC",101,104,29,62,0.46774193548387094,11,32,0.34375,0.34375,13,30,28,30,3,0.5172413793103449,0.5769230769230769,0.9090909090909091,0.3404255319148936,0.5144553191489362,0.48404255319148937,0.5,6,9,0.14516129032258066,2,0.0625
"2019-11-04","BKN",109,125,35,65,0.5384615384615384,13,32,0.40625,0.41935483870967744,16,14,56,33,6,0.2,0.20588235294117646,0.8461538461538461,0.32989690721649484,0.47381510416666667,0.5618556701030928,0.5904761904761905,2,3,0.046153846153846156,0,0
"2019-11-08","TOR",106,104,30,58,0.5172413793103449,10,41,0.24390243902439024,0.25,14,24,36,27,3,0.4,0.46153846153846156,0.9,0.41414141414141414,0.5427525510204081,0.45454545454545453,0.4858490566037736,8,2,0.034482758620689655,1,0.024390243902439025
"2019-11-09","CHA",106,115,26,42,0.6190476190476191,14,33,0.42424242424242425,0.42424242424242425,21,24,28,39,3,0.46153846153846156,0.5,0.9285714285714286,0.44,0.5354893333333334,0.6266666666666667,0.6460674157303371,4,2,0.047619047619047616,0,0
"2019-11-11","HOU",108,116,27,50,0.54,14,45,0.3111111111111111,0.3111111111111111,20,24,30,42,0,0.4444444444444444,0.48,1,0.47368421052631576,0.5525263157894738,0.5052631578947369,0.5420560747663551,4,5,0.1,1,0.022222222222222223
"2019-11-14","LAC",104,132,29,64,0.453125,18,34,0.5294117647058824,0.5294117647058824,20,34,24,27,27,0.5862068965517241,0.7083333333333334,0.5,0.3469387755102041,0.5286658163265306,0.5714285714285714,0.5945945945945946,10,6,0.09375,0,0
"2019-11-16","MIA",95,94,21,47,0.44680851063829785,16,35,0.45714285714285713,0.45714285714285713,4,22,20,36,12,0.5238095238095238,0.6111111111111112,0.75,0.4268292682926829,0.5273865853658537,0.5487804878048781,0.5529411764705883,6,3,0.06382978723404255,0,0
"2019-11-17","GSW",98,108,19,43,0.4418604651162791,18,46,0.391304347826087,0.391304347826087,16,12,26,54,0,0.3157894736842105,0.375,1,0.5168539325842697,0.5343410112359551,0.5168539325842697,0.5572916666666666,6,2,0.046511627906976744,1,0.021739130434782608
