"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-23","DEN",101,100,29,59,0.4915254237288136,7,28,0.25,0.25,21,20,38,9,12,0.3448275862068966,0.45454545454545453,0.42857142857142855,0.3218390804597701,0.5348816091954023,0.4540229885057471,0.5154639175257731,14,4,0.06779661016949153,0,0
"2019-10-25","SAC",104,122,35,55,0.6363636363636364,11,30,0.36666666666666664,0.36666666666666664,19,32,38,21,12,0.45714285714285713,0.48484848484848486,0.6363636363636364,0.35294117647058826,0.508304705882353,0.6058823529411764,0.6421052631578947,4,2,0.03636363636363636,0,0
"2019-10-27","DAL",105,121,36,65,0.5538461538461539,9,22,0.4090909090909091,0.4090909090909091,22,12,60,21,6,0.16666666666666666,0.17647058823529413,0.7777777777777778,0.25287356321839083,0.5041959770114942,0.5689655172413793,0.6111111111111112,4,3,0.046153846153846156,0,0
"2019-10-28","SAS",108,110,29,67,0.43283582089552236,10,33,0.30303030303030304,0.30303030303030304,22,24,34,21,9,0.41379310344827586,0.46153846153846156,0.7,0.33,0.48060650000000005,0.44,0.49107142857142855,6,9,0.13432835820895522,0,0
"2019-10-30","OKC",104,102,17,51,0.3333333333333333,17,35,0.4857142857142857,0.5,17,14,20,36,15,0.4117647058823529,0.4375,0.7058823529411765,0.4069767441860465,0.48196941176470587,0.4941860465116279,0.520618556701031,2,2,0.0392156862745098,0,0
"2019-11-02","PHI",103,128,26,44,0.5909090909090909,19,34,0.5588235294117647,0.5588235294117647,19,18,34,36,21,0.34615384615384615,0.36,0.631578947368421,0.4358974358974359,0.5335769230769231,0.6987179487179487,0.7111111111111111,2,6,0.13636363636363635,2,0.058823529411764705
"2019-11-04","GSW",99,118,34,65,0.5230769230769231,13,40,0.325,0.325,11,18,50,21,18,0.2647058823529412,0.2903225806451613,0.5384615384615384,0.38095238095238093,0.5109067307692308,0.5095238095238095,0.527027027027027,6,4,0.06153846153846154,0,0
"2019-11-07","LAC",103,101,28,65,0.4307692307692308,11,39,0.28205128205128205,0.28205128205128205,12,24,32,18,15,0.42857142857142855,0.48,0.5454545454545454,0.375,0.4957793269230769,0.42788461538461536,0.463302752293578,6,11,0.16923076923076924,1,0.02564102564102564
"2019-11-08","BKN",100,115,29,67,0.43283582089552236,11,30,0.36666666666666664,0.36666666666666664,24,18,40,6,27,0.3103448275862069,0.34615384615384615,0.18181818181818182,0.30927835051546393,0.5165927835051546,0.4690721649484536,0.5324074074074074,6,8,0.11940298507462686,1,0.03333333333333333
"2019-11-10","ATL",111,124,33,68,0.4852941176470588,12,36,0.3333333333333333,0.3333333333333333,22,20,46,27,9,0.30303030303030304,0.3125,0.75,0.34615384615384615,0.5080951923076923,0.49038461538461536,0.5391304347826087,2,7,0.10294117647058823,1,0.027777777777777776
