"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2019-10-22","NOP",112,130,28,63,0.4444444444444444,14,40,0.35,0.3684210526315789,32,20,36,39,3,0.35714285714285715,0.4,0.9285714285714286,0.3883495145631068,0.5248376237623763,0.47572815533980584,0.5462184873949579,6,8,0.12698412698412698,1,0.025
"2019-10-25","BOS",103,106,19,42,0.4523809523809524,18,36,0.5,0.5,14,20,18,36,18,0.5263157894736842,0.5263157894736842,0.6666666666666666,0.46153846153846156,0.507472435897436,0.5897435897435898,0.6176470588235294,0,8,0.19047619047619047,0,0
"2019-10-26","CHI",105,108,23,40,0.575,15,42,0.35714285714285715,0.35714285714285715,17,28,18,39,6,0.6086956521739131,0.6666666666666666,0.8666666666666667,0.5121951219512195,0.5849189024390243,0.5548780487804879,0.6,4,1,0.025,1,0.023809523809523808
"2019-10-28","ORL",105,104,23,46,0.5,10,39,0.2564102564102564,0.2564102564102564,28,22,24,24,6,0.4782608695652174,0.4782608695652174,0.8,0.4588235294117647,0.5347282352941176,0.4470588235294118,0.5360824742268041,0,6,0.13043478260869565,0,0
"2019-10-30","DET",103,125,38,59,0.6440677966101694,13,27,0.48148148148148145,0.48148148148148145,10,40,36,30,9,0.5263157894736842,0.5405405405405406,0.7692307692307693,0.313953488372093,0.5378191860465117,0.6686046511627907,0.6888888888888889,2,1,0.01694915254237288,0,0
"2019-11-02","MIL",99,105,19,48,0.3958333333333333,15,36,0.4166666666666667,0.42857142857142855,22,26,12,33,12,0.6842105263157895,0.6842105263157895,0.7333333333333333,0.42857142857142855,0.493844578313253,0.49404761904761907,0.5473684210526316,0,7,0.14583333333333334,0,0
"2019-11-06","SAC",100,124,29,49,0.5918367346938775,14,29,0.4827586206896552,0.4827586206896552,24,32,26,36,6,0.5517241379310345,0.5714285714285714,0.8571428571428571,0.3717948717948718,0.5201878205128205,0.6410256410256411,0.6813186813186813,2,7,0.14285714285714285,0,0
"2019-11-08","NOP",108,122,22,50,0.44,19,43,0.4418604651162791,0.4418604651162791,21,20,24,51,6,0.45454545454545453,0.5,0.8947368421052632,0.46236559139784944,0.541571505376344,0.543010752688172,0.5922330097087378,4,6,0.12,0,0
"2019-11-10","LAL",100,113,31,53,0.5849056603773585,12,36,0.3333333333333333,0.3333333333333333,15,34,28,27,9,0.5483870967741935,0.6296296296296297,0.75,0.4044943820224719,0.5167662921348314,0.550561797752809,0.5824742268041238,8,7,0.1320754716981132,0,0
"2019-11-11","LAC",100,88,23,55,0.41818181818181815,11,30,0.36666666666666664,0.36666666666666664,9,28,18,33,0,0.6086956521739131,0.6666666666666666,1,0.35294117647058826,0.4970894117647059,0.4647058823529412,0.4782608695652174,4,7,0.12727272727272726,0,0
"2019-11-13","POR",97,114,28,60,0.4666666666666667,14,32,0.4375,0.4375,16,22,34,27,15,0.39285714285714285,0.4583333333333333,0.6428571428571429,0.34782608695652173,0.5621902173913044,0.532608695652174,0.5757575757575758,8,7,0.11666666666666667,0,0
"2019-11-16","DAL",102,102,20,48,0.4166666666666667,17,41,0.4146341463414634,0.4146341463414634,11,18,22,36,15,0.45,0.5,0.7058823529411765,0.4606741573033708,0.5257494382022472,0.5112359550561798,0.53125,4,4,0.08333333333333333,0,0
