iter	RMSE
0	702.0479794
1	698.3365244
2	693.5693678
3	688.9771833
4	684.0129181
5	679.5249012
6	674.6216759
7	671.055459
8	666.2240636
9	661.6046163
10	657.4373648
11	653.1999914
12	649.2468449
13	644.6541515
14	640.7581012
15	637.605625
16	632.9165872
17	628.718642
18	625.507033
19	621.1097783
20	617.1860845
21	613.1485958
22	610.0796852
23	606.342268
24	603.7171661
25	600.9668508
26	598.594286
27	596.173964
28	593.3130115
29	590.6756751
30	587.7976249
31	584.5490873
32	581.6909959
33	579.4885044
34	576.4211086
35	573.3429635
36	570.6700566
37	567.9264511
38	565.6539735
39	561.8364813
40	560.2715416
41	557.5439554
42	555.2911372
43	553.4045434
44	551.4976559
45	548.2202685
46	545.8606963
47	544.1248851
48	542.6459749
49	540.7790053
50	538.0109585
51	536.5120848
52	534.3577188
53	531.856415
54	529.9874521
55	528.3450156
56	525.8728374
57	524.7033067
58	522.4175787
59	520.987274
60	518.3707964
61	516.1317174
62	514.8409383
63	512.9279355
64	511.1617385
65	510.0698392
66	507.3377135
67	505.3332517
68	502.8208061
69	500.3419468
70	498.8664826
71	497.6844284
72	495.8591609
73	494.2028566
74	492.6583422
75	490.6551289
76	488.7098918
77	487.333077
78	486.2291498
79	484.4244139
80	483.5002008
81	482.2029577
82	479.88569
83	478.272282
84	475.9847332
85	474.8340287
86	473.2985727
87	472.557896
88	470.4449472
89	468.8276032
90	467.5373316
91	466.424453
92	464.5904438
93	463.2299088
94	461.2229856
95	459.9798989
96	458.0758323
97	456.5444989
98	455.5332603
99	454.011064
100	453.248757
101	451.6909577
102	449.309425
103	447.9728123
104	446.0972903
105	445.4574137
106	444.2179309
107	442.8732591
108	441.0883488
109	439.7951205
110	438.1369355
111	436.8391509
112	435.7424228
113	434.4889322
114	432.7585616
115	430.5081131
116	429.5153409
117	428.5740777
118	427.4153842
119	426.3215263
120	425.0958733
121	423.1862655
122	421.0196034
123	419.8564715
124	418.5173606
125	417.2802708
126	416.6792411
127	415.6416195
128	414.5549473
129	413.0137902
130	411.7679642
131	410.8205623
132	409.2377379
133	407.7866865
134	407.2606161
135	406.3222161
136	405.2973982
137	404.0398232
138	403.0750512
139	401.4665877
140	399.8898699
141	398.7388625
142	396.1992846
143	394.7817324
144	392.9461929
145	391.2875074
146	390.0528859
147	388.6601922
148	387.3106097
149	386.6367892
150	386.0050527
151	384.4407424
152	383.0995739
153	381.3959561
154	380.1885715
155	379.2589159
156	378.2939201
157	376.8947098
158	375.5850182
159	374.1918744
160	372.8954198
161	371.7985011
162	370.6750801
163	369.4350251
164	367.8320527
165	367.0211525
166	365.5739697
167	364.6278587
168	362.9899285
169	361.7623312
170	361.0569721
171	359.4855557
172	358.7112077
173	357.6118085
174	356.5344704
175	355.6726491
176	354.2064834
177	352.8320031
178	351.2473804
179	349.9415263
180	349.4608402
181	348.3353882
182	347.1183922
183	346.1998903
184	344.8945046
185	344.0621992
186	343.2870737
187	342.3189966
188	340.9850944
189	339.9125837
190	338.9361244
191	337.5032702
192	335.811771
193	334.5163843
194	333.4344293
195	331.4499103
196	330.5204484
197	329.7742728
198	328.7434232
199	327.400847
200	326.803875
201	325.9074099
202	323.7359963
203	322.485642
204	321.7828247
205	320.4176071
206	318.7571578
207	318.1725585
208	317.2870705
209	316.1270776
210	314.2187594
211	312.7913069
212	312.0874564
213	311.3444472
214	309.9812713
215	308.5201524
216	307.1774488
217	306.3088455
218	304.917642
219	304.0094406
220	302.8805392
221	301.8881531
222	300.7613184
223	299.4571511
224	298.1165651
225	296.9150941
226	295.6884406
227	294.6550294
228	293.7363417
229	292.9450282
230	291.4645545
231	290.5930934
232	289.344133
233	287.1039421
234	286.2622723
235	284.8053307
236	283.5042902
237	282.708109
238	281.8336376
239	280.8576889
240	279.3569177
241	278.533387
242	277.5595366
243	276.8505876
244	275.8573818
245	274.6154683
246	274.0141639
247	273.1492541
248	272.3343451
249	270.8030762
250	269.6150167
251	268.4067542
252	267.5546191
253	266.6865354
254	265.5881645
255	264.9158789
256	263.7588148
257	262.6224011
258	262.1198519
259	261.2518022
260	260.8058521
261	260.0773541
262	259.2223911
263	258.1721719
264	257.2752132
265	256.5240177
266	255.49203
267	254.2371879
268	253.3475462
269	252.4134658
270	251.4267364
271	250.3131317
272	249.5145954
273	248.9510229
274	247.8513756
275	247.3017263
276	246.5438394
277	245.3388533
278	244.6666827
279	243.1911988
280	242.0729724
281	241.5946447
282	240.4710445
283	239.5644554
284	238.6438289
285	238.2132022
286	237.4084802
287	236.337427
288	235.3720123
289	234.6724447
290	233.386308
291	232.7031803
292	232.0687436
293	231.0280324
294	229.9852917
295	229.3892983
296	228.7084105
297	227.85212
298	227.0206654
299	225.9564383
300	224.7268848
301	223.9103542
302	223.1957744
303	222.734958
304	221.6878502
305	220.9731041
306	219.9807496
307	219.2582901
308	218.3761459
309	218.0180305
310	217.180537
311	215.7642932
312	215.2448615
313	214.2020662
314	213.6688146
315	213.2552523
316	212.0730742
317	211.0036196
318	209.7670403
319	209.1194783
320	208.2555622
321	207.0675616
322	205.9735113
323	204.6146152
324	203.9383803
325	203.3752029
326	202.5872917
327	201.9978207
328	201.013378
329	199.7817268
330	198.9192612
331	197.9840979
332	196.9830406
333	196.0918335
334	195.0709387
335	194.1735036
336	193.1926475
337	192.3113755
338	191.6184841
339	190.6842959
340	189.9500635
341	189.3958469
342	188.543302
343	187.7591446
344	187.2173617
345	186.6033475
346	185.84801
347	185.0911231
348	184.516521
349	183.9844749
350	183.2046473
351	182.6387239
352	181.3802459
353	180.4303626
354	179.8876056
355	179.1093479
356	178.5730785
357	177.9012829
358	177.0775926
359	176.298374
360	175.3259718
361	174.6967611
362	173.9019875
363	173.1364548
364	172.6516941
365	172.0821525
366	171.6277791
367	171.2532528
368	170.85101
369	170.0589704
370	169.4500329
371	168.5518813
372	168.2161471
373	167.6346706
374	166.9109861
375	166.8088327
376	166.1894952
377	165.4498587
378	165.0127558
379	164.2421285
380	163.6196394
381	163.2108991
382	162.3901112
383	161.9241754
384	161.26336
385	160.8440281
386	160.4819278
387	160.1470905
388	159.3506833
389	158.8394945
390	158.4447433
391	157.9902809
392	157.484556
393	156.8911061
394	156.2698594
395	155.5166
396	154.8417286
397	154.2202932
398	153.6069364
399	153.0716223
400	152.608552
401	151.848788
402	151.3042265
403	150.6510964
404	150.1179361
405	149.5233837
406	148.774938
407	148.3362734
408	147.9476515
409	147.307842
410	146.7691055
411	146.2092457
412	145.582352
413	145.5159191
414	144.9234054
415	144.7012567
416	144.013867
417	143.9291201
418	143.7743273
419	143.1546223
420	142.6964229
421	141.9539021
422	141.6637743
423	141.1239358
424	140.9479786
425	140.4619527
426	139.8073531
427	139.403234
428	138.8097146
429	138.6425717
430	138.295217
431	137.7932777
432	137.53822
433	137.0682137
434	136.3622411
435	136.2885516
436	135.8718461
437	135.5872121
438	135.0128436
439	134.5521459
440	134.0649074
441	133.7375546
442	132.9131
443	132.6649233
444	132.0600663
445	131.8085103
446	131.1849335
447	130.594742
448	130.1546831
449	129.8822651
450	129.2930627
451	128.9421987
452	128.4089395
453	127.999542
454	127.4473781
455	127.0952166
456	126.61119
457	126.2448053
458	125.9549352
459	125.6325691
460	125.3064372
461	125.0901297
462	124.6982765
463	124.3761114
464	123.893101
465	123.6118008
466	123.2813812
467	123.0325778
468	122.8716057
469	122.4199715
470	122.0665145
471	121.779366
472	121.4412444
473	121.0382675
474	120.5600749
475	120.1334263
476	119.719904
477	119.5082851
478	119.1817442
479	118.8669533
480	118.3903756
481	117.935966
482	117.746191
483	117.5221433
484	117.0325416
485	116.551329
486	116.1603313
487	115.5146173
488	115.4491968
489	115.0905074
490	114.6547415
491	114.4531825
492	114.0899279
493	113.8697798
494	113.6369864
495	113.0410048
496	112.7822424
497	112.3033349
498	111.6990991
499	111.511082
500	111.0105994
501	110.6442425
502	110.0985424
503	109.8271181
504	109.7717398
505	109.1974295
506	109.0264192
507	108.4153739
508	108.2580719
509	108.0179448
510	107.8485118
511	107.5277926
512	107.0621954
513	106.6751111
514	106.3460478
515	105.9483249
516	105.5653232
517	105.4969124
518	105.0109396
519	104.4314118
520	104.3810167
521	104.1244042
522	103.9630838
523	103.822178
524	103.5562004
525	103.3042991
526	102.9838395
527	102.8010815
528	102.2064827
529	101.9427659
530	101.492424
531	101.3772156
532	100.9082148
533	100.5389358
534	100.3506286
535	99.98744419
536	99.56481751
537	99.17121907
538	98.97617392
539	98.51723308
540	98.03311607
541	97.78334976
542	97.63538926
543	97.28005306
544	97.09684189
545	96.84138187
546	96.43916372
547	96.21306887
548	96.02224587
549	95.60033069
550	95.51933781
551	95.13839237
552	94.94426068
553	94.82060557
554	94.61398712
555	94.37968598
556	94.01196228
557	93.69266539
558	93.59583945
559	92.97383328
560	92.59676569
561	92.20454748
