iter	Passed	Remaining
0	7	7409
1	11	5892
2	14	4850
3	17	4374
4	20	4053
5	23	3834
6	26	3688
7	28	3571
8	31	3479
9	34	3411
10	37	3344
11	39	3290
12	42	3201
13	44	3109
14	46	3027
15	48	2954
16	49	2890
17	51	2829
18	53	2775
19	55	2727
20	57	2684
21	59	2643
22	61	2613
23	63	2582
24	65	2549
25	67	2519
26	69	2497
27	71	2473
28	73	2450
29	75	2428
30	77	2411
31	79	2393
32	81	2376
33	83	2361
34	85	2344
35	86	2327
36	88	2310
37	90	2295
38	92	2283
39	94	2269
40	96	2256
41	98	2243
42	100	2230
43	102	2218
44	103	2206
45	105	2195
46	107	2185
47	109	2174
48	111	2164
49	113	2155
50	115	2144
51	117	2135
52	119	2126
53	120	2117
54	122	2110
55	124	2102
56	126	2094
57	128	2086
58	130	2078
59	132	2070
60	134	2063
61	135	2055
62	137	2050
63	140	2057
64	142	2052
65	145	2053
66	147	2048
67	148	2041
68	150	2036
69	152	2030
70	154	2024
71	156	2018
72	158	2011
73	160	2006
74	162	2000
75	164	1994
76	165	1988
77	167	1983
78	169	1978
79	171	1973
80	173	1967
81	175	1962
82	177	1956
83	178	1951
84	180	1946
85	182	1942
86	184	1938
87	186	1934
88	188	1930
89	190	1925
90	192	1920
91	194	1916
92	196	1912
93	197	1908
94	199	1904
95	201	1899
96	203	1896
97	205	1891
98	207	1887
99	209	1883
100	211	1879
101	213	1875
102	215	1872
103	216	1868
104	218	1864
105	220	1861
106	222	1857
107	224	1853
108	226	1849
109	228	1845
110	230	1842
111	231	1839
112	233	1835
113	235	1832
114	237	1829
115	239	1825
116	241	1823
117	243	1819
118	245	1816
119	247	1813
120	249	1810
121	251	1807
122	252	1803
123	254	1800
124	256	1797
125	258	1793
126	260	1790
127	262	1787
128	264	1784
129	266	1782
130	268	1778
131	270	1775
132	271	1772
133	273	1769
134	275	1766
135	277	1762
136	279	1759
137	281	1756
138	283	1753
139	285	1750
140	286	1747
141	288	1744
142	290	1742
143	292	1739
144	294	1736
145	296	1733
146	298	1730
147	300	1728
148	302	1725
149	304	1722
150	306	1721
151	307	1718
152	309	1715
153	311	1712
154	313	1710
155	315	1707
156	317	1704
157	319	1701
158	321	1700
159	324	1702
160	326	1701
161	329	1705
162	332	1705
163	334	1704
164	337	1708
165	340	1712
166	343	1711
167	345	1708
168	346	1705
169	348	1703
170	350	1700
171	352	1698
172	354	1695
173	356	1693
174	358	1690
175	360	1688
176	362	1685
177	364	1683
178	366	1681
179	368	1679
180	370	1677
181	372	1675
182	374	1672
183	376	1669
184	378	1667
185	380	1665
186	382	1663
187	384	1660
188	386	1657
189	388	1655
190	390	1652
191	392	1650
192	394	1647
193	395	1645
194	397	1642
195	399	1640
196	401	1637
197	403	1635
198	405	1633
199	407	1630
200	409	1628
201	411	1626
202	413	1624
203	415	1622
204	417	1620
205	419	1617
206	421	1615
207	423	1613
208	425	1610
209	427	1608
210	429	1606
211	431	1604
212	433	1602
213	435	1600
214	437	1597
