Team,DRtg,Pace,TOV%
Milwaukee Bucks,105.2,103.3,12
Golden State Warriors,109.5,100.9,12.6
Toronto Raptors,107.1,100.2,12.4
Utah Jazz,105.7,100.3,13.4
Houston Rockets,110.7,97.9,12
Portland Trail Blazers,110.5,99.1,12.1
Denver Nuggets,108.9,97.7,11.9
Boston Celtics,107.8,99.6,11.5
Oklahoma City Thunder,107,102.8,11.7
Indiana Pacers,106.5,98.1,12.4
Philadelphia 76ers,110,101.6,12.9
San Antonio Spurs,111.2,98.3,11
Los Angeles Clippers,111.5,101.7,12.7
Orlando Magic,108.1,98.1,11.9
Brooklyn Nets,109.7,100.8,13
Miami Heat,107.6,98.2,13.1
Detroit Pistons,109.2,97.4,12.3
Sacramento Kings,111.5,103.1,11.5
Dallas Mavericks,110.7,99,12.7
Minnesota Timberwolves,112.9,100.2,11.4
New Orleans Pelicans,112.6,103.3,12.6
Charlotte Hornets,112.5,98.7,10.9
Los Angeles Lakers,109.5,103.2,13.4
Memphis Grizzlies,108.8,96.6,12.9
Washington Wizards,113.9,101.4,12.3
Atlanta Hawks,113.9,103.9,14.3
Chicago Bulls,113.2,99,12.7
Phoenix Suns,115.1,100.5,13.8
New York Knicks,113.7,99.6,12.4
Cleveland Cavaliers,117.6,96.6,12.2
